scenario,year,TAZ_BSMA_N,TAZ_2640,Split,PrimeLandUse,Metro_CivlInst,Metro_Cult,Local_Cul,Hi_Tech,Mall,Medical,Uni,Army,Shop_Strt,Market,Ind_Area,Socio_Demo,HH_Income,City_20K,Pop,Emp,peremp,perunemp,numemp,PrimarySchl,HighSchl,primary,highschool,univ,primarystu,highschoolstu,age9-0,age19-10,age34-20,age49-35,age64-50,age65p,HHJewish,HHNotJewish,HHHaredi,HHRes1,HHRes2,HHRes3,HHRes4,HHRes5,HHRes6,HHRes7+
BAU,2019,10101,2420,2420,Residential+Educ,0,0,0,0,0,0,0,0,0,0,0,4,0.78527,1,3012,1186.940272,58.726664,4.0652,1343.078798,1,1,290,201.6,6500,377,75,557,336,760,457,474,428,1091.167173,0,0,221.968411,187.982628,393.1133,246.945287,0,41.157548,0
BAU,2019,10102,2419,2419,Residential+Educ,0,0,0,0,0,0,1,0,0,0,0,4,0.78527,1,2175,946.533549,58.726664,4.0652,1011.860415,0,1,180.8,117.6,2000,0,130,354,196,539,322,379,385,733.916689,0,0,144.510899,163.567029,116.137844,232.275688,38.712615,38.712615,0
BAU,2019,10103,2418,2418,Residential+Educ,0,0,0,0,0,0,0,0,0,0,0,4,0.78527,1,3004,201.423233,58.726664,4.0652,1331.333465,1,0,294.8,246,,941,1182,532,410,657,483,502,420,1009.883534,0,0,134.01446,196.933158,399.374068,159.749627,79.874814,39.937407,0
BAU,2019,10104,2379,2379,Residential,0,0,1,0,0,0,0,0,0,0,0,7,1.3311,1,4660,1227.396093,67.810369,3.6098,2455.074407,1,0,415.8,340.2,,399,0,756,567,848,815,779,895,1358.758336,0,0,89.477601,253.300272,320.835936,374.308592,320.835936,0,0
BAU,2019,10105,2427,2427,Residential,0,0,0,0,0,0,0,0,0,0,0,5,0.9688,1,4633,1146.361248,62.192956,3.9134,2203.807411,2,0,435.8,341.4,,466,0,805,569,867,872,667,853,1491.482922,0,0,305.30935,377.065913,337.128191,134.851276,202.276915,0,134.851276
BAU,2019,10106,2421,2421,Residential,0,0,0,0,0,0,0,0,0,0,0,4,0.78527,1,3443,18.439016,58.726664,4.0652,1421.772527,0,0,408.8,276,,0,0,792,460,827,571,409,384,860.95566,0,0,138.347379,126.185324,82.697309,165.394618,137.828848,110.263078,100.239105
BAU,2019,10107,2422,2422,Residential,0,0,0,0,0,0,0,0,0,0,0,3,0.6542,1,3752,1964.062166,54.541374,4.217,1644.967836,1,0,294.4,235.2,,449,1064,540,392,654,467,589,1110,1447.659069,0,0,392.30646,346.500009,449.911673,90.224049,112.477918,0,56.238959
BAU,2019,10108,2424,2424,Residential+Educ,0,0,0,0,0,0,0,0,0,0,0,3,0.6542,1,1897,1153.965024,54.541374,4.217,865.84431,1,3,123.8,109.8,,161,173,218,183,428,337,361,370,658.877522,0,0,174.167114,124.88651,90.722583,144.614461,124.486855,0,0
BAU,2019,10109,2425,2425,Residential+Educ,0,0,0,0,0,0,0,0,0,0,0,4,0.78527,1,3345,409.981635,58.726664,4.0652,1521.314222,2,0,301.8,186.6,,626,0,599,311,836,474,579,546,1281.144729,0,0,363.277048,301.314253,303.658712,186.022721,37.204544,89.667451,0
BAU,2019,10110,2426,2426,Residential+Educ,0,0,0,0,0,0,0,0,0,0,0,6,1.0752,1,3446,988.816775,65.176462,3.7616,1881.970342,1,1,223.4,132.6,,290,133,448,221,933,450,600,794,1797.437894,0,0,858.87461,493.832082,300.039771,48.230477,72.345715,24.115238,0
BAU,2019,10111,2377,2377,University+Hospi,0,0,0,0,0,1,1,0,0,0,0,8,1.5068,1,549,12506,70.177847,3.458,320.36187,2,1,37,19.8,20000,824,1651,76,33,121,78,109,132,180.708539,0,0,41.915504,0,93.44034,0,45.352695,0,0
BAU,2019,10112,2382,2382,Commercial,4,0,1,0,1,1,0,0,1,0,0,6,1.0752,1,840.8154,9279.264194,65.176462,3.7616,469.306374,0,0,48.314,38.514,,0,0,88.687405,64.188122,195.50428,123.966373,150.915585,217.553635,312.962958,0,0,70.97202,99.060186,61.256037,40.837358,20.418679,20.418679,0
BAU,2019,10113,2381,2381,Transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,501.712536,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAU,2019,10114,2378,2378,Mixed Land Use,0,1,1,0,0,0,0,0,1,1,0,6,1.0752,1,875.16,5106.532252,65.176462,3.7616,488.461736,0,0,50.286,40.086,,0,652,92.31,66.81,203.49,129.03,157.08,226.44,475.522423,0,0,280.321514,92.982575,0,102.218334,0,0,0
BAU,2019,10115,2380,2380,Residential,0,0,0,0,0,0,0,0,0,0,0,5,0.9688,1,4748,638.046242,62.192956,3.9134,2194.478467,2,1,487.8,403.8,,391,0,883,673,909,993,693,597,1475.44955,0,0,316.831786,230.549757,206.237335,360.915336,257.796669,103.118668,0
BAU,2019,10116,2428,2428,Residential,0,0,0,0,0,0,0,0,0,0,0,5,0.9688,1,2548,151.366718,62.192956,3.9134,1232.607585,0,0,226.436538,214.375,,553,0,387.445513,357.291667,477.75,488.74359,425.451923,411.317308,767.63332,0,0,119.918413,160.383196,155.186796,123.505511,149.151599,32.545458,26.942347
BAU,2019,10117,2428,2428,Residential,0,0,0,0,0,0,0,0,0,0,0,5,0.9688,1,6790,584.22999,62.192956,3.9134,3284.696038,2,0,603.41605,571.274038,,490,0,1032.478427,952.123397,1273.125,1302.421105,1133.759246,1096.092825,2045.616264,0,0,319.562803,427.39478,413.547232,329.121829,397.464425,86.728281,71.796913
BAU,2019,10118,2428,2428,Residential,0,0,1,0,0,0,0,0,0,0,0,5,0.9688,1,6886,592.75872,62.192956,3.9134,3331.136512,0,0,611.947411,579.350962,,0,0,1047.07606,965.584936,1291.125,1320.835306,1149.788831,1111.589867,2074.538084,0,0,324.080922,433.437475,419.394144,333.775098,403.083951,87.954484,72.812009
BAU,2019,10119,2429,2429,Mixed Land Use,0,0,0,0,1,0,0,0,0,0,0,6,1.0752,1,5796,879.948145,65.176462,3.7616,2866.13492,2,1,559.4,497.4,,727,1898,984,829,1112,1138,919,814,1859.326148,0,0,327.271677,316.70653,592.396234,226.527893,226.527893,169.89592,0
BAU,2019,10120,2423,2423,Residential,0,0,0,0,0,0,0,0,0,0,0,4,0.78527,1,3282,249.956494,58.726664,4.0652,1547.547581,2,0,258.731892,205.191925,,396,0,475.83646,341.986542,704.719821,562.838907,537.407423,659.210848,1208.03474,0,0,330.524419,256.664263,225.921308,282.574589,68.333968,19.698417,24.317775
BAU,2019,10121,2423,2423,Residential,0,0,0,0,0,0,0,0,0,0,0,4,0.78527,1,1622,114.600681,58.726664,4.0652,764.814801,0,0,127.868108,101.408075,,0,0,235.16354,169.013458,348.280179,278.161093,265.592577,325.789152,597.023872,0,0,163.348753,126.846263,111.652761,139.651427,33.771388,9.735172,12.018108
BAU,2019,10122,2357,2357,Residential,0,0,0,0,0,0,0,0,0,0,0,2,0.5182,1,3349,868.844807,49.144013,4.3688,1380.455334,1,0,216,189.6,,398,661,382,316,649,498,562,942,1621.411176,0,0,1001.565562,243.916708,29.440987,117.763948,101.562545,97.720439,29.440987
BAU,2019,10123,2358,2358,Residential,0,0,0,0,0,0,0,0,0,0,0,5,0.9688,1,3455,372,62.192956,3.9134,1753.219442,2,0,254.4,241.2,,552,0,435,402,718,582,577,741,1136.88748,0,0,213.977608,298.60172,224.645094,170.58971,115.346875,85.294855,28.431618
BAU,2019,10124,2409,2409,Residential,0,0,0,0,0,0,0,0,0,0,0,2,0.5182,1,1052,131.062388,49.144013,4.3688,432.08864,0,1,69.108218,69.456371,,111,652,114.890237,115.760618,232.101489,161.310535,201.638169,226.298952,517.3044,0,0,237.772389,115.569733,125.477289,20.044644,4.209012,4.209012,10.022322
BAU,2019,10125,2409,2409,Residential,0,0,0,0,0,0,0,0,0,0,0,2,0.5182,1,2574,239.581919,49.144013,4.3688,1057.220683,2,0,169.091782,169.943629,,267,86,281.109763,283.239382,567.898511,394.689465,493.361831,553.701048,1265.723884,0,0,581.773887,282.772332,307.013822,49.044594,10.298476,10.298476,24.522297
BAU,2019,10126,2410,2410,Residential,0,0,0,0,1,0,0,0,0,0,0,2,0.5182,1,2382,955.06696,49.144013,4.3688,1016.052475,1,1,125.8,131.4,,164,81,205,219,982,238,304,434,1096.327933,0,0,489.374699,191.775716,302.23124,37.648759,0,75.297519,0
BAU,2019,10127,2408,2408,Residential,0,0,0,0,0,0,0,0,0,0,0,2,0.5182,1,1175,251.712298,49.144013,4.3688,497.560918,1,0,65.018083,57.368897,,412,0,114.737794,95.614828,403.707052,151.390145,183.261754,226.288427,522.719937,0,0,133.682364,152.119333,210.593991,26.324249,0,0,0
BAU,2019,10128,2398,2398,Residential+Educ,0,0,1,0,1,0,0,0,0,0,0,7,1.3311,1,2865,202.35394,67.810369,3.6098,1549.127878,2,1,232.2,246.6,,911,1573,375,411,635,428,624,392,809.40633,0,0,96.580059,136.410522,122.839966,214.503895,165.367908,73.70398,0
BAU,2019,10129,2417,2417,Residential,0,0,1,0,0,0,1,0,0,0,0,2,0.5182,1,3174,1095.580291,49.144013,4.3688,1321.728238,0,0,193.8,174.6,,346,482,339,291,1498,322,337,387,1095.370026,0,0,185.186264,267.538346,350.533864,175.266932,58.422311,0,58.422311
BAU,2019,10130,2416,2416,Residential,0,0,0,0,0,0,1,0,0,0,0,2,0.5182,1,3774,634.603485,49.144013,4.3688,1466.457357,2,1,316,249.6,,418,250,582,416,898,577,687,614,1492.157026,0,0,506.09588,269.579583,426.831431,193.100088,48.275022,0,48.275022
BAU,2019,10131,2415,2415,Residential,0,0,0,0,0,0,1,0,0,0,0,3,0.6542,1,4339,2092.98023,54.541374,4.217,1967.307356,1,1,292.8,256.8,,381,257,518,428,762,615,640,1376,1714.885177,0,0,676.668966,424.102898,197.6339,185.101962,138.826471,0,92.550981
BAU,2019,10132,2384,2384,Industrial,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5082,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAU,2019,10133,2383,2383,Industrial,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,425,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAU,2019,10134,2388,2388,Commercial,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4324,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAU,2019,10135,2436,2436,Residential,0,0,1,0,0,0,0,0,0,0,0,7,1.3311,1,5304,355.347431,67.810369,3.6098,2737.843646,2,0,506.6,531,,460,0,824,885,1020,990,846,739,1351.388057,0,0,88.986639,207.203024,109.327361,491.973123,273.318402,125.915828,54.66368
BAU,2019,10136,2432,2432,Residential,0,0,0,0,1,0,0,0,0,0,0,7,1.3311,1,6884,0,67.810369,3.6098,3245.743309,2,0,839,809.4,,1091,1557,1423,1349,1354,1659,849,250,1505.518103,0,0,0,111.251137,232.377828,271.107466,580.944569,193.64819,116.188914
BAU,2019,10137,2431,2431,Residential,0,0,0,0,0,0,0,0,0,0,0,6,1.0752,1,7788,493.857635,65.176462,3.7616,3621.855998,2,1,892.4,799.2,,321,799,1565,1332,1447,1628,1117,699,2141.51383,0,0,214.050237,326.871599,423.686116,517.838587,470.762351,94.15247,94.15247
BAU,2019,10138,2430,2430,Residential,0,0,0,0,0,0,0,0,0,0,0,8,1.5068,1,5415,237.687336,70.177847,3.458,3133.08996,1,0,380.2,413.4,,439,0,606,689,1319,664,1238,899,1455.988681,0,0,90.999293,253.265704,211.756892,476.453008,370.574562,0,52.939223
