code,year,full_code,population,employment
2020,2020,310,2152686.2894840003,1109275.7845599996
2020,2020,342,1029516.2178519998,194045.062922
2020,2020,341,1379697.1277770004,348059.9508639998
2020,2020,344,107470.90700700002,62295.229078
2020,2020,0,3658800.560162996,1101269.7741859995
2025,2025,310,2152686.2894840003,1109275.7845599996
2025,2025,342,1029516.2178519998,194045.062922
2025,2025,341,1379697.1277770004,348059.9508639998
2025,2025,344,107470.90700700002,62295.229078
2025,2025,0,3658800.560162996,1101269.7741859995
2030,2030,310,2152686.2894840003,1109275.7845599996
2030,2030,342,1029516.2178519998,194045.062922
2030,2030,341,1379697.1277770004,348059.9508639998
2030,2030,344,107470.90700700002,62295.229078
2030,2030,0,3658800.560162996,1101269.7741859995
2035,2035,310,2152686.2894840003,1109275.7845599996
2035,2035,342,1029516.2178519998,194045.062922
2035,2035,341,1379697.1277770004,348059.9508639998
2035,2035,344,107470.90700700002,62295.229078
2035,2035,0,3658800.560162996,1101269.7741859995
2040,2040,310,2152686.2894840003,1109275.7845599996
2040,2040,342,1029516.2178519998,194045.062922
2040,2040,341,1379697.1277770004,348059.9508639998
2040,2040,344,107470.90700700002,62295.229078
2040,2040,0,3658800.560162996,1101269.7741859995
