code,year,citycode,population,employment
2020,2020,9000,2152686.2894840003,1109275.7845599996
2020,2020,0,3687197.636029997,976198.4234920003
2020,2020,1161,958462.9897840001,151505.14146200006
2020,2020,246,484262.60222400026,180206.16211999996
2020,2020,31,292099.874612,116091.815445
2020,2020,2200,384795.10592800024,188884.51605
2020,2020,2560,368666.60422100005,92783.958481
2025,2025,9000,2152686.2894840003,1109275.7845599996
2025,2025,0,3687197.636029997,976198.4234920003
2025,2025,1161,958462.9897840001,151505.14146200006
2025,2025,246,484262.60222400026,180206.16211999996
2025,2025,31,292099.874612,116091.815445
2025,2025,2200,384795.10592800024,188884.51605
2025,2025,2560,368666.60422100005,92783.958481
2030,2030,9000,2152686.2894840003,1109275.7845599996
2030,2030,0,3687197.636029997,976198.4234920003
2030,2030,1161,958462.9897840001,151505.14146200006
2030,2030,246,484262.60222400026,180206.16211999996
2030,2030,31,292099.874612,116091.815445
2030,2030,2200,384795.10592800024,188884.51605
2030,2030,2560,368666.60422100005,92783.958481
2035,2035,9000,2152686.2894840003,1109275.7845599996
2035,2035,0,3687197.636029997,976198.4234920003
2035,2035,1161,958462.9897840001,151505.14146200006
2035,2035,246,484262.60222400026,180206.16211999996
2035,2035,31,292099.874612,116091.815445
2035,2035,2200,384795.10592800024,188884.51605
2035,2035,2560,368666.60422100005,92783.958481
2040,2040,9000,2152686.2894840003,1109275.7845599996
2040,2040,0,3687197.636029997,976198.4234920003
2040,2040,1161,958462.9897840001,151505.14146200006
2040,2040,246,484262.60222400026,180206.16211999996
2040,2040,31,292099.874612,116091.815445
2040,2040,2200,384795.10592800024,188884.51605
2040,2040,2560,368666.60422100005,92783.958481
