TAZ_BSMA,full_code
71103,0
71102,0
71101,0
71004,0
71003,0
71002,0
71001,0
70902,0
70901,0
70801,0
70702,0
70701,0
70602,0
70601,0
70501,0
70403,0
70402,0
70401,0
70301,0
70212,0
70211,0
70210,0
70209,0
70208,0
70207,0
70206,0
70205,0
70204,0
70203,0
70202,0
70201,0
70109,0
70108,0
70107,0
70106,0
70105,0
70104,0
70103,0
70102,0
70101,0
60603,0
60602,0
60601,0
60517,0
60516,0
60515,0
60514,0
60513,0
60512,0
60511,0
60510,0
60509,0
60508,0
60507,0
60506,0
60505,0
60504,0
60503,0
60502,0
60501,0
60404,0
60403,0
60402,0
60401,0
60301,0
60201,0
60112,0
60111,0
60110,0
60109,0
60108,0
60107,0
60106,0
60105,0
60104,0
60103,0
60102,0
60101,0
51401,0
51302,0
51301,0
51201,0
51101,344
51002,0
51001,0
50901,344
50801,344
50701,344
50611,0
50610,0
50609,0
50608,0
50607,0
50606,0
50605,0
50604,0
50603,0
50602,0
50601,0
50501,344
50401,344
50301,344
50201,344
50107,344
50106,344
50105,0
50104,0
50103,344
50102,0
50101,0
42601,0
42501,0
42401,0
42301,0
42201,0
42101,0
42001,0
41901,0
41801,0
41701,0
41601,0
41501,0
41401,0
41301,0
41201,0
41101,0
41015,0
41014,0
41013,0
41012,0
41011,0
41010,0
41009,0
41008,0
41007,0
41006,0
41005,0
41004,0
41003,0
41002,0
41001,0
40901,0
40801,0
40701,0
40601,0
40501,0
40401,0
40301,0
40201,0
40106,0
40105,0
40104,0
40103,0
40102,0
40101,0
37001,344
36001,344
35001,344
34002,341
34001,341
33001,341
32001,341
31916,341
31915,341
31914,341
31913,341
31912,341
31911,341
31910,341
31909,341
31908,341
31907,341
31906,341
31905,341
31904,341
31903,341
31902,341
31901,341
31801,341
31701,341
31601,341
31501,341
31401,341
31301,341
31201,341
31114,341
31113,341
31112,341
31111,341
31110,341
31109,341
31108,344
31107,341
31106,341
31105,341
31104,341
31103,341
31102,341
31101,341
31001,341
30902,341
30901,341
30805,342
30804,342
30803,342
30802,342
30801,342
30703,341
30702,342
30701,342
30601,342
30502,342
30501,342
30401,342
30303,342
30302,342
30301,342
30201,342
30104,342
30103,342
30102,342
30101,342
20402,342
20401,342
20302,0
20301,342
20201,0
20108,0
20107,0
20106,344
20105,344
20104,344
20103,341
20102,341
20101,341
10199,310
10198,342
10197,310
10196,310
10195,310
10194,310
10193,310
10192,310
10191,310
10190,310
10189,310
10188,310
10187,310
10186,310
10185,310
10184,310
10183,310
10182,310
10181,310
10180,310
10179,310
10178,310
10177,310
10176,310
10175,310
10174,310
10173,310
10172,310
10171,310
10170,310
10169,310
10168,310
10167,310
10166,310
10165,310
10164,310
10163,310
10162,310
10161,310
10160,310
10159,310
10158,310
10157,310
10156,310
10155,310
10154,310
10153,310
10152,310
10151,310
10150,310
10149,310
10148,310
10147,310
10146,310
10145,310
10144,310
10143,310
10142,310
10141,310
10140,310
10139,310
10138,310
10137,310
10136,310
10135,310
10134,310
10133,310
10132,310
10131,310
10130,310
10129,310
10128,310
10127,310
10126,310
10125,310
10124,310
10123,310
10122,310
10121,310
10120,310
10119,310
10118,310
10117,310
10116,310
10115,310
10114,310
10113,310
10112,310
10111,310
10110,310
10109,310
10108,310
10107,310
10106,310
10105,310
10104,310
10103,310
10102,310
10101,310
