TAZ_BSMA,citycode
71103,0
71102,0
71101,0
71004,0
71003,0
71002,0
71001,0
70902,0
70901,0
70801,0
70702,0
70701,2200
70602,0
70601,0
70501,0
70403,0
70402,0
70401,0
70301,0
70212,0
70211,0
70210,0
70209,0
70208,0
70207,0
70206,0
70205,0
70204,0
70203,0
70202,0
70201,0
70109,2560
70108,2560
70107,2560
70106,2560
70105,2560
70104,2560
70103,2560
70102,2560
70101,2560
60603,0
60602,0
60601,0
60517,2200
60516,2200
60515,2200
60514,2200
60513,2200
60512,2200
60511,2200
60510,2200
60509,2200
60508,2200
60507,2200
60506,2200
60505,2200
60504,2200
60503,2200
60502,2200
60501,2200
60404,0
60403,0
60402,0
60401,0
60301,0
60201,0
60112,2200
60111,0
60110,0
60109,0
60108,0
60107,0
60106,0
60105,0
60104,0
60103,0
60102,0
60101,0
51401,0
51302,0
51301,0
51201,0
51101,0
51002,0
51001,0
50901,0
50801,0
50701,0
50611,31
50610,31
50609,31
50608,0
50607,31
50606,31
50605,31
50604,31
50603,31
50602,31
50601,31
50501,0
50401,0
50301,0
50201,0
50107,0
50106,0
50105,0
50104,0
50103,0
50102,0
50101,0
42601,0
42501,0
42401,0
42301,0
42201,0
42101,0
42001,0
41901,0
41801,0
41701,0
41601,0
41501,0
41401,0
41301,0
41201,0
41101,0
41015,246
41014,246
41013,246
41012,246
41011,246
41010,246
41009,246
41008,246
41007,246
41006,246
41005,246
41004,246
41003,246
41002,246
41001,246
40901,0
40801,0
40701,0
40601,0
40501,0
40401,0
40301,0
40201,0
40106,0
40105,0
40104,0
40103,0
40102,0
40101,0
37001,0
36001,0
35001,0
34002,0
34001,0
33001,0
32001,1161
31916,1161
31915,1161
31914,1161
31913,1161
31912,1161
31911,1161
31910,0
31909,1161
31908,1161
31907,1161
31906,1161
31905,1161
31904,1161
31903,1161
31902,1161
31901,1161
31801,0
31701,0
31601,0
31501,0
31401,0
31301,0
31201,0
31114,0
31113,0
31112,0
31111,0
31110,0
31109,0
31108,0
31107,0
31106,0
31105,0
31104,0
31103,0
31102,0
31101,0
31001,0
30902,0
30901,0
30805,0
30804,0
30803,0
30802,0
30801,0
30703,0
30702,0
30701,0
30601,0
30502,0
30501,0
30401,0
30303,0
30302,0
30301,0
30201,0
30104,0
30103,0
30102,0
30101,0
20402,0
20401,0
20302,0
20301,0
20201,0
20108,0
20107,0
20106,0
20105,0
20104,0
20103,0
20102,0
20101,0
10199,9000
10198,0
10197,9000
10196,9000
10195,9000
10194,9000
10193,9000
10192,9000
10191,9000
10190,9000
10189,9000
10188,9000
10187,9000
10186,9000
10185,9000
10184,9000
10183,9000
10182,9000
10181,9000
10180,9000
10179,9000
10178,9000
10177,9000
10176,9000
10175,9000
10174,9000
10173,9000
10172,9000
10171,9000
10170,9000
10169,9000
10168,9000
10167,9000
10166,9000
10165,9000
10164,9000
10163,9000
10162,9000
10161,9000
10160,9000
10159,9000
10158,9000
10157,9000
10156,9000
10155,9000
10154,9000
10153,9000
10152,9000
10151,9000
10150,9000
10149,9000
10148,9000
10147,9000
10146,9000
10145,9000
10144,9000
10143,9000
10142,9000
10141,9000
10140,9000
10139,9000
10138,9000
10137,9000
10136,9000
10135,9000
10134,9000
10133,9000
10132,9000
10131,9000
10130,9000
10129,9000
10128,9000
10127,9000
10126,9000
10125,9000
10124,9000
10123,9000
10122,9000
10121,9000
10120,9000
10119,9000
10118,9000
10117,9000
10116,9000
10115,9000
10114,9000
10113,9000
10112,9000
10111,9000
10110,9000
10109,9000
10108,9000
10107,9000
10106,9000
10105,9000
10104,9000
10103,9000
10102,9000
10101,9000
