year,code,MahozNum,population,employment
2015,2015,1,1028211.7405986484,309090.11756530014
2015,2015,7,2891243.348340999,46455.936573100014
2015,2015,4,98689.16653817001,10795.5431911
2020,2020,1,1245561.6635311907,360244.5047036668
2020,2020,7,3168105.8566539017,51002.644185560006
2020,2020,4,101614.3171275,11241.899613549998
2025,2025,1,1384639.3544109894,402618.5719619035
2025,2025,7,3488632.500294901,56623.20050177999
2025,2025,4,120139.7990062,12434.57700396
2030,2030,1,1605370.5659264296,467629.94206282793
2030,2030,7,3812409.9314362,65117.05288365998
2030,2030,4,137168.62317290003,13429.531408239998
2035,2035,1,1801801.281632139,523259.0961687918
2035,2035,7,4145177.3247592,78265.39013340998
2035,2035,4,167884.82585420003,15426.003291849996
2040,2040,1,1928001.8398272493,572087.8343795028
2040,2040,7,4458045.149156798,90666.33464754999
2040,2040,4,194827.8658175,16835.540201940003
