TAZ,Agg_taz_nu,super_taz,שם איזור 2020,similar,sector,in_jerusalem_metropolin,jerusalem district,in jerusalem,city,hh2015,newhh1520,newhh2025,newhh2530,newhh3035,newhh3540,newhh1540,hh20,hh25,hh30,hh35,hh40,pop15,pop20,pop25,pop30,pop35,pop40,hhsize15,hhsize20,hhsize25,hhsize30,hhsize35,hhsize40,emp2hh,empd15,empd20,empd25,empd30,empd35,empd40,empi15,empi20,empi25,empi30,empi35,empi40,empe15,empe20,empe25,empe30,empe35,empe40,emp15,emp20,emp25,emp30,emp35,emp40,school16,school20,school25,school30,school35,school40,yeshiva15,yeshiva20,yeshiva25,yeshiva30,yeshiva35,yeshiva40,college15,college20,college25,college30,college35,college40,ind30,htl30,bsn30,pub30,edu30,agr30,ind40,htl40,bsn40,pub40,edu40,agr40,InJerDistrict
1,0,0,המשולש,,Jewish,yes,jerusalem,yes,ירושלים,421.1456547,54,112.7,161.6,37.5,63.9,429.7,475.1456547,587.8456547,749.4456547,786.9456547,850.8456547,775.2151569,864.1462599,1116.26981,1505.204377,1556.081013,1684.060583,1.840729326,1.818697596,1.898916495,2.008423649,1.97736782,1.979278585,,,,,,,,,,,,,,,,,,,,4776.6619,4890.762058,4997.307881,6021.157488,6148.637881,6544.966524,111,111,111,111,111,111,0,0,0,0,0,0,,,,,,,0,2172.898358,3526.392263,321.8668674,0,0,0,2361.929088,3833.169845,349.8675922,0,0,1
2,0,0,נחלת שבעה,,Jewish,yes,jerusalem,yes,ירושלים,151.5776044,66.6,12.5,12.5,12.5,12.5,116.6,218.1776044,230.6776044,243.1776044,255.6776044,268.1776044,266.7183682,375.299171,387.9023606,405.4274634,426.259401,446.0652006,1.759615936,1.720154422,1.681577896,1.667207243,1.667175356,1.663320103,,,,,,,,,,,,,,,,,,,,785.9257,1419.862103,1473.004595,1482.979117,1492.258089,1500.755673,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,621.2859888,740.4505644,121.242564,0,0,0,628.7333796,749.3263877,122.6959056,0,0,1
3,0,0,בית אגרון,,Jewish,yes,jerusalem,yes,ירושלים,138.5704396,154.8,0,10.8,0,0,165.6,293.3704396,293.3704396,304.1704396,304.1704396,304.1704396,330.8692763,747.2962456,729.922877,743.662612,730.5673861,709.2510737,2.387733468,2.54727861,2.488058708,2.44488785,2.401835586,2.331755428,,,,,,,,,,,,,,,,,,,,2449.979,2701.082912,2758.065519,2787.792641,2814.237592,2838.008472,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,711.2599031,1526.632161,549.9005775,0,0,0,724.0716548,1554.131015,559.8058029,0,0,1
4,0,0,גן העצמאות,,Jewish,yes,jerusalem,yes,ירושלים,88.32144079,0,58.4,0,0,0,58.4,88.32144079,146.7214408,146.7214408,146.7214408,146.7214408,191.3799874,178.675403,324.7231932,312.1453243,301.625415,293.973924,2.166857624,2.023012775,2.213195232,2.12746905,2.055769173,2.003619392,,,,,,,,,,,,,,,,,,,,687.975225,694.9956187,1472.806279,1603.78582,1611.04568,1617.734538,,0,0,0,0,0,33,33,33,33,33,33,,,,,,,0,642.4304925,825.8810365,65.50014948,69.97414112,0,0,648.0179479,833.0640291,66.06982849,70.58273209,0,1
5,0,0,בה'ס ניסויי,,Jewish,yes,jerusalem,yes,ירושלים,200.358824,180,168,0,0,0,348,380.358824,548.358824,548.358824,548.358824,548.358824,437.1794109,891.0861511,1228.553942,1187.460029,1155.931631,1119.038347,2.181982316,2.342751357,2.240419755,2.165479933,2.107984006,2.04070455,,,,,,,,,,,,,,,,,,,,2521.4336,2585.427461,2612.378014,2641.836758,3823.594786,4448.183065,1062,1062,1531.072856,1531.072856,1531.072856,1531.072856,0,0,0,0,0,0,,,,,,,0,486.9602881,1899.64743,100.1330614,155.0959782,0,0,819.9176201,3198.524475,168.5986792,261.1422911,0,1
6,0,0,המעלות,,Jewish,yes,jerusalem,yes,ירושלים,208.5367352,0,12,58.2,0,86.1,156.3,208.5367352,220.5367352,278.7367352,278.7367352,364.8367352,448.2588914,418.2487733,415.8279768,522.5968827,500.5969479,729.4941465,2.149544017,2.005635952,1.885527037,1.874876242,1.795948953,1.999508482,,,,,,,,,,,,,,,,,,,,1117.8183,1128.943963,1140.658107,1155.160964,1166.928155,1184.730103,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,404.3063375,635.3385304,115.5160964,0,0,0,414.655536,651.6015566,118.4730103,0,0,1
7,0,0,המשביר לצרכן,,Jewish,yes,jerusalem,yes,ירושלים,388.845398,0,253.4,136.1,50.4,13.5,453.4,388.845398,642.245398,778.345398,828.745398,842.245398,715.7591272,664.8832653,1280.975788,1493.423886,1585.641983,1581.370227,1.840729326,1.709891049,1.994527001,1.91871615,1.913304118,1.877564699,,,,,,,,,,,,,,,,,,,,2651.6526,2678.653935,3211.871493,3290.842438,3322.83259,3349.539231,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1197.92005,1957.642886,115.6090658,19.67043621,0,0,1219.286635,1992.560194,117.6711157,20.02128604,0,1
8,0,0,מרכז כלל,,Jewish,yes,jerusalem,yes,ירושלים,136.2827813,42,73.6,47.8,16,8,187.4,178.2827813,251.8827813,299.6827813,315.6827813,323.6827813,326.9581159,419.7502277,619.9976814,737.8672739,770.3835984,777.2615512,2.399115376,2.354406997,2.461453214,2.462161058,2.440372564,2.401306452,,,,,,,,,,,,,,,,,,,,2712.7282,2741.730099,2789.282707,2849.001271,2891.324062,2930.325147,117,153.0573798,140.4130688,155.2260213,152.6974562,151.5546018,18,18,18,18,18,18,,,,,,,0,662.4735992,1842.678562,279.1937215,64.65538887,0,0,681.3837069,1895.277262,287.1632215,66.5009573,0,1
9,0,0,בי''ח ביקור חולים,,Jewish,yes,jerusalem,yes,ירושלים,233.6272545,0,187.8,92.4,70,0,350.2,233.6272545,421.4272545,513.8272545,583.8272545,583.8272545,334.6780562,325.9867113,767.1745425,969.0861339,1121.943802,1092.742152,1.432530023,1.395328263,1.820419857,1.886015437,1.921705082,1.871687462,,,,,,,,,,,,,,,,,,,,1063.6549,1522.787413,1545.885772,1607.09565,1752.128379,1762.089684,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,553.6186915,641.9271129,411.5498455,0,0,0,607.0116518,703.8368522,451.2411797,0,0,1
10,0,0,גוש 50,,Jewish,yes,jerusalem,yes,ירושלים,210,0,0,108,0,0,108,210,210,318,318,318,554.4,738,774.9,1232.091,1293.69555,1358.314286,2.64,3.514285714,3.69,3.8745,4.068225,4.271428571,,,,,,,,,,,,,,,,,,,,1423.207,1454.718469,1471.696625,1489.969441,1506.861177,1522.453385,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,446.9908324,446.9908324,595.9877766,0,0,0,456.7360155,456.7360155,608.981354,0,0,1
