scenario,year,taz,pop,hh,hhsize,empd,empi,empe,emp,school,yeshiva,college,ind,htl,bsn,pub,edu,agr,
base,2015,1,775.2151569,421.1456547,1.840729326,,,,4776.6619,111,0,,,,,,,,
base,2015,2,266.7183682,151.5776044,1.759615936,,,,785.9257,,0,,,,,,,,
base,2015,3,330.8692763,138.5704396,2.387733468,,,,2449.979,,0,,,,,,,,
base,2015,4,191.3799874,88.32144079,2.166857624,,,,687.975225,,33,,,,,,,,
base,2015,5,437.1794109,200.358824,2.181982316,,,,2521.4336,1062,0,,,,,,,,
base,2015,6,448.2588914,208.5367352,2.149544017,,,,1117.8183,,0,,,,,,,,
base,2015,7,715.7591272,388.845398,1.840729326,,,,2651.6526,,0,,,,,,,,
base,2015,8,326.9581159,136.2827813,2.399115376,,,,2712.7282,117,18,,,,,,,,
base,2015,9,334.6780562,233.6272545,1.432530023,,,,1063.6549,,0,,,,,,,,
base,2015,10,554.4,210,2.64,,,,1423.207,,0,,,,,,,,
base,2015,11,377.2286494,241.6833667,1.560838276,,,,2256.6942,,0,2909,,,,,,,
base,2015,12,852.103512,151.8405797,5.611829945,,,,391.9624,,0,,,,,,,,
base,2015,13,1392.354586,414,3.363175328,,,,1044.991425,452,17,,,,,,,,
base,2015,14,38.47317166,16.11284181,2.387733468,,,,5300.994,,0,,,,,,,,
base,2015,15,552.3126989,366.2889408,1.523457584,,,,1843.824,,0,,,,,,,,
base,2015,101,3446.978998,770.75,4.472240023,,,,481.7033,1256,1903,,,,,,,,
base,2015,102,6134.801838,967,6.344159088,,,,893.1076,1915,7118,,,,,,,,
base,2015,103,4279.791244,732,5.846709349,,,,651.309,3978,858,,,,,,,,
base,2015,104,1571.59974,350,4.490284972,,,,348.33315,456,83,,,,,,,,
base,2015,105,405,80,5.0625,,,,1440.4875,799,178,,,,,,,,
base,2015,106,2858.606033,495,5.774961684,,,,644.79591,630,451,,,,,,,,
base,2015,107,1033.435772,320.6332665,3.223108391,,,,967.1516,750,793,,,,,,,,
base,2015,108,1215.336812,444.4573615,2.734428355,,,,960.1859,1161,0,,,,,,,,
base,2015,109,2038.842312,744.7306385,2.737690927,,,,517.024,2258,990,,,,,,,,
base,2015,110,1939.631735,396,4.898059938,,,,722.83101,1409,560,,,,,,,,
base,2015,111,2459.576583,405,6.0730286,,,,1218.6551,1688,797,,,,,,,,
base,2015,112,3365.096776,712,4.726259517,,,,1209.9453,2400,689,,,,,,,,
base,2015,113,2645.594258,596.6666667,4.433956857,,,,472.4478,2573,441,,,,,,,,
base,2015,201,0,0,,,,,1318.24,61,0,,,,,,,,
base,2015,202,62.02342342,11.82445796,5.245350243,,,,1833.98,1249,0,,,,,,,,
base,2015,203,606.4027027,126.3338964,4.8,,,,938.36325,434,0,,,,,,,,
base,2015,204,860.8423423,186.1088213,4.8,,,,1375.6776,1273,0,,,,,,,,
base,2015,205,422.4009009,96.16685435,4.8,,,,2834.43,1511,0,,,,,,,,
base,2015,206,117.6306306,24.0288194,5.104280739,,,,1378.16,492,0,,,,,,,,
base,2015,207,198.9027027,39.45074733,5.092216075,,,,861.35,,0,,,,,,,,
base,2015,208,50.26036036,9.862686832,5.146971087,,,,790.73,728,0,,,,,,,,
base,2015,209,106.9369369,21.30340356,5.069908478,,,,1318.24,,0,,,,,,,,
base,2015,301,25721.67,4676.667273,5.5,,,,3617.67,3670,268,,,,,,,,
base,2015,302,3185,543.8333333,5.898148148,,,,3085.1417,1314,590,,,,,,,,
base,2015,303,3167,766.3441146,4.173934319,,,,951.23,381,274,,,,,,,,
base,2015,304,4249.07,1148.397297,3.7,,,,3270.99,1466,350,,,,,,,,
base,2015,401,0,0,,,,,311.1453,,156,,,,,,,,
base,2015,402,28.05907848,11.47033477,2.446230127,,,,648.6875,,0,,,,,,,,
base,2015,403,15.3049519,6.256546238,2.446230127,,,,389.2125,,0,,,,,,,,
base,2015,404,307.5197,122.5714286,2.508901981,,,,302.1252,,0,,,,,,,,
base,2015,405,98.66294708,54.54545455,1.808820697,,,,1174.5818,41,0,,,,,,,,
base,2015,406,627.6852445,330.6227273,1.917927136,,,,978.8146,,110,,,,,,,,
base,2015,407,479.483093,275.1163124,1.777072293,,,,555.4477,,0,,,,,,,,
base,2015,408,140.7361266,82.30246007,1.709986876,,,,1037.151,,0,,,,,,,,
base,2015,409,545,131.5789474,4.142,,,,1957.993,,0,,,,,,,,
base,2015,501,997.0129618,590.9813402,1.687046433,,,,401.60845,60,0,,,,,,,,
base,2015,502,933.205136,464.4855244,2.009115649,,,,921.912,,0,,,,,,,,
base,2015,503,767.5252507,400.9473684,1.914279307,,,,443.67015,622,56,,,,,,,,
base,2015,504,180.2067928,78.46039264,2.296786783,,,,913.566,,0,,,,,,,,
base,2015,505,1520.77532,932.672506,1.63055661,,,,323.114748,,0,,,,,,,,
base,2015,506,922.7391526,458.6925968,2.011672216,,,,532.0575,760,0,,,,,,,,
base,2015,507,798.5804689,566,1.410919556,,,,571.358172,70,0,,,,,,,,
base,2015,508,1453.810616,586.7898462,2.477566074,,,,726.665676,183,36,,,,,,,,
base,2015,509,362.606864,186.6666667,1.942536771,,,,843.4061,1389,0,,,,,,,,
base,2015,510,121.6996456,61.75438596,1.970704489,,,,1084.3701,,0,104,,,,,,,
base,2015,511,2213.103776,1080.617748,2.047998731,,,,1241.4675,,85,,,,,,,,
base,2015,601,0,0,,,,,69.1648,,0,,,,,,,,
base,2015,602,0,0,,,,,3111.453,,0,,,,,,,,
base,2015,603,0,0,,,,,1761.8727,,0,,,,,,,,
base,2015,604,0,0,,,,,760.8663,,0,,,,,,,,
base,2015,605,1154.428973,519.6153846,2.221698987,,,,570.43305,69,24,380,,,,,,,
base,2015,606,0,0,,,,,856.9844,,0,,,,,,,,
base,2015,607,0,0,,,,,0,,0,,,,,,,,
base,2015,608,0,0,,,,,2472.1815,2167,0,5458,,,,,,,
base,2015,609,0,0,,,,,3341.931,,0,,,,,,,,
base,2015,610,0,0,,,,,668.2043,,0,,,,,,,,
base,2015,611,0,0,,,,,460.956,,0,,,,,,,,
base,2015,701,12.48419916,5.482640625,2.277041304,,,,397.781274,,0,,,,,,,,
base,2015,702,1911.71121,750,2.54894828,,,,172.8585,,0,,,,,,,,
base,2015,703,0,0,,,,,864.2925,,0,,,,,,,,
base,2015,704,0,0,,,,,130.5079,,0,,,,,,,,
base,2015,705,0,0,,,,,913.566,,0,,,,,,,,
base,2015,706,0,0,,,,,230.478,,0,,,,,,,,
base,2015,707,138.9120176,32.29448961,4.301415481,,,,2981.809125,301,0,,,,,,,,
base,2015,708,,0,,,,,0,,,,,,,,,,
base,2015,801,1448.004223,844,1.723814551,,,,334.441875,,218,,,,,,,,
base,2015,802,830.8442447,416.8595238,2.030694732,,,,283.242375,144,18,,,,,,,,
base,2015,803,860.8835589,316.5401429,2.760656633,,,,277.7934,83,107,,,,,,,,
base,2015,804,216.5507723,112.9039474,1.940785224,,,,481.9494,,0,360,,,,,,,
base,2015,805,678.8584708,200,3.394292354,,,,299.6214,51,456,,,,,,,,
base,2015,806,1083.381724,535,2.025012568,,,,639.111,448,0,,,,,,,,
base,2015,807,1006.759248,695.5454545,1.447438469,,,,171.3926,25,0,,,,,,,,
base,2015,808,1706.500339,796.6190476,2.155709042,,,,258.5441,265,633,,,,,,,,
base,2015,809,511.1249668,222.2360098,2.299919654,,,,675.854586,,24,,,,,,,,
base,2015,810,844.9057368,398.8864844,2.118160855,,,,1809.2523,,0,,,,,,,,
base,2015,901,3713.907995,1016.969918,3.651934959,,,,845.3642,2822,1848,,,,,,,,
base,2015,902,1593.752334,441.9088112,3.606518571,,,,903.1014,121,522,,,,,,,,
base,2015,903,2988.749708,784.6153846,3.809190805,,,,2393.7398,3071,973,,,,,,,,
base,2015,904,794.0117138,183.3333333,4.330972984,,,,2419.1523,,250,,,,,,,,
base,2015,905,1384.309503,379.4652796,3.648053134,,,,654.85926,3992,247,,,,,,,,
base,2015,906,2619.067334,531.5444347,4.927278254,,,,281.0034,1044,35,,,,,,,,
base,2015,907,4814.987799,1046.880597,4.59936674,,,,1209.9453,2431,1082,,,,,,,,
base,2015,908,2826.134825,579.7957111,4.92090182,,,,695.8317,335,388,,,,,,,,
base,2015,1001,0,0,,,,,2813.5008,,0,,,,,,,,
base,2015,1002,0,0,,,,,4581.9861,,0,20186,,,,,,,
base,2015,1003,1026.036663,592.8571429,1.730664251,,,,241.1566,,0,,,,,,,,
base,2015,1004,878.3121076,507.5,1.730664251,,,,172.8906,,0,,,,,,,,
base,2015,1101,5931.145792,1258.4,4.713243636,,,,457.96,2866,0,,,,,,,,
base,2015,1102,2462.776576,514.8,4.783948283,,,,303.697779,659,0,,,,,,,,
base,2015,1103,3627.53664,769.6,4.713535135,,,,203.3,887,0,,,,,,,,
base,2015,1104,4944.060992,1029.6,4.80192404,,,,474.01,34,0,,,,,,,,
base,2015,1201,12602.15583,3093.161825,4.074198682,,,,820.69,2562,0,,,,,,,,
base,2015,1202,3616.053198,887.7324912,4.073359073,,,,312.44,,0,,,,,,,,
base,2015,1203,2307.971954,566.6016455,4.073359073,,,,312.44,126,0,,,,,,,,
base,2015,1204,5354.588564,1177.76,4.546417406,,,,431.21,2604,0,,,,,,,,
base,2015,1205,101.4811789,22.88,4.612780858,,,,241.82,,0,,,,,,,,
base,2015,1206,3627.037397,890.4290861,4.073359073,,,,1212.31,2513,0,,,,,,,,
base,2015,1207,,0,,,,,462.24,,0,,,,,,,,
base,2015,1301,3370.363926,748.5410437,4.50257732,,,,614.18,526,0,,,,,,,,
base,2015,1302,2331.948014,517.914041,4.50257732,,,,493.27,618,64,,,,,,,,
base,2015,1303,483.8658848,153.92,3.269364086,,,,795.01,1167,0,,,,,,,,
base,2015,1304,2172.043983,595.9,3.681430479,,,,1969.87,564,0,,,,,,,,
base,2015,1305,326.5024222,95.95,3.436867602,,,,1252.97,,0,,,,,,,,
base,2015,1401,1488.318441,617.6410073,2.409682037,,,,512.8189,707,0,,,,,,,,
base,2015,1402,2773.737765,1152.683317,2.406331144,,,,445.0451,137,23,,,,,,,,
base,2015,1403,2038.7,703,2.9,,,,172.8906,290,0,,,,,,,,
base,2015,1404,218,52.38095238,4.161818182,,,,388.995825,,0,,,,,,,,
base,2015,1405,0,0,,,,,2465.9327,,0,,,,,,,,
base,2015,2001,0,0,,,,,0,22,0,,,,,,,,
base,2015,2101,5406.480341,1041.770886,5.189701897,,,,556.4,1743,0,,,,,,,,
base,2015,2102,7487.842108,1477.6,5.067570457,,,,328.49,1312,0,,,,,,,,
base,2015,2103,5920.489387,1224,4.837001133,,,,515.74,1020,0,,,,,,,,
base,2015,2201,8045.202104,1690.208632,4.759887006,,,,756.49,2797,0,,,,,,,,
base,2015,2202,7683.075555,1614.12982,4.759887006,,,,337.05,1331,0,,,,,,,,
base,2015,2203,5421.478385,1138.993085,4.759887006,,,,371.29,282,0,,,,,,,,
base,2015,2301,12109.62721,2255.109149,5.369863014,,,,455.82,1636,0,,,,,,,,
base,2015,2302,3042.941338,566.6701981,5.369863014,,,,170.13,,0,,,,,,,,
base,2015,2303,14016.70984,2611.501928,5.367298293,,,,738.3,1245,0,,,,,,,,
base,2015,2401,7987.313989,1539.069902,5.189701897,,,,651.63,957,0,,,,,,,,
base,2015,2402,4394.172607,846.7100219,5.189701897,,,,231.12,697,0,,,,,,,,
base,2015,2403,8437.058495,1625.730854,5.189701897,,,,570.31,2214,0,,,,,,,,
base,2015,2404,3969.804305,861.4344324,4.608365019,,,,304.95,1966,0,,,,,,,,
base,2015,2501,7673.725426,1665.280916,4.608066635,,,,554.26,,0,,,,,,,,
base,2015,2502,115.7551137,29.12,4.134111204,,,,0,,0,,,,,,,,
base,2015,2504,7011.934682,1524.333626,4.6,,,,380.92,2101,0,,,,,,,,
base,2015,2505,6234.150878,1352.790166,4.608365019,,,,1053.95,6188,0,,,,,,,,
base,2015,3001,966.7714896,270,3.580635147,,,,3482.5183,240,0,,,,,,,,
base,2015,3002,2.382464374,0,,,,,1766.6128,,0,,,,,,,,
base,2015,3003,16.49332334,4.578461538,3.602372369,,,,488.2945,183,0,,,,,,,,
base,2015,3004,41.23330834,11.44615385,3.602372369,,,,4351.5402,,0,,,,,,,,
base,2015,3005,0,0,,,,,1874.9075,,0,,,,,,,,
base,2015,3006,38.11942999,0,,,,,3617.991,62,34,,,,,,,,
base,2015,3101,5109.087141,1794.477947,2.847116148,,,,757.118625,330,99,,,,,,,,
base,2015,3102,0,0,,,,,0,,0,,,,,,,,
base,2015,3103,638,189,3.375661376,,,,439.8128,31,0,,,,,,,,
base,2015,3104,2280.829236,699.7844243,3.290918111,,,,172.8478,59,221,,,,,,,,
base,2015,3105,19.87152769,6.019198888,3.301357549,,,,0,,0,,,,,,,,
base,2015,3106,1437.497593,463.2475142,3.103087549,,,,52.8366,39,0,,,,,,,,
base,2015,3107,721.6009744,228.7642045,3.154343905,,,,35.2244,23,0,,,,,,,,
base,2015,3108,975.4447954,314.5507813,3.101072557,,,,422.684775,800,0,,,,,,,,
base,2015,3109,180.7784101,92.80194805,1.94800232,,,,842.973285,619,0,,,,,,,,
base,2015,3110,646.0827967,331.6980519,1.947804013,,,,0,,0,,,,,,,,
base,2015,3111,570.8877011,232.1428571,2.459208558,,,,259.475,,0,,,,,,,,
base,2015,3112,3474.772858,1400,2.481980613,,,,88.6067,67,0,,,,,,,,
base,2015,3201,2549.688313,968.2058745,2.633415454,,,,414.8604,416.5,0,,,,,,,,
base,2015,3202,2882.402199,1120.423748,2.572600057,,,,421.593375,106,0,,,,,,,,
base,2015,3203,2604.623972,802.2239216,3.246754306,,,,86.4346,54,0,,,,,,,,
base,2015,3204,2765,1240.909091,2.228205128,,,,410.2487,567,0,,,,,,,,
base,2015,3205,4123.666758,1023.806534,4.027779294,,,,226.5939,794,47,,,,,,,,
base,2015,3206,68.87228355,28.15445807,2.446230127,,,,324.3491,,0,129,,,,,,,
base,2015,3301,4701.947272,1258,3.737636941,,,,242.2625117,667.6349581,0,,,,,,,,
