TAZV41,citycode
8428,70
8449,70
8427,70
8426,70
8406,70
8404,70
8402,70
5302,8300
8301,0
8327,0
8204,0
8202,0
8206,0
5374,8300
8201,0
5312,8300
2939,6200
2926,6200
2910,6200
2902,6200
1721,5000
1720,5000
1707,5000
1706,5000
1704,5000
1522,5000
1521,5000
1520,5000
1501,5000
1502,5000
1327,5000
1326,5000
1307,5000
1306,5000
1301,5000
1121,5000
1112,5000
2107,2650
4012,7900
2045,6400
2024,6400
2005,6400
2003,6400
6606,NULL
6604,0
6171,7400
6168,7400
6156,7400
5506,7200
6146,7400
6128,7400
6110,7400
6111,7400
6109,7400
6102,7400
6101,7400
6010,0
6002,0
6003,0
6004,0
6001,0
6005,0
6008,NULL
6015,NULL
6007,NULL
6006,NULL
6016,NULL
6017,NULL
6307,0
6308,0
6511,2730
6516,2730
6515,2730
6701,2730
6305,NULL
6704,2720
7001,0
7002,NULL
7003,NULL
5639,8400
5640,8400
7110,0
7004,0
7123,634
7124,634
5643,NULL
5644,NULL
8212,0
3011,8700
3012,8700
6605,0
1103,5000
7215,2640
7213,2640
7502,0
7515,1200
7630,1200
8022,NULL
5402,2530
5009,0
5008,0
8014,NULL
8007,0
8013,NULL
8110,NULL
8111,NULL
8112,NULL
6510,2730
8120,NULL
8105,NULL
8330,NULL
8329,NULL
8343,NULL
8441,70
8414,70
8451,70
8450,70
5314,8300
8447,70
8448,70
8429,70
8425,70
8423,70
8407,70
8408,70
8405,70
8328,0
8403,70
8401,70
8323,2660
8325,2660
8326,0
8320,2660
8314,2660
8313,2660
8312,2660
1213,5000
5371,8300
8203,0
4104,681
5370,8300
5339,8300
5311,8300
2009,6400
2004,6400
2001,6400
8006,0
2943,6200
2938,6200
2927,6200
2925,6200
2911,6200
2909,6200
2903,6200
2901,6200
1722,5000
1723,5000
1718,5000
1719,5000
1708,5000
1705,5000
1709,5000
1703,5000
1702,5000
1523,5000
1524,5000
1519,5000
1518,5000
1504,5000
1503,5000
1325,5000
1323,5000
1324,5000
1321,5000
1308,5000
