"scenario","year","sectorzn","empl_indu","empl_comm","empl_serv","empl_tot","students","population","households","parkcost","parkwalk","ga21","ga22","ga23","ga24","ga25","ga26","ga11","ga12","ga13","ga14","ga15","ga16","workers","Mlic2","Mlic3","Mlic4","Mlic5","Mlic6","Flic2","Flic3","Flic4","Flic5","Flic6","emp2pop","Hh0car","HH1car","HH2car","HH3car"
"base",2017,10,81208,71130,252856,405194,45066,441945,205211,645,645,39334,9237,11846,50261,78798,34796,37826,8910,11489,49589,76862,33009,233543,77.3800,175.0400,184.0700,187.2800,164.2200,56.8000,134.1000,152.9800,145.8900,107.5500,825.3960,90238,75190,34599,5186
"base",2017,21,17819,17514,48662,83995,7022,142379,53122,204,204,15316,4104,4402,9950,27008,12719,14368,3851,4134,9342,25341,11843,67041,25.0500,54.0300,57.8600,59.7200,54.0700,18.8500,44.5700,50.4700,48.1900,36.7900,408.7430,8273,17238,23995,3616
"base",2017,22,36311,32846,118353,187510,40065,487955,168216,432,432,69094,17852,17638,37771,73664,32968,67429,17873,17310,35890,69499,30936,190152,49.7600,113.2900,120.0400,121.6100,103.9600,35.2700,81.4000,93.8000,88.9100,64.0200,414.9870,70333,68440,26020,3429
"base",2017,23,29435,19390,42728,91553,4517,334415,121939,345,345,34702,9475,10478,26274,62228,30330,32385,8899,9779,24378,57786,27708,160231,38.2400,89.8200,95.1300,95.2800,78.0900,26.2900,59.2600,69.7100,65.9300,44.6900,298.6420,53894,47450,18047,2549
"base",2017,31,21586,20188,64807,106581,1672,236322,79141,264,264,28185,8019,7674,14958,46122,16872,26557,7539,7234,14055,43386,15733,117051,33.3200,75.8700,78.4000,79.9600,71.0500,24.9800,61.1200,68.9100,66.2500,48.5100,257.8020,11486,27688,34859,5108
"base",2017,32,59064,36540,76436,172040,4275,320172,105343,288,288,42368,10030,9668,21754,57801,21813,40819,9671,9279,20801,55420,20729,154071,33.7900,77.2700,81.6100,82.7300,70.7800,24.2500,56.6800,65.4700,62.4000,44.2800,349.8430,32951,40585,27514,4297
"base",2017,33,81801,48624,124604,255029,18681,643562,205663,555,555,79667,22416,22459,46057,114717,39517,78542,22165,22185,45286,112327,38128,303621,61.3600,139.7800,150.6700,152.1900,125.7500,41.8200,92.3600,109.7300,103.3800,70.8100,588.1950,69769,85015,44632,6248
"base",2017,41,52682,30905,73974,157561,11559,490859,155380,435,435,67374,18514,16948,31487,84637,28005,67067,18493,16757,30967,83553,26921,216779,49.5800,112.5300,120.4500,122.0800,102.8000,34.5100,78.0800,91.6400,86.6800,60.6900,273.9710,62155,61668,27879,3697
"base",2017,42,33771,19607,40338,93716,128,285373,74149,231,231,51406,11834,9420,16583,45576,7168,51927,11950,9526,16785,45844,7209,116568,27.5500,61.4300,65.4800,66.8400,58.0100,19.7700,45.7200,52.9300,50.3300,36.5100,204.2540,16778,26202,26608,4565
"base",2017,43,55991,23029,59049,138069,5511,401757,122099,339,339,56455,16015,14209,25828,68188,22840,55362,15724,13806,25102,66189,21925,178108,38.3000,87.5000,93.5500,94.5700,78.9400,26.4500,59.3700,69.8200,65.9500,45.7900,255.9300,43762,48204,26601,3538
"base",2025,10,74033,76652,271268,421953,52162,468467,230331,642,642,39885,9676,12364,50848,80846,45023,38134,9248,11863,49912,78180,42356,250402,81.4400,184.9500,185.1200,194.8400,192.6800,63.1400,158.6300,154.2200,165.5300,158.4900,759.6410,99756,86432,38308,5831
"base",2025,21,18600,18640,53967,91207,8401,166656,65014,204,204,17567,4626,4919,11181,30289,17308,16541,4357,4645,10534,28509,16153,80871,25.9300,58.1400,57.8800,61.6500,60.8600,20.3500,52.2500,49.9900,52.6500,50.4600,220.3770,10580,20968,28925,4543
"base",2025,22,38025,39039,133552,210616,46616,544073,199451,432,432,73980,19505,19359,40233,79781,45009,72084,19434,18898,38212,75326,42198,227269,52.8500,121.1500,120.8300,127.7000,125.7500,39.7500,97.4500,94.4200,102.8600,98.0700,302.7640,73519,86748,34612,4574
"base",2025,23,24296,28573,47009,99878,5404,361216,139154,345,345,36026,10045,11080,26892,64291,38946,33703,9406,10349,25000,59801,35651,176961,40.9600,95.5800,95.1900,100.3500,98.4800,29.9400,71.8600,69.1000,77.5400,73.3000,209.3830,54490,57722,23844,3102
"base",2025,31,21898,22519,73394,117811,2000,272569,95842,264,264,31572,9227,8621,16328,51233,23423,29802,8677,8154,15360,48271,21875,137054,35.1700,78.7900,79.1500,83.2800,83.2100,28.3600,71.9900,70.4100,75.8600,73.5600,160.5150,11612,31247,45984,7008
"base",2025,32,47453,49928,88450,185831,5115,358770,126941,288,288,45793,11079,10654,23463,62721,29332,44164,10695,10232,22457,60223,27929,176476,35.9100,81.8900,81.7100,86.3300,85.2100,27.6200,69.0600,66.5000,72.0000,68.8400,304.9210,31463,49257,40105,6124
"base",2025,33,62627,71558,144072,278257,21776,710158,239670,555,555,84965,24837,24591,48778,122877,52280,83837,24570,24321,48011,120477,50517,343971,65.8000,152.2700,151.3600,160.8900,158.0200,48.3700,116.6800,111.2100,124.4100,118.1300,459.0940,64819,101410,64271,9162
"base",2025,41,43990,52392,92627,189009,13831,581941,194701,435,435,77161,22053,20099,36093,97802,39105,77031,22112,19933,35622,96931,37796,267438,53.2300,121.8500,121.6300,128.6700,127.0800,40.2300,97.9800,94.4000,104.5000,100.2600,252.9920,64251,78638,45225,6591
"base",2025,42,31420,34964,51755,118139,153,352729,97739,237,237,61837,14951,11721,19957,56551,10758,62340,15048,11826,20163,56709,10800,154347,29.7700,67.3000,67.2100,71.2700,70.6200,23.0000,57.3000,55.1700,60.1100,58.0100,161.0360,13032,29633,46797,8277
"base",2025,43,35110,42875,69996,147981,7956,470586,153258,342,342,63458,18617,16464,29310,77934,32404,62383,18310,16070,28548,75857,31158,216467,41.1600,94.7700,94.3800,100.1800,98.6900,30.5800,74.2400,71.0200,79.2900,75.6600,206.7860,45492,61246,40733,5796
"base",2030,10,93752,79030,286324,459109,57172,490546,239751,642,642,42009,10174,12993,52903,85030,47396,40028,9681,12392,51735,81809,44347,261465,83.1000,187.5900,187.3800,196.9400,198.6800,64.6900,164.0100,156.7100,169.7400,169.1400,747.4350,100596,92819,40504,5819
"base",2030,21,22498,21792,59612,103913,9398,184932,71445,204,204,19905,5094,5391,12456,33685,18696,18788,4805,5093,11752,31772,17480,89650,26.5600,59.3500,58.5600,62.2800,62.2600,20.8000,54.1000,50.6700,53.7600,53.3200,217.3460,11840,24562,30605,4440
"base",2030,22,49408,42277,146649,238339,51266,586033,213285,432,432,79478,20837,20956,43319,86349,48664,77324,20673,20338,41061,81457,45549,246232,53.8000,122.9600,122.2200,129.0500,130.0900,40.6300,100.7300,95.6800,105.5300,104.9600,298.0440,75240,96187,37225,4633
