"scenario","year","TZ28","empl_indu","empl_comm","empl_serv","empl_tot","students","population","households","parkcost","parkwalk","ga21","ga22","ga23","ga24","ga25","ga26","ga11","ga12","ga13","ga14","ga15","ga16","workers","Mlic2","Mlic3","Mlic4","Mlic5","Mlic6","Flic2","Flic3","Flic4","Flic5","Flic6","emp2pop","Hh0car","HH1car","HH2car","HH3car"
"base",2017,1,81363,71201,253156,405720,45066,442394,205406,648,648,39381,9247,11857,50302,78880,34843,37867,8919,11499,49627,76935,33050,233751,77.7800,175.9300,184.9900,188.2300,165.1000,57.1100,134.8800,153.8500,146.7300,108.1900,826.5680,90284,75299,34636,5190
"base",2017,10,5314,4055,12816,22185,1672,63127,20185,72,72,8347,2271,1997,3648,12607,3552,7911,2155,1894,3454,11937,3356,30442,9.06,20.7200,21.3500,21.7400,19.1800,6.73,16.4500,18.5900,17.8700,12.9400,97.2620,1188,4951,12026,2018
"base",2017,11,11591,14356,38047,63994,7022,95861,35694,126,126,9673,2714,3075,7136,18143,8593,9146,2565,2908,6733,17143,8030,45902,15.4400,33.7800,35.9500,36.9900,33.1000,11.4900,27.1600,31.0300,29.6500,22.2000,223.9720,6263,12186,15029,2217
"base",2017,12,7470,8335,28844,44649,0,73158,24371,84,84,8312,2592,2560,4463,14169,5399,7909,2466,2437,4251,13484,5124,35228,10.7900,24.1800,25.0400,25.7000,23.3200,8.22,20.2400,22.6900,21.8300,16.4000,83.2090,2519,7813,12229,1811
"base",2017,13,8777,7798,23130,39705,0,100037,34585,105,105,11526,3156,3117,6847,19346,7921,10737,2918,2903,6350,17965,7253,51381,13.0700,30.0800,31.0900,31.5700,27.6700,9.72,23.6500,26.7600,25.7100,18.5300,62.3310,7779,14924,10604,1279
"base",2017,14,18957,11706,39308,69971,7657,187491,62748,156,156,25036,6055,5753,12837,33641,12096,24282,5860,5562,12359,32468,11534,86257,18.4800,42.3400,44.4800,45.0700,38.6600,13.3100,31.2900,36.0000,34.3700,24.4000,146.9620,20255,27383,13238,1876
"base",2017,15,7183,3960,15156,26299,0,44977,13255,45,45,6838,1864,1640,3211,6667,1785,7111,1946,1718,3361,6967,1857,19504,4.94,10.9800,12.0200,12.2300,10.1600,3.38,7.35,8.82,8.29,5.71,65.8980,5939,6164,1030,122
"base",2017,16,19556,10336,3808,33700,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,1.02,1.68,1.83,1.38,0.36,0.21,0.6,0.45,0.21,45.0000,0,0,0,0
"base",2017,17,30068,9408,26956,66432,480,150273,44593,138,138,20361,5542,5474,10945,24161,8241,20551,5603,5596,11209,24455,8123,66541,13.2500,29.9500,33.7700,33.9100,26.1100,7.95,14.8800,19.2400,17.4300,10.9200,102.5970,21503,18355,4225,509
"base",2017,18,7672,3419,11415,22506,544,77623,23018,60,60,12413,3639,2653,4225,12996,3303,12212,3502,2561,4146,12735,3216,32563,6.91,16.1200,16.9600,17.0600,14.3200,4.9,11.3800,13.1800,12.5500,8.7,35.6360,4992,8221,8584,1221
"base",2017,19,11345,3681,8241,23267,0,54203,16171,66,66,6780,2109,2031,3817,9855,2662,6677,2097,2004,3769,9756,2634,27134,8.09,18.5700,19.3000,19.5800,17.1500,5.95,14.3300,16.2900,15.6000,11.3200,66.9150,3763,6192,5453,767
"base",2017,2,6508,5393,12807,24708,0,128656,50275,123,123,11674,3284,3922,10259,24497,13742,10656,2996,3578,9328,22290,12425,63248,13.1500,31.9600,33.6100,33.2600,26.4800,8.81,19.5100,23.0800,21.7100,14.3500,30.3650,29257,18615,2104,302
"base",2017,20,30800,13326,32659,76785,4967,222879,67148,147,147,30639,8394,7911,15012,37064,14990,29518,8072,7536,14318,35229,14136,95560,15.1100,34.6200,38.1800,38.2900,30.1100,9.57,19.2000,23.8300,21.9800,14.2800,115.0860,30534,27402,8194,1019
"base",2017,21,6681,3952,7434,18067,0,56170,18461,69,69,7654,2266,2023,3438,9903,2325,7975,2444,2110,3527,10087,2378,27220,8.39,18.7900,19.7900,20.2500,17.6800,6.1,14.4900,16.6400,15.9100,11.4600,37.2850,5510,7771,4622,559
"base",2017,22,4542,5717,13306,23565,0,95020,25924,54,54,16772,3638,2576,4792,17573,2352,16611,3599,2561,4749,17420,2314,42451,7.41,16.7300,17.1900,17.5900,15.9800,5.68,14.0600,15.7200,15.1500,11.3700,49.0630,5236,7402,11233,2052
"base",2017,23,8204,4143,8989,21336,0,87521,20866,60,60,19334,3349,2559,5540,11158,1420,19680,3409,2592,5652,11310,1449,30517,6.93,15.6000,16.6200,16.9300,14.4800,4.87,11.1800,13.0200,12.3500,8.81,21.6650,3807,8414,7461,1187
"base",2017,24,17649,8509,16749,42907,128,102832,27359,114,114,15300,4847,4285,6251,16845,3396,15636,4942,4373,6384,17114,3446,43600,12.9700,28.7600,31.1100,31.7100,27.0900,9.1,20.4100,23.9900,22.6800,16.2600,118.5260,7735,10386,7914,1326
"base",2017,25,21972,15429,37341,74742,4932,214103,71269,210,210,25796,6769,7169,15142,37511,17374,24672,6493,6840,14399,35661,16233,99044,22.9700,52.3800,56.8200,57.3200,46.8000,15.4600,33.4900,40.1800,37.7100,25.5000,164.5860,34064,28172,7926,1114
"base",2017,26,8808,4058,9819,22685,3994,52500,18933,57,57,7362,2138,1615,2922,9025,2705,7661,2252,1673,3032,9326,2775,23168,7.16,15.9800,16.7300,17.1900,15.3800,5.33,12.9600,14.7100,14.1100,10.4300,22.5410,7688,8109,2804,333
"base",2017,27,14660,8083,17328,40071,0,111856,34005,84,84,15764,4292,3609,5873,21304,4943,15865,4315,3625,5894,21434,4876,50471,10.5000,23.7700,24.8000,25.2600,22.3200,7.85,18.9900,21.5500,20.6900,14.9900,59.5500,6196,13020,13112,1686
"base",2017,28,7242,3335,9486,20063,2633,112400,31173,84,84,18452,5315,4555,7550,16797,2983,18869,5433,4619,7642,17132,3037,44096,8.95,20.4000,22.1000,22.3100,18.3000,5.87,12.6400,15.2000,14.1700,9.77,27.2940,14207,12367,4037,564
"base",2017,3,22926,13997,29913,66836,4517,205759,71664,219,219,23028,6191,6556,16015,37731,16588,21729,5903,6201,15050,35496,15283,96983,24.8500,57.5200,60.9600,61.4100,51.1500,17.3600,39.6800,46.4300,44.0700,30.2700,253.2770,24637,28835,15943,2247
"base",2017,4,18378,18030,62861,99269,6549,209672,90964,195,195,20760,5226,5931,18684,39457,20025,18835,4743,5388,16892,35683,18039,96920,23.8300,53.5800,56.2900,57.4500,50.3200,17.4800,41.6600,47.6500,45.6000,32.8800,131.3080,32878,41945,14422,1716
"base",2017,5,9824,9646,27296,46766,0,193770,48907,120,120,37604,10019,8877,13107,19072,6844,38369,10646,9272,13307,19421,7226,54038,12.1100,28.4700,30.7600,30.6400,24.2300,7.65,15.7700,19.1700,17.6500,11.8700,111.0580,30487,16539,1628,257
"base",2017,6,24846,22001,42235,89082,10544,249858,81743,210,210,26199,8478,9099,18297,48399,16882,25295,8236,8778,17552,46526,16079,126039,24.0500,54.6100,58.5800,59.2800,49.5600,16.7500,37.7600,44.4500,42.1100,29.0400,287.9360,20670,31500,25862,3709
"base",2017,7,15584,9066,39222,63872,33516,165727,53007,192,192,21907,5380,5496,11011,29783,10797,21173,5228,5290,10633,28710,10275,77458,22.8700,51.9400,54.6500,55.4900,48.5300,16.7700,39.7600,45.0000,42.8800,31.7200,223.2540,10987,16894,21641,3489
"base",2017,8,35495,23675,62853,122023,4275,240354,81111,210,210,31346,7331,7075,16785,43290,17141,30113,7047,6755,15968,41325,16180,116510,24.5400,56.6400,59.6100,60.2900,51.2600,17.5500,41.0900,47.4800,45.2800,31.8900,268.8480,29251,33769,15831,2264
"base",2017,9,6253,3158,10632,20043,0,46518,17428,81,81,5643,1390,1327,2814,8865,4126,5222,1286,1226,2609,8198,3813,21139,10.0100,21.1400,22.8300,23.6800,21.8500,7.67,18.1900,20.3100,19.3800,15.2300,199.7710,2010,5052,8966,1399
"base",2025,1,74179,76828,271728,422735,52162,469444,230771,645,645,39983,9696,12387,50936,81017,45138,38222,9266,11885,49991,78334,42459,250853,81.8600,185.8700,186.0500,195.8100,193.6600,63.4900,159.5300,155.1000,166.4800,159.4300,760.4410,99841,86674,38411,5841
"base",2025,10,5272,5623,16094,26989,2000,79574,26896,72,72,10315,2835,2458,4392,15410,5481,9766,2680,2333,4153,14578,5168,39127,9.77,21.8300,21.9500,23.0200,22.9900,7.96,20.4200,20.1000,21.4100,20.7500,36.8670,1316,6030,16650,2898
"base",2025,11,14041,13411,41469,68921,8401,107254,42031,126,126,10553,2951,3298,7600,19432,11314,9998,2800,3128,7184,18394,10592,52710,15.9700,35.9100,35.7800,38.1500,37.7200,12.5000,31.8800,30.5300,32.5400,31.2000,148.0580,6418,13553,19082,2978
"base",2025,12,8613,8376,31901,48890,0,82948,29013,84,84,9063,2978,2813,4711,15342,7533,8639,2840,2689,4497,14638,7174,40870,11.1200,24.8800,24.9600,26.2700,26.2000,8.94,22.8400,22.2300,23.7800,23.0400,67.8070,2508,8426,15676,2406
"base",2025,13,8013,8423,25347,41783,0,109019,39589,105,105,12021,3387,3328,7171,20283,10359,11230,3131,3111,6658,18865,9486,56561,13.8600,31.1500,31.3000,33.0200,33.0500,11.1100,27.7900,27.1500,29.7200,28.8500,55.6960,7752,16633,13521,1691
"base",2025,14,15029,17244,46775,79048,9161,202900,71940,156,156,25982,6495,6142,13390,35295,15921,25220,6295,5944,12894,34089,15197,97342,19.4400,44.3800,44.2600,46.9100,46.4000,14.9000,37.0000,35.5200,39.1900,37.5800,127.6060,19934,31391,17952,2662
"base",2025,15,6175,7108,17967,31250,0,58745,18549,48,48,8191,2594,2272,3990,9043,2794,8467,2674,2346,4141,9331,2883,26739,5.89,13.5000,13.4400,14.3000,14.1300,4.46,10.9400,10.4700,11.6600,11.1500,51.0950,5283,9922,3041,304
"base",2025,16,12182,11009,4552,27743,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,1.83,1.71,2.07,1.95,0.45,0.99,0.63,0.84,0.75,45.0000,0,0,0,0
"base",2025,17,14164,19513,30499,64176,0,163046,50964,135,135,21428,6035,5892,11454,25365,10866,21650,6103,6030,11747,25740,10742,75343,14.5200,34.4800,34.1400,36.2500,35.0900,9.63,21.6900,20.3400,23.5000,21.8200,87.3890,19235,22822,8000,906
"base",2025,18,5835,6981,13891,26707,651,100571,31764,60,60,15500,4707,3461,5435,16479,5258,15264,4515,3341,5328,16147,5112,44510,7.56,17.3300,17.3200,18.2400,18.0500,5.8,14.3500,13.9000,15.4100,14.7700,20.0660,6159,10519,13079,2009
"base",2025,19,6589,8455,10921,25965,0,68904,22363,66,66,8418,2607,2548,4712,12294,4022,8312,2603,2531,4672,12197,3995,34400,8.31,18.8600,18.8600,19.9200,19.7800,6.42,15.9200,15.3800,16.9000,16.3000,50.7610,5381,9367,6582,1033
"base",2025,2,5687,6879,13546,26112,0,135923,56147,123,123,11670,3415,4046,10153,24533,17294,10681,3129,3694,9256,22363,15657,67678,14.4300,34.1400,34.1300,35.4200,34.6400,10.2500,24.2600,23.7000,26.7200,25.0800,14.5630,29843,22727,3169,408
"base",2025,20,18783,22479,36977,78239,7305,238859,76961,150,150,31062,8850,8327,15530,38435,20041,29908,8505,7944,14799,36528,18885,106523,16.7200,39.3400,38.9600,41.4800,40.3400,11.5600,26.9100,25.2600,28.8500,27.0200,99.8640,28390,33524,13372,1681
"base",2025,21,5111,5936,9078,20125,0,71602,25074,69,69,9487,2866,2554,4294,12355,3633,9897,3096,2674,4405,12599,3715,35486,8.82,19.9300,19.9300,21.2000,21.1200,6.91,17.1800,16.6100,18.3100,17.6900,35.4000,6291,9480,8182,1122
"base",2025,22,9285,8836,18042,36163,0,123695,35774,60,60,22091,4562,3133,6208,22437,3699,21876,4513,3117,6153,22220,3638,58288,8.19,18.2600,18.3500,19.2700,19.2500,6.7,17.1800,16.9200,17.9600,17.4100,21.8900,4675,10872,16990,3236
"base",2025,23,6318,7374,11185,24877,0,103007,26162,60,60,22153,4041,3074,6432,13218,2136,22547,4106,3121,6569,13398,2181,39269,7.46,16.9100,16.9000,17.9300,17.8000,5.69,14.0100,13.4800,14.8900,14.4100,20.6280,2493,6185,14917,2567
"base",2025,24,13579,15933,20937,50449,153,126027,35803,114,114,17593,6348,5514,7317,20896,4923,17917,6429,5588,7441,21091,4981,56790,13.8600,31.5200,31.3900,33.3800,32.9200,10.4600,25.7800,24.5600,26.9800,25.9400,103.5180,5864,12576,14890,2474
"base",2025,25,20977,23379,44511,88867,5902,240393,84457,210,210,27606,7486,7930,16254,40651,23086,26497,7212,7592,15523,38824,21676,115331,24.6400,57.3000,56.9200,60.5100,59.3400,17.9800,42.9300,40.9200,45.9800,43.5100,164.4230,34360,35938,12345,1819
"base",2025,26,6099,7155,11270,24524,4779,65922,25147,57,57,8889,2662,2031,3594,11062,4124,9248,2811,2100,3726,11427,4230,30755,7.62,16.9100,17.0200,17.8800,17.9400,6.18,15.6100,15.1800,16.5100,16.2000,21.0140,8945,10750,4824,631
"base",2025,27,11893,13658,21697,47248,0,136496,44016,84,84,18532,5291,4453,7034,25507,7277,18646,5317,4474,7058,25655,7177,63482,11.2900,25.1900,25.3100,26.6300,26.6400,9.18,23.3300,22.8200,24.5800,23.9400,41.9140,5999,14090,20855,3068
"base",2025,28,5021,8200,15149,28370,3150,139130,41081,84,84,22134,6614,5685,9211,20582,4618,22640,6772,5767,9315,21025,4713,57870,9.68,22.4500,22.3800,23.6500,23.1600,6.89,16.1100,15.4800,17.4300,16.6100,25.6410,14947,17860,7201,1073
"base",2025,3,18609,21693,33454,73756,5404,225293,83007,219,219,24356,6630,7034,16739,39758,21652,23022,6277,6655,15744,37438,19994,109283,26.2700,60.8300,60.4900,64.2400,63.1900,19.5400,47.2700,45.1900,50.5400,47.9700,179.8200,24647,34995,20675,2694
"base",2025,4,18931,19001,67887,105819,7835,224720,103484,195,195,20929,5450,6180,19063,40228,26049,19007,4956,5618,17260,36452,23503,107415,25.2100,57.0000,56.9900,60.4600,60.0900,19.9400,49.9400,48.4700,52.8700,50.9700,130.9740,36927,48792,15846,1923
"base",2025,5,11180,11286,32146,54612,0,209259,56928,120,120,39234,10813,9589,13929,20406,9355,39929,11405,9981,14121,20717,9788,66486,12.8400,30.5300,30.2100,32.0300,30.9900,8.38,18.7600,17.8600,20.4000,18.9200,85.7670,29279,23794,3418,433
"base",2025,6,25826,26482,47697,100005,12615,273902,94512,210,210,28118,9205,9760,19162,51278,22036,27176,8942,9436,18404,49354,21002,139006,25.1600,58.0300,57.6000,61.5400,60.5300,18.7800,45.6400,43.3800,48.4200,46.0300,208.0180,19214,35300,34755,5235
"base",2025,7,13176,14882,46141,74199,38781,203532,69587,192,192,26259,6395,6615,12863,35524,16150,25340,6196,6294,12353,34178,15337,99073,24.5100,55.5500,55.5900,58.3100,57.5900,19.1000,48.2700,47.0700,49.8900,47.7100,121.5340,11678,23654,29443,4820
"base",2025,8,32326,35670,72679,140675,5115,266570,96754,210,210,33490,8001,7705,17874,46440,22785,32210,7701,7360,17025,44397,21540,131409,26.0600,59.6200,59.4800,62.8000,61.9300,19.9400,49.6000,47.8000,51.9300,49.5500,239.2910,27437,39854,25948,3518
"base",2025,9,4559,5326,12550,22435,0,60430,23327,81,81,7187,1702,1643,3635,11055,6044,6710,1583,1538,3402,10305,5608,28657,10.3800,23.1600,23.0400,24.4700,24.1100,8.2,21.3100,20.3900,21.0600,20.1800,72.4640,4198,7573,9980,1578
"base",2030,1,94062,79170,286925,460161,57172,492135,240467,645,645,42168,10207,13030,53046,85309,47583,40171,9711,12426,51863,82060,44514,262198,83.5300,188.5200,188.3200,197.9200,199.6800,65.0500,164.9300,157.6000,170.7200,170.1400,748.0970,100736,93213,40670,5835
"base",2030,10,7890,5860,19229,32980,2237,92943,31346,72,72,12134,3310,2856,5068,17947,6487,11479,3124,2703,4786,16956,6093,45533,9.95,22.0600,22.2000,23.2000,23.5400,8.08,20.9400,20.3900,21.8300,22.0300,36.9430,1799,8180,18458,2909
"base",2030,11,14020,17474,44766,76268,9398,115415,44948,126,126,11570,3165,3513,8156,20956,11951,10977,3005,3335,7720,19859,11201,56677,16.3400,36.5900,36.2000,38.5200,38.7000,12.7800,33.0300,30.9500,33.2900,33.1400,147.5910,6675,15240,20137,2898
"base",2030,12,9214,10273,34658,54144,0,91669,31934,84,84,10074,3344,3083,5113,16884,8390,9617,3191,2949,4882,16123,7994,45132,11.3600,25.2300,25.2400,26.5100,26.8600,9.14,23.4600,22.5100,24.3700,24.5000,67.9440,2920,10117,16516,2386
"base",2030,13,10992,9415,27544,47944,0,115198,41713,105,105,12717,3590,3517,7579,21415,10908,11885,3322,3289,7045,19933,10000,59666,14.2000,31.5000,31.6500,33.3700,34.1000,11.4200,28.5300,27.5000,30.6200,30.8900,57.1770,8230,18401,13481,1600
"base",2030,14,26379,15385,53166,94927,10246,216482,76621,156,156,27726,6949,6549,14230,37691,16945,26939,6743,6348,13718,36423,16194,104065,19.9000,45.0400,44.7800,47.3900,48.0100,15.2400,38.3000,36.0400,40.3400,40.4500,125.0940,20662,34159,19091,2707
"base",2030,15,11005,6171,20784,37957,0,68466,21748,48,48,9321,3097,2706,4599,10782,3225,9616,3173,2781,4760,11078,3316,31366,6.03,13.7200,13.6000,14.4600,14.6500,4.57,11.3600,10.6300,12.0200,12.0500,51.0820,6022,11716,3647,362
"base",2030,16,25832,12222,5090,43144,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2.01,1.74,2.1,2.07,0.45,1.17,0.66,0.93,0.87,45.0000,0,0,0,0
"base",2030,17,35418,10988,33670,80074,0,173001,53968,135,135,22855,6440,6243,12110,26908,11490,23062,6506,6376,12399,27267,11357,79816,14.6600,35.2100,34.5900,36.7300,36.9500,9.83,22.9400,20.7900,24.4900,23.9200,91.0490,19699,24898,8448,927
"base",2030,18,12167,5597,16014,33780,728,117341,37234,60,60,18034,5490,4064,6378,19202,6153,17763,5268,3916,6250,18818,5985,51977,7.75,17.5000,17.5200,18.4400,18.7100,5.95,14.7900,14.1000,15.8500,15.9000,20.2040,7859,13270,14075,2031
"base",2030,19,14725,5297,13959,33981,0,81209,26406,66,66,9844,3022,2989,5548,14525,4816,9735,3013,2972,5513,14441,4786,40530,8.48,19.1800,19.0800,20.1300,20.4200,6.55,16.4500,15.6000,17.4200,17.5300,50.8920,6292,11212,7693,1210
"base",2030,2,9029,6095,14138,29263,0,140752,57972,123,123,12171,3566,4210,10472,25425,17778,11155,3272,3851,9551,23201,16089,70016,14.6200,34.4000,34.5400,35.8300,36.2300,10.5200,25.1100,24.1100,27.5400,27.1800,15.1850,29883,24090,3553,444
"base",2030,20,37644,18172,41118,96935,10184,252835,81918,150,150,32320,9284,8798,16465,40788,21803,31107,8916,8384,15669,38740,20524,112645,17.0100,40.1200,39.4600,42.0000,42.3000,11.7900,28.2500,25.7600,29.9600,29.4800,100.4220,29638,36712,13912,1665
"base",2030,21,8917,5211,10348,24475,0,83965,29631,69,69,11136,3329,2970,5036,14472,4298,11626,3601,3114,5177,14780,4399,41605,9.01,20.2600,20.1600,21.4300,21.8400,7.09,17.7200,16.8400,18.8700,18.9900,35.5390,7551,11682,9208,1189
"base",2030,22,12495,15372,23051,50920,0,145542,42356,60,60,26506,5265,3529,7253,26280,4235,26269,5217,3507,7185,26045,4174,68337,8.38,18.4500,18.5500,19.4600,19.7200,6.85,17.5600,17.1200,18.3300,18.4400,21.3000,5828,14493,18736,3296
"base",2030,23,10845,5572,12928,29343,0,114149,29110,60,60,24366,4508,3422,7090,14776,2413,24799,4580,3475,7236,14978,2465,43763,7.61,17.1900,17.1000,18.1300,18.4000,5.88,14.4500,13.6800,15.4300,15.4900,20.6440,2892,7627,15997,2594
"base",2030,24,25583,12457,25289,63319,171,145127,41536,114,114,20006,7410,6422,8361,24310,5632,20358,7493,6490,8489,24482,5691,65390,14.1200,32.1700,31.7700,33.7400,34.0700,10.6800,26.8200,24.9400,27.8600,27.8600,102.6020,6755,15240,16894,2647
"base",2030,25,32733,21989,51121,105840,6601,262116,91346,210,210,30004,8177,8682,17648,44480,24949,28873,7899,8330,16903,42619,23520,125919,25.2100,58.4400,57.6600,61.2700,61.9500,18.3000,44.9100,41.7500,47.6600,47.3700,165.1420,35276,39847,14255,1973
"base",2030,26,11387,5970,12358,29716,5346,76197,29100,57,57,10254,3063,2352,4172,12793,4771,10671,3233,2433,4328,13214,4895,35563,7.8,17.1500,17.2100,18.0700,18.4200,6.33,16.0300,15.3700,17.0500,17.3000,21.1860,10196,12750,5480,674
"base",2030,27,20803,11379,25612,57793,0,155521,50227,84,84,21068,6068,5108,8028,29087,8251,21186,6094,5129,8058,29250,8133,72525,11.5400,25.5100,25.5900,26.8800,27.3700,9.36,23.9200,23.1000,25.2300,25.5300,41.8910,7040,17377,22736,3073
"base",2030,28,14811,5435,22020,42268,3523,161345,47219,84,84,25489,7642,6588,10676,23962,5455,26094,7832,6680,10799,24511,5587,67200,9.81,22.8700,22.7200,23.9700,24.2800,7.08,16.8500,15.8600,18.2100,18.0500,-562.4290,15571,21688,8743,1212
"base",2030,3,30213,17433,37177,84827,6045,241259,88490,219,219,26393,7147,7528,17868,42614,22774,24972,6766,7125,16825,40181,21059,116961,26.9200,61.8300,61.2200,64.9700,65.7300,19.8900,49.1500,45.9200,52.1600,52.0000,179.8580,25085,38417,22264,2727
"base",2030,4,21013,20587,71403,113008,8765,235342,108424,195,195,21907,5695,6466,19999,42107,27267,19911,5185,5886,18121,38173,24613,112487,25.8200,57.8000,57.6400,61.0700,62.0900,20.3200,51.4400,49.1200,54.2700,54.6400,131.3750,37722,52144,16604,1956
"base",2030,5,13766,12827,36238,62831,0,220271,58125,120,120,41183,11367,10103,14719,21591,9924,41855,11935,10482,14900,21894,10343,70394,12.9300,31.1400,30.6100,32.4300,32.4900,8.7,19.8500,18.2600,21.2800,20.7600,84.8750,28378,25327,3936,481
"base",2030,6,32648,28055,52933,113638,14112,290084,99768,210,210,30178,9755,10296,20203,54342,22998,29177,9476,9949,19410,52323,21937,146898,25.7800,59.1600,58.3000,62.2200,62.9400,19.0900,47.5500,44.0800,49.9600,49.8600,208.5370,19930,38797,35951,5095
