year,code,citycode,population,employment
2017,2017,5000,441945.0,405194.0
2017,2017,6300,61491.0,19293.0
2017,2017,6400,94489.0,64420.0
2017,2017,0,438382.0,203055.0
2017,2017,2650,46018.0,18804.0
2017,2017,6100,196318.0,47085.0
2017,2017,8600,154043.0,96721.0
2017,2017,2620,39398.0,9454.0
2017,2017,2400,36705.0,14957.0
2017,2017,6600,192627.0,59781.0
2017,2017,6200,128656.0,24708.0
2017,2017,8700,72803.0,44127.0
2017,2017,6900,100040.0,44795.0
2017,2017,9700,61101.0,21057.0
2017,2017,7900,240354.0,122023.0
2017,2017,681,25776.0,4723.0
2017,2017,9400,29689.0,12474.0
2017,2017,7000,74604.0,42947.0
2017,2017,8500,75669.0,23485.0
2017,2017,8300,249858.0,89073.0
2017,2017,2530,22851.0,11387.0
2017,2017,7200,49111.0,14557.0
2017,2017,8400,139277.0,56004.0
2017,2017,7400,214103.0,74742.0
2017,2017,168,28364.0,4336.0
2017,2017,638,22370.0,3511.0
2017,2017,2730,42400.0,5452.0
2017,2017,2720,25721.0,3001.0
2017,2017,634,22743.0,3622.0
2017,2017,2640,50448.0,24593.0
2017,2017,1309,46896.0,4133.0
2017,2017,1200,91324.0,21444.0
2017,2017,2660,46286.0,18589.0
2017,2017,70,222879.0,77701.0
2025,2025,5000,468467.0,421953.0
2025,2025,6300,66314.0,20485.0
2025,2025,6400,108368.0,69604.0
2025,2025,0,538348.0,218109.0
2025,2025,2650,56071.0,20798.0
2025,2025,6100,211865.0,54943.0
2025,2025,8600,170194.0,104714.0
2025,2025,2620,55270.0,13367.0
2025,2025,2400,40430.0,17107.0
2025,2025,6600,209436.0,65816.0
2025,2025,6200,135923.0,26112.0
2025,2025,8700,82409.0,48356.0
2025,2025,6900,109019.0,46604.0
2025,2025,9700,76926.0,25832.0
2025,2025,7900,266570.0,140675.0
2025,2025,681,29878.0,5414.0
2025,2025,9400,36060.0,13202.0
2025,2025,7000,80274.0,37165.0
2025,2025,8500,82772.0,27011.0
2025,2025,8300,273902.0,99995.0
2025,2025,2530,33383.0,15510.0
2025,2025,7200,55261.0,17263.0
2025,2025,8400,149263.0,62370.0
2025,2025,7400,240393.0,88867.0
2025,2025,168,36363.0,6714.0
2025,2025,638,27114.0,5659.0
2025,2025,2730,52508.0,8660.0
2025,2025,2720,31124.0,3722.0
2025,2025,634,27885.0,5433.0
2025,2025,2640,60920.0,29136.0
2025,2025,1309,53207.0,5844.0
2025,2025,1200,118891.0,33491.0
2025,2025,2660,57164.0,20767.0
2025,2025,70,245193.0,79984.0
2030,2030,5000,490546.0,459109.0
2030,2030,6300,70009.0,22730.0
2030,2030,6400,118096.0,77467.0
2030,2030,0,616956.0,270181.0
2030,2030,2650,64371.0,25614.0
2030,2030,6100,222914.0,63171.0
2030,2030,8600,183960.0,111876.0
2030,2030,2620,65341.0,19999.0
2030,2030,2400,43809.0,20563.0
2030,2030,6600,222834.0,76090.0
2030,2030,6200,140752.0,29263.0
2030,2030,8700,90970.0,53601.0
2030,2030,6900,115198.0,52919.0
2030,2030,9700,89864.0,31749.0
2030,2030,7900,288082.0,163480.0
2030,2030,681,32905.0,6023.0
2030,2030,9400,40852.0,16111.0
2030,2030,7000,84840.0,48013.0
2030,2030,8500,88161.0,32061.0
2030,2030,8300,290084.0,113628.0
2030,2030,2530,40737.0,21126.0
2030,2030,7200,59914.0,22300.0
2030,2030,8400,159030.0,73414.0
2030,2030,7400,262116.0,105840.0
2030,2030,168,42711.0,9506.0
2030,2030,638,30823.0,9494.0
2030,2030,2730,60865.0,14305.0
2030,2030,2720,35072.0,4654.0
2030,2030,634,31675.0,7744.0
2030,2030,2640,70422.0,36604.0
2030,2030,1309,57576.0,7310.0
2030,2030,1200,139866.0,47807.0
2030,2030,2660,65922.0,27701.0
2030,2030,70,263127.0,100096.0
2040,2040,5000,524814.0,500087.0
2040,2040,6300,74598.0,25444.0
2040,2040,6400,137017.0,89744.0
2040,2040,0,757979.0,327109.0
2040,2040,2650,84785.0,33477.0
2040,2040,6100,234567.0,70204.0
2040,2040,8600,200503.0,123768.0
2040,2040,2620,89967.0,27717.0
2040,2040,2400,50415.0,25533.0
2040,2040,6600,239206.0,87891.0
2040,2040,6200,147820.0,32799.0
2040,2040,8700,102723.0,60894.0
2040,2040,6900,135369.0,60402.0
2040,2040,9700,106409.0,45671.0
2040,2040,7900,320817.0,191795.0
2040,2040,681,38697.0,7401.0
2040,2040,9400,52342.0,20840.0
2040,2040,7000,93983.0,52749.0
2040,2040,8500,95484.0,37458.0
2040,2040,8300,333952.0,137266.0
2040,2040,2530,54746.0,27072.0
2040,2040,7200,65975.0,26769.0
2040,2040,8400,175807.0,86874.0
2040,2040,7400,285001.0,126342.0
2040,2040,168,56739.0,14504.0
2040,2040,638,36300.0,13361.0
2040,2040,2730,69796.0,19927.0
2040,2040,2720,40848.0,5536.0
2040,2040,634,37406.0,11129.0
2040,2040,2640,86090.0,45275.0
2040,2040,1309,73181.0,11210.0
2040,2040,1200,187770.0,70302.0
2040,2040,2660,78935.0,33794.0
2040,2040,70,286198.0,116503.0
