"scenario","year","nafanum","empl_indu","empl_comm","empl_serv","empl_tot","students","population","households","parkcost","parkwalk","ga21","ga22","ga23","ga24","ga25","ga26","ga11","ga12","ga13","ga14","ga15","ga16","workers","Mlic2","Mlic3","Mlic4","Mlic5","Mlic6","Flic2","Flic3","Flic4","Flic5","Flic6","emp2pop","Hh0car","HH1car","HH2car","HH3car"
"base",2017,10,69721,32761,66200,168682,480,338333,98959,315,315,50911,13162,11456,21610,56904,13957,51494,13395,11741,22087,57577,13920,150684,34.7300,77.5300,84.4900,85.8500,71.3500,23.5000,51.0800,61.1100,57.3200,39.7000,300.5560,36604,37425,21456,3475
"base",2017,11,65191,43410,104732,213333,18745,597899,193146,522,522,74195,21435,20554,40962,110004,36276,72364,20943,19953,39645,106628,34826,286225,61.2400,140.1700,148.1500,149.9700,127.5600,43.6400,101.4100,117.4700,111.8800,78.7300,526.4970,52886,77563,54945,7758
"base",2017,12,31440,13549,32712,77701,4967,222879,67148,150,150,30639,8394,7911,15012,37064,14990,29518,8072,7536,14318,35229,14136,95560,15.4800,35.4700,39.0600,39.1800,30.8800,9.84,19.8500,24.5700,22.6900,14.7800,130.0860,30534,27402,8194,1019
"base",2017,14,88374,59427,165479,313280,8708,748734,234804,714,714,105158,26027,24228,49123,132258,43780,102637,25341,23484,47439,127553,41631,346949,86.0500,195.7800,205.3400,208.8500,181.7000,62.7400,149.0600,170.5800,163.0500,117.7100,708.0120,56369,88179,78374,11891
"base",2017,15,164773,140880,462599,768252,96670,1406694,548488,1626,1626,158446,40668,44364,124256,241698,110813,152008,39533,42712,119199,229488,103496,650967,190.4300,432.1800,457.1000,463.8900,400.3400,137.2100,319.3300,366.9600,348.9200,253.0500,1947.7680,222738,208318,102661,14780
"base",2017,9,50169,29746,70085,150000,8926,470200,147718,411,411,64552,17810,16229,29960,80811,27212,64261,17791,16073,29507,79732,26132,206780,46.4000,105.4300,113.1200,114.5200,95.8400,32.0600,71.9300,84.7700,80.0500,55.6700,264.8440,60508,58793,25124,3310
"base",2025,10,47126,53126,79217,179469,0,407647,126132,321,321,60436,15921,13584,25070,67664,19888,61071,16186,13917,25587,68406,19864,190052,38.3800,88.2700,87.8300,93.4600,91.9700,28.4000,68.8100,65.7500,73.1000,69.6700,241.5430,33831,50437,36078,5785
"base",2025,11,55651,61445,123507,240603,22427,674742,230877,522,522,81543,24132,22900,44406,120253,48928,79690,23597,22284,43062,116778,47052,329735,64.3400,147.3800,146.8700,155.8400,153.9600,48.9300,120.4000,115.5300,127.9800,122.4800,409.1340,52958,90908,75674,11330
"base",2025,12,19500,23393,37091,79984,7305,245193,78941,153,153,31961,9107,8544,15927,39579,20357,30772,8752,8152,15180,37627,19189,109566,17.1200,40.2400,39.8600,42.4400,41.3000,11.8800,27.7200,26.0500,29.7200,27.8600,100.1390,29503,34294,13457,1693
"base",2025,14,78175,86170,192503,356848,10418,864878,288426,714,714,117259,30505,28001,54403,148872,60356,114561,29726,27185,52600,143807,57510,412566,91.3100,206.4700,206.6600,217.9600,216.3400,71.4900,179.4500,173.9300,188.3900,181.6100,548.0500,52622,100982,116632,18210
"base",2025,15,154954,162904,505796,823654,112583,1540412,633950,1623,1623,167458,43852,47722,129154,255207,146286,160462,42445,45755,123658,241816,136358,735503,201.1800,459.8200,459.0200,484.5400,477.7700,153.1800,380.1900,367.7300,398.5800,380.3200,1492.1650,238345,251870,125689,18050
"base",2025,9,42046,50102,87976,180124,10681,554293,183775,411,411,73587,21099,19121,34123,92750,37773,73463,21151,18998,33732,91850,36460,253834,49.8900,114.5100,114.2200,120.9200,119.2600,37.4600,90.8700,87.4500,96.9800,92.8400,246.4780,61755,74810,41274,5940
"base",2030,10,95555,49050,91657,236258,0,460206,142713,321,321,68946,17991,15167,28002,76701,21953,69626,18280,15512,28533,77476,21935,214533,39.1100,89.9100,88.9000,94.5500,95.6200,29.0700,71.5800,66.8200,75.4600,75.1600,244.6620,37087,59567,40009,6046
"base",2030,11,87690,57260,140801,285751,25086,734477,250968,522,522,89368,26343,24893,48111,130791,52726,87441,25775,24234,46719,127161,50790,358466,65.8400,149.7600,148.6100,157.5100,159.5900,49.9300,124.7800,117.2700,131.8800,132.1000,407.3620,56935,102277,80335,11428
