TAZV41,full_code
8428,143
8449,143
8427,143
8426,143
8406,143
8404,143
8402,143
5302,133
8301,143
8327,143
8204,143
8202,143
8206,143
5374,133
8201,143
5312,133
2939,123
2926,123
2910,123
2902,123
1721,110
1720,110
1707,110
1706,110
1704,110
1522,110
1521,110
1520,110
1501,110
1502,110
1327,110
1326,110
1307,110
1306,110
1301,110
1121,110
1112,110
2107,121
4012,132
2045,121
2024,121
2005,121
2003,121
6606,141
6604,141
6171,141
6168,141
6156,141
5506,133
6146,141
6128,141
6110,141
6111,141
6109,141
6102,141
6101,141
6010,141
6002,141
6003,141
6004,141
6001,141
6005,141
6008,141
6015,141
6007,141
6006,141
6016,141
6017,141
6307,141
6308,141
6511,141
6516,141
6515,141
6701,141
6305,141
6704,141
7001,142
7002,142
7003,142
5639,133
5640,133
7110,142
7004,142
7123,142
7124,142
5643,133
5644,133
8212,143
3011,131
3012,131
6605,141
1103,110
7215,142
7213,142
7502,142
7515,142
7630,142
8022,143
5402,133
5009,133
5008,133
8014,143
8007,143
8013,143
8110,143
8111,143
8112,143
6510,141
8120,143
8105,143
8330,143
8329,143
8343,143
8441,143
8414,143
8451,143
8450,143
5314,133
8447,143
8448,143
8429,143
8425,143
8423,143
8407,143
8408,143
8405,143
8328,143
8403,143
8401,143
8323,143
8325,143
8326,143
8320,143
8314,143
8313,143
8312,143
1213,110
5371,133
8203,143
4104,132
5370,133
5339,133
5311,133
2009,121
2004,121
2001,121
8006,143
2943,123
2938,123
2927,123
2925,123
2911,123
2909,123
2903,123
2901,123
1722,110
1723,110
1718,110
1719,110
1708,110
1705,110
1709,110
1703,110
1702,110
1523,110
1524,110
1519,110
1518,110
1504,110
1503,110
1325,110
1323,110
1324,110
1321,110
1308,110
1309,110
1305,110
1303,110
1304,110
1122,110
1123,110
1120,110
1111,110
1104,110
1102,110
2102,121
2442,122
2025,121
2022,121
2023,121
2020,121
2002,121
6603,141
6601,141
6602,141
6169,141
6170,141
6167,141
6166,141
6159,141
6157,141
6158,141
6155,141
6147,141
6134,141
6148,141
6132,141
6131,141
6133,141
6127,141
6112,141
6125,141
