"scenario","year","sectorzn","pop","emp"
"base",2018,10,449507.9000,429818.4526
"base",2018,21,144239.0000,80341.6149
"base",2018,22,496981.6000,201467.8635
"base",2018,23,336255.0000,101503.8199
"base",2018,31,239524.9900,111589.2470
"base",2018,32,325621.0000,180920.3685
"base",2018,33,654478.0000,265239.5846
"base",2018,41,497110.8977,181525.5818
"base",2018,42,294661.0000,106098.9581
"base",2018,43,406900.0000,143927.4853
"base",2030,10,500362.6669,474221.7405
"base",2030,21,171968.9025,95438.9347
"base",2030,22,578620.5227,236494.6262
"base",2030,23,379282.9939,121798.0365
"base",2030,31,285371.8304,136190.8141
"base",2030,32,373573.7090,218667.3989
"base",2030,33,770765.7277,325002.8509
"base",2030,41,635226.0416,233776.6781
"base",2030,42,392583.2009,146526.3892
"base",2030,43,489217.8407,170058.5615
"base",2040,10,559336.6795,525472.2858
"base",2040,21,248972.5300,126549.7629
"base",2040,22,688091.2517,290602.1820
"base",2040,23,421116.6625,144270.6072
"base",2040,31,348396.9025,168952.3061
"base",2040,32,449738.6260,270478.9891
"base",2040,33,894461.6570,402896.2615
"base",2040,41,785324.8249,310623.1108
"base",2040,42,502344.0142,194753.3270
"base",2040,43,589679.7800,216805.7544
"base",2050,10,613094.5166,567005.9071
"base",2050,21,316862.9150,150694.5671
"base",2050,22,741593.8457,321651.7982
"base",2050,23,456886.1694,162252.0481
"base",2050,31,413921.0807,198000.0375
"base",2050,32,512505.3600,310118.9014
"base",2050,33,1053947.9575,479495.9081
"base",2050,41,947917.4298,375761.3084
"base",2050,42,604650.6144,236137.1555
"base",2050,43,707724.2414,258035.5395
