code,year,NafaNum,population,employment
2018,2018,15,1426991.0,813128.0
2018,2018,14,766324.0,332238.0
2018,2018,10,339588.0,174445.0
2018,2018,11,611759.0,231536.0
2018,2018,9,476011.0,173207.0
2018,2018,12,224625.0,77863.0
2030,2030,15,1630241.0,927963.0
2030,2030,14,910975.0,413603.0
2030,2030,10,442388.0,222009.0
2030,2030,11,733423.0,280090.0
2030,2030,9,608302.0,224445.0
2030,2030,12,251654.0,90083.0
2040,2040,15,1917523.0,1086903.0
2040,2040,14,1116899.0,521013.0
2040,2040,10,559714.0,286042.0
2040,2040,11,859953.0,347411.0
2040,2040,9,744906.0,297243.0
2040,2040,12,288499.0,112806.0
2050,2050,15,2128440.0,1201612.0
2050,2050,14,1315623.0,610877.0
2050,2050,10,684331.0,343942.0
2050,2050,11,1021328.0,413148.0
2050,2050,9,892353.0,358513.0
2050,2050,12,327035.0,131055.0
