TAZ_1300,citycode
82090,8300
68080,0
82100,8300
82130,8300
66070,0
82140,8300
68010,0
82152,8300
82050,8300
82062,8300
69000,0
69060,0
82020,8300
82010,8300
69080,0
81101,8300
81102,8300
69070,0
80040,8300
80030,8300
70110,0
79020,0
70050,0
70030,0
70040,0
65100,8500
65200,8500
65140,8500
65130,8500
65120,8500
65110,8500
69050,0
65150,8500
97080,70
77022,0
85001,0
84010,0
84000,8300
78010,0
97090,70
72132,2660
72122,2660
85002,0
73022,0
73030,0
76030,0
76060,0
77010,0
72110,2660
72050,2660
72040,2660
72032,2660
73021,0
76040,0
99130,70
73051,0
73053,0
97170,70
99110,70
99120,70
97100,70
77030,0
73054,0
98010,70
99101,70
99031,70
98020,70
98030,70
99040,70
99032,70
99060,70
99080,70
99102,70
99140,70
99070,70
99050,70
99090,70
99010,70
98140,70
97010,70
97070,70
99020,70
98110,70
97020,70
98100,70
97040,70
98080,70
97050,70
97120,70
97130,70
97140,70
98050,70
99033,70
98120,70
99034,70
98090,70
98130,70
97030,70
97152,70
97151,70
97161,70
97162,70
98060,70
97163,70
73052,0
78020,0
72010,2660
72121,2660
72020,2660
79010,0
79030,0
73040,0
76050,0
74010,0
74050,0
74020,0
74040,0
74030,0
74070,0
74062,0
84020,0
81180,8300
81170,8300
76020,8400
71400,8400
71010,8400
83110,7200
83120,7200
83050,7200
83010,7200
81160,8300
81150,8300
81120,8300
70020,0
71332,8400
71120,8400
70010,0
83100,7200
98040,70
98070,70
83030,7200
81040,8300
81030,8300
81020,8300
76010,8400
84050,0
84040,0
71362,8400
83150,7200
71340,8400
71331,8400
72131,2660
72123,2660
72090,2660
72100,2660
72080,2660
72070,2660
72060,2660
71350,8400
71361,8400
84030,0
84060,0
82120,8300
82151,8300
83130,7200
83080,7200
83060,7200
83090,7200
81130,8300
82190,8300
82160,8300
81060,8300
82180,8300
82170,8300
81050,8300
81140,8300
81110,8300
81070,8300
75020,0
71150,8400
71180,8400
71190,8400
75010,0
71130,8400
71200,8400
73060,0
73013,0
73012,0
71230,8400
73014,0
71110,8400
71250,8400
71240,8400
71300,8400
71290,8400
71060,8400
71080,8400
71070,8400
71280,8400
71050,8400
71160,8400
71170,8400
71090,8400
71410,8400
71140,8400
80230,8300
66041,2530
80190,8300
66042,2530
80160,8300
80170,8300
80110,8300
66031,2530
66032,2530
66002,2530
80150,8300
80120,8300
83020,7200
80180,8300
80140,8300
80130,8300
80100,8300
80210,8300
80080,8300
80050,8300
80090,8300
80060,8300
80250,8300
80220,8300
80260,8300
81010,8300
80070,8300
80280,8300
65210,8500
65230,8500
65170,8500
65180,8500
65161,8500
65162,8500
65220,8500
65190,8500
66020,2530
66001,2530
68070,0
67063,1200
70120,0
70080,0
70100,0
67091,1200
68060,0
67073,1200
70090,0
67054,1200
67053,1200
67045,1200
67061,1200
67043,1200
67041,1200
68030,0
68040,0
70070,0
68020,0
70061,0
70062,0
67080,1200
67092,1200
65010,8500
65240,8500
64020,7000
64100,7000
68050,0
64012,7000
64030,7000
64060,7000
64090,7000
64011,7000
64050,7000
64120,7000
64190,7000
64180,7000
64160,7000
64170,7000
64140,7000
65060,8500
64110,7000
65032,8500
65031,8500
65040,8500
65070,8500
65090,8500
64130,7000
65050,8500
64150,7000
65080,8500
64210,7000
64220,7000
64200,7000
64040,7000
64230,7000
64070,7000
67072,1200
67071,1200
67042,1200
67044,1200
67051,1200
67052,1200
67020,1200
67010,1200
67062,1200
67034,1200
67032,1200
67033,1200
93020,0
91020,0
50150,0
93050,0
93060,0
93040,0
94130,2730
94110,2730
94010,2720
47160,8700
47152,8700
90080,0
88111,7400
88090,7400
87171,7400
86060,7400
92050,0
94080,2720
47151,8700
47140,8700
47120,8700
47100,8700
47240,8700
47110,8700
52110,7900
49200,9700
43020,2650
43010,2650
52120,7900
46060,2400
47250,8700
49180,9700
49190,9700
52130,7900
45070,2620
46001,2620
46051,2400
52150,7900
53020,7900
45030,2620
45040,2620
46002,2620
46010,2400
46040,2400
46030,2400
52160,7900
52230,7900
52210,7900
46020,2400
52220,7900
50010,0
50030,0
92090,0
90101,0
94070,2720
82080,8300
36070,6200
11030,5000
11070,5000
11140,5000
11180,5000
11200,5000
11170,5000
12030,5000
12050,5000
12120,5000
12132,5000
12131,5000
12181,5000
12170,5000
17070,5000
17060,5000
17040,5000
17180,5000
18160,5000
11240,5000
14020,5000
14030,5000
11220,5000
18170,5000
18130,5000
81090,8300
34150,6600
18120,5000
21100,8600
21220,8600
28040,6300
34170,6600
34160,6600
31070,6600
31020,6600
31010,6600
30050,0
29030,0
19280,5000
19270,5000
19020,5000
19010,5000
21110,8600
24001,2620
44070,8600
19290,5000
19300,5000
19250,5000
19260,5000
19180,5000
19190,5000
19200,5000
19030,5000
19080,5000
24040,8600
23030,8600
19370,5000
19330,5000
19310,5000
19160,5000
19110,5000
19090,5000
19320,5000
29021,0
31180,6600
31040,6600
36060,6200
36050,6200
36120,6200
36040,6200
34020,6600
34010,6600
33140,6600
39040,6200
39020,6200
39010,6200
37030,6200
36100,6200
36090,6200
