TAZ_1300,NafaNum
82090,11
68080,10
82100,11
82130,11
66070,10
82140,11
68010,10
82152,11
82050,11
82062,11
69000,10
69060,10
82020,11
82010,11
69080,10
81101,11
81102,11
69070,10
80040,11
80030,11
70110,10
79020,11
70050,10
70030,10
70040,10
65100,10
65200,10
65140,10
65130,10
65120,10
65110,10
69050,10
65150,10
97080,12
77022,11
85001,11
84010,11
84000,11
78010,11
97090,12
72132,11
72122,11
85002,11
73022,11
73030,11
76030,11
76060,11
77010,11
72110,11
72050,11
72040,11
72032,11
73021,11
76040,11
99130,12
73051,11
73053,11
97170,12
99110,12
99120,12
97100,12
77030,11
73054,11
98010,12
99101,12
99031,12
98020,12
98030,12
99040,12
99032,12
99060,12
99080,12
99102,12
99140,12
99070,12
99050,12
99090,12
99010,12
98140,12
97010,12
97070,12
99020,12
98110,12
97020,12
98100,12
97040,12
98080,12
97050,12
97120,12
97130,12
97140,12
98050,12
99033,12
98120,12
99034,12
98090,12
98130,12
97030,12
97152,12
97151,12
97161,12
97162,12
98060,12
97163,12
73052,11
78020,11
72010,11
72121,11
72020,11
79010,11
79030,11
73040,11
76050,11
74010,11
74050,11
74020,11
74040,11
74030,11
74070,11
74062,11
84020,11
81180,11
81170,11
76020,11
71400,11
71010,11
83110,11
83120,11
83050,11
83010,11
81160,11
81150,11
81120,11
70020,10
71332,11
71120,11
70010,10
83100,11
98040,12
98070,12
83030,11
81040,11
81030,11
81020,11
76010,11
84050,11
84040,11
71362,11
83150,11
71340,11
71331,11
72131,11
72123,11
72090,11
72100,11
72080,11
72070,11
72060,11
71350,11
71361,11
84030,11
84060,11
82120,11
82151,11
83130,11
83080,11
83060,11
83090,11
81130,11
82190,11
82160,11
81060,11
82180,11
82170,11
81050,11
81140,11
81110,11
81070,11
75020,11
71150,11
71180,11
71190,11
75010,11
71130,11
71200,11
73060,11
73013,11
73012,11
71230,11
73014,11
71110,11
71250,11
71240,11
71300,11
71290,11
71060,11
71080,11
71070,11
71280,11
71050,11
71160,11
71170,11
71090,11
71410,11
71140,11
80230,11
66041,10
80190,11
66042,10
80160,11
80170,11
80110,11
66031,10
66032,10
66002,10
80150,11
80120,11
83020,11
80180,11
80140,11
80130,11
80100,11
80210,11
80080,11
80050,11
80090,11
80060,11
80250,11
80220,11
80260,11
81010,11
80070,11
80280,11
65210,10
65230,10
65170,10
65180,10
65161,10
65162,10
65220,10
65190,10
66020,10
66001,10
68070,10
67063,10
70120,10
70080,10
70100,10
67091,10
68060,10
67073,10
70090,10
67054,10
67053,10
67045,10
67061,10
67043,10
67041,10
68030,10
68040,10
70070,10
68020,10
70061,10
70062,10
67080,10
67092,10
65010,10
65240,10
64020,10
64100,10
68050,10
64012,10
64030,10
64060,10
64090,10
64011,10
64050,10
64120,10
64190,10
64180,10
64160,10
64170,10
64140,10
65060,10
64110,10
65032,10
65031,10
65040,10
65070,10
65090,10
64130,10
65050,10
64150,10
65080,10
64210,10
64220,10
64200,10
64040,10
64230,10
64070,10
67072,10
67071,10
67042,10
67044,10
67051,10
67052,10
67020,10
67010,10
67062,10
67034,10
67032,10
67033,10
93020,9
91020,9
50150,14
93050,9
93060,9
93040,9
94130,9
94110,9
94010,9
47160,14
47152,14
90080,9
88111,9
88090,9
87171,9
86060,9
92050,9
