Scenario,Year,taz1318,pop,emp
base,2018,11010,0,321.9033346
base,2018,11020,0,959.099114
base,2018,11030,0,0
base,2018,11041,1189.6,300.4431123
base,2018,11042,1189.6,450.6646684
base,2018,11050,0,2221.36871
base,2018,11060,3568.8,128.4656876
base,2018,11070,11723,1126.961395
base,2018,11080,6204,2661.547124
base,2018,11090,4871.7,809.254193
base,2018,11100,3860,1210.884052
base,2018,11110,3696,2229.944887
base,2018,11120,4933,527.5138443
base,2018,11130,4563,1222.873003
base,2018,11140,4840,707.3481095
base,2018,11150,1525.2,359.6685302
base,2018,11160,1016.8,539.5027954
base,2018,11170,3264,791.2707665
base,2018,11180,246.15,3877.226756
base,2018,11190,4676.85,2584.817837
base,2018,11200,3935.25,1450.663072
base,2018,11210,1311.75,11990.15486
base,2018,11220,0,1125.757545
base,2018,11230,0,1616.615394
base,2018,11240,0,577.3626406
base,2018,11250,541.3,866.9078609
base,2018,12010,5941,1822.320553
base,2018,12020,5536,911.1602766
base,2018,12030,3291,803.2597175
base,2018,12040,2992,2565.635516
base,2018,12050,5058,887.1823746
base,2018,12060,2663,575.4696484
base,2018,12070,0,0
base,2018,12080,232.26,278.4837087
base,2018,12090,3638.74,503.5359423
base,2018,12100,5252,1390.718317
base,2018,12110,4220,1366.740415
base,2018,12120,2653,1162.928248
base,2018,12131,1987,2631.574746
base,2018,12132,1987,2631.574746
base,2018,12140,2156,1150.939297
base,2018,12150,3569,107.9005591
base,2018,12160,4922,827.2376195
base,2018,12170,0,4004.309637
base,2018,12181,252,8446.265872
base,2018,12182,0,8446.265872
base,2018,13010,0,1126.961395
base,2018,13020,2467,1918.232161
base,2018,13030,2102,623.4254524
base,2018,13040,4334,1292.947856
base,2018,13050,3864,1942.210063
base,2018,13060,1742,635.4144034
base,2018,13070,2119,1306.79566
base,2018,13080,1630,1007.071885
base,2018,13090,1690,937.8385524
base,2018,13100,3954,1738.397896
base,2018,13110,2165,5838.619141
base,2018,13120,3710,1043.038738
base,2018,13130,2749,1019.060836
base,2018,13140,193,2421.768104
base,2018,13150,1737,755.3039135
base,2018,13160,1509,743.3149625
base,2018,13170,2224,803.2597175
base,2018,13180,1165.5,1577.745953
base,2018,13190,499.5,676.1768368
base,2018,13200,2123,911.1602766
base,2018,13210,1845,2289.889643
base,2018,13220,2049,1414.696219
base,2018,13230,2169,587.4585994
base,2018,13240,2202,1906.24321
base,2018,13250,1973,3752.541665
base,2018,13260,2232,2146.02223
base,2018,13270,2525,1055.027689
base,2018,13280,2908,1462.652023
base,2018,13290,1220,623.4254524
base,2018,13300,1660,791.2707665
base,2018,14010,0,0
base,2018,14020,5111,767.2928645
base,2018,14030,4688,683.3702074
base,2018,14040,3806,1126.961395
base,2018,14050,3069,683.3702074
base,2018,14060,3977,1834.309504
base,2018,14070,2654,1342.762513
base,2018,14080,3397,791.2707665
base,2018,14090,3219,2421.768104
base,2018,14100,2992,1031.049787
base,2018,14110,1648.5,2361.823349
base,2018,14120,706.5,2661.547124
base,2018,14130,2876,2265.91174
base,2018,14140,3967,2541.657614
base,2018,14150,3031,2289.889643
base,2018,14160,0,1943.928124
