taz,superzone,pop_conv,emp_conv,pop_trends,emp_trends,pop_focus,emp_focus,pop_tama70,emp_tama70
1101,תל אביב -יפו,17565,7240,17928,5551,17565,7239,18089,10786
1102,תל אביב -יפו,2560,6662,2613,5107,2560,6660,2866,8320
1103,תל אביב -יפו,5619,2599,5736,1992,5619,2598,7904,5514
1104,תל אביב -יפו,4413,287,4505,220,4413,287,6086,941
1105,תל אביב -יפו,7513,1343,7669,1030,7513,1343,9113,2253
1106,תל אביב -יפו,5207,4167,5315,3195,5207,4167,6358,7042
1107,תל אביב -יפו,5072,2248,3860,1211,5072,2248,6394,3155
1108,תל אביב -יפו,1883,664,1922,508,1883,664,2320,1131
1109,תל אביב -יפו,1255,975,1281,747,1255,975,1837,1758
1110,תל אביב -יפו,5633,2246,5749,1723,5633,2245,7536,4110
1111,תל אביב -יפו,17214,3054,17570,2341,17214,3053,22183,6694
1112,תל אביב -יפו,3905,1102,3997,850,3905,1102,6287,3113
1113,תל אביב -יפו,6450,1443,6583,1106,6450,1443,8294,2260
1114,תל אביב -יפו,562,8436,574,6468,562,8435,569,6876
1115,תל אביב -יפו,5423,1778,5535,1362,5423,1777,5543,1635
1116,תל אביב -יפו,3971,20509,3024,18926,3971,20506,5485,30559
1117,תל אביב -יפו,0,2871,0,2201,0,2871,0,5963
1118,תל אביב -יפו,4858,2640,4958,2025,4858,2640,6513,3333
1119,תל אביב -יפו,5754,4662,5873,3575,5754,4661,7805,6986
1120,תל אביב -יפו,10058,5572,10266,4273,10058,5571,15053,11589
1121,תל אביב -יפו,0,1643,0,1313,0,1643,0,3485
1122,תל אביב -יפו,0,573,0,438,0,573,0,1124
1123,תל אביב -יפו,7398,1833,7551,1406,7398,1833,8788,3075
1124,תל אביב -יפו,2270,1915,2317,1468,2270,1915,2546,2516
1125,תל אביב -יפו,0,2431,0,1865,0,2431,0,3529
1126,תל אביב -יפו,0,1026,0,785,0,1026,0,2061
1201,תל אביב -יפו,395,524,404,402,395,523,551,1041
1202,תל אביב -יפו,5770,1247,5890,956,5770,1246,7987,2480
1203,תל אביב -יפו,6148,1075,6275,825,6148,1075,7769,1863
1204,תל אביב -יפו,6128,1134,6255,870,6128,1134,7851,1667
1205,תל אביב -יפו,2713,2091,2769,1604,2713,2090,3904,4167
1206,תל אביב -יפו,6487,2556,6621,1960,6487,2555,7533,3890
1207,תל אביב -יפו,7290,1812,7440,1390,7290,1812,8036,2356
1208,תל אביב -יפו,7476,3365,7631,2581,7476,3365,10356,6476
1209,תל אביב -יפו,4081,1485,4166,1138,4081,1485,5887,2968
1210,תל אביב -יפו,4623,5802,4719,4449,4623,5802,6016,9920
1211,תל אביב -יפו,4212,2322,4299,1781,4212,2322,5854,4216
1212,תל אביב -יפו,5249,2505,5357,1921,5249,2505,6333,3795
1213,תל אביב -יפו,3079,4849,3143,3718,3079,4848,3704,5889
1214,תל אביב -יפו,1649,17160,538,14685,1649,17159,2332,19541
1215,תל אביב -יפו,4355,6474,1739,5427,4355,6473,5646,16195
1216,תל אביב -יפו,0,15894,0,13917,0,15890,0,28162
1217,תל אביב -יפו,2500,4716,2552,3616,2500,4716,3414,5289
1218,תל אביב -יפו,3351,1080,3420,829,3351,1080,4303,2229
1220,תל אביב -יפו,8793,2241,8975,1719,8793,2240,12098,4392
1301,תל אביב -יפו,0,2145,0,1897,0,2145,0,3015
1302,תל אביב -יפו,5247,2342,5355,1796,5247,2342,6521,3211
1303,תל אביב -יפו,2545,1130,2597,866,2545,1130,3670,2259
1304,תל אביב -יפו,2109,1148,2152,880,2109,1148,2997,2242
1305,תל אביב -יפו,2596,2350,2650,1802,2596,2350,3707,4627
1306,תל אביב -יפו,3438,3536,3509,2713,3438,3536,4959,7075
1307,תל אביב -יפו,918,4661,974,3942,918,4659,1464,8910
1308,תל אביב -יפו,3046,1457,3153,1239,3046,1457,3375,1668
1309,תל אביב -יפו,2339,1890,2387,1449,2339,1890,2270,1832
1310,תל אביב -יפו,2046,1684,2088,1291,2046,1684,1690,1073
1311,תל אביב -יפו,3826,1331,3767,1074,3826,1331,3710,1575
1312,תל אביב -יפו,5204,3225,5312,2473,5204,3225,4282,2950
1313,תל אביב -יפו,4678,3490,4774,2677,4678,3490,6211,6258
1314,תל אביב -יפו,2232,7308,2198,5897,2232,7307,2182,9019
1315,תל אביב -יפו,3191,1969,3058,1546,3191,1969,3152,2109
1316,תל אביב -יפו,1712,1001,1685,808,1712,1001,1660,1223
1317,תל אביב -יפו,1339,838,1283,659,1339,838,1337,698
1318,תל אביב -יפו,2113,1782,2080,1438,2113,1782,2049,1996
1319,תל אביב -יפו,2237,750,2202,605,2237,750,2169,837
1320,תל אביב -יפו,2417,2553,2315,2004,2417,2553,2433,1928
1321,תל אביב -יפו,1556,940,1532,758,1556,940,1509,1161
1322,תל אביב -יפו,2025,3060,1940,2403,2025,3059,2021,2519
1323,תל אביב -יפו,2293,1020,2258,823,2293,1020,2224,1265
1324,תל אביב -יפו,2045,1196,2207,1058,2045,1196,2178,1738
1325,תל אביב -יפו,2322,1227,2225,964,2322,1227,2234,1362
1326,תל אביב -יפו,1456,2496,1571,2208,1456,2496,2048,3504
1327,תל אביב -יפו,612,1067,660,944,612,1067,799,1443
1328,תל אביב -יפו,2165,5007,2075,3932,2165,5005,2214,4857
1329,תל אביב -יפו,2771,1423,2655,1118,2771,1423,2850,1623
1330,תל אביב -יפו,2450,3488,2347,2739,2450,3488,2552,3949
1401,תל אביב -יפו,6432,1474,6565,1131,6432,1473,8100,2369
1403,תל אביב -יפו,9110,2309,9298,1770,9110,2308,8292,1980
1404,תל אביב -יפו,4713,2067,4810,1585,4713,2066,4248,1733
1405,תל אביב -יפו,3862,1280,3942,981,3862,1279,5095,2096
1406,תל אביב -יפו,5005,3345,5108,2564,5005,3344,5916,4357
1407,תל אביב -יפו,3993,5665,4076,4345,3993,5664,3005,4610
1408,תל אביב -יפו,3438,2464,3509,1891,3438,2464,4374,4219
1409,תל אביב -יפו,2503,4328,2555,3319,2503,4328,2264,3767
1410,תל אביב -יפו,4275,1479,4363,1134,4275,1478,5550,2502
1411,תל אביב -יפו,4565,2079,4660,1594,4565,2079,3965,1763
1412,תל אביב -יפו,5137,4619,5243,3542,5137,4619,4407,3548
1413,תל אביב -יפו,4637,1207,5189,1077,4637,1131,3380,923
1414,תל אביב -יפו,603,7367,713,7592,603,6417,375,3923
1415,תל אביב -יפו,2674,1814,2729,1390,2674,1813,2686,2072
1416,תל אביב -יפו,1116,6465,1116,5722,1116,6464,1204,8832
1417,תל אביב -יפו,74,5162,87,5319,74,4541,57,6022
1418,תל אביב -יפו,34,5271,40,5433,34,4593,31,7797
1419,תל אביב -יפו,5261,4661,5370,3574,5261,4661,5543,5489
1420,תל אביב -יפו,3913,4155,3994,3186,3913,4154,4531,5772
1421,תל אביב -יפו,3644,4092,3719,3138,3644,4091,3206,3493
1501,תל אביב -יפו,3332,3448,3478,2794,3332,3448,3572,4150
1502,תל אביב -יפו,1856,6943,2003,6141,1856,6942,2703,9223
1503,תל אביב -יפו,2485,2044,2381,1605,2485,2043,2559,2363
1504,תל אביב -יפו,3530,2623,3382,2060,3530,2622,3850,3041
1505,תל אביב -יפו,3085,1426,2956,1120,3085,1426,3262,1527
1506,תל אביב -יפו,3992,1226,3824,962,3992,1225,4115,1402
1507,תל אביב -יפו,3658,2355,3505,1849,3658,2355,3856,2648
1508,תל אביב -יפו,2707,3013,3201,3105,2707,2625,2633,2920
1509,תל אביב -יפו,1150,693,1102,546,1150,693,1194,3056
1510,תל אביב -יפו,4748,1820,4549,1430,4748,1820,4971,2094
1511,תל אביב -יפו,2241,1435,2147,1127,2241,1435,2424,1659
1512,תל אביב -יפו,916,2742,1084,2825,916,2389,1125,3122
1513,תל אביב -יפו,784,1403,927,1446,784,1222,837,1676
1514,תל אביב -יפו,1029,2102,986,1651,1029,2102,1196,2409
1515,תל אביב -יפו,458,9422,542,9709,458,8208,579,11079
1516,תל אביב -יפו,364,1999,349,1569,364,1998,494,2219
1517,תל אביב -יפו,971,1518,1148,1565,971,1323,1209,1796
1518,תל אביב -יפו,1496,4549,1527,3488,1496,4548,1815,3354
1519,תל אביב -יפו,2569,5159,2605,4329,2569,5158,2810,5392
1520,תל אביב -יפו,2945,929,3005,712,2945,929,3747,951
1521,תל אביב -יפו,584,6469,588,7207,584,6469,576,20860
1522,תל אביב -יפו,0,604,0,464,0,604,0,1189
1523,תל אביב -יפו,1059,1355,1068,1355,1059,1355,1293,2142
1524,תל אביב -יפו,4857,6914,4957,5301,4857,6912,6137,6530
1525,תל אביב -יפו,1468,15332,1736,15799,1468,13356,1998,17071
1526,תל אביב -יפו,957,13332,1131,13738,957,11613,1487,14302
1527,תל אביב -יפו,229,3848,271,3966,229,3352,318,3942
1601,תל אביב -יפו,2496,9092,2952,9369,2496,7920,2174,8208
1602,תל אביב -יפו,385,3737,455,3852,385,3256,407,4050
1603,תל אביב -יפו,2104,15530,2487,16004,2104,13528,1851,15246
1604,תל אביב -יפו,1174,11600,1388,11954,1174,10105,1294,12784
1605,תל אביב -יפו,1786,14228,2112,14662,1786,12395,1933,15428
1606,תל אביב -יפו,149,17892,176,18438,149,15586,161,19238
1607,תל אביב -יפו,2209,7098,2612,7315,2209,6184,2543,7835
