scenario,year,taz,pop,emp
conv,2050,1101,17565,7240
conv,2050,1102,2560,6662
conv,2050,1103,5619,2599
conv,2050,1104,4413,287
conv,2050,1105,7513,1343
conv,2050,1106,5207,4167
conv,2050,1107,5072,2248
conv,2050,1108,1883,664
conv,2050,1109,1255,975
conv,2050,1110,5633,2246
conv,2050,1111,17214,3054
conv,2050,1112,3905,1102
conv,2050,1113,6450,1443
conv,2050,1114,562,8436
conv,2050,1115,5423,1778
conv,2050,1116,3971,20509
conv,2050,1117,0,2871
conv,2050,1118,4858,2640
conv,2050,1119,5754,4662
conv,2050,1120,10058,5572
conv,2050,1121,0,1643
conv,2050,1122,0,573
conv,2050,1123,7398,1833
conv,2050,1124,2270,1915
conv,2050,1125,0,2431
conv,2050,1126,0,1026
conv,2050,1201,395,524
conv,2050,1202,5770,1247
conv,2050,1203,6148,1075
conv,2050,1204,6128,1134
conv,2050,1205,2713,2091
conv,2050,1206,6487,2556
conv,2050,1207,7290,1812
conv,2050,1208,7476,3365
conv,2050,1209,4081,1485
conv,2050,1210,4623,5802
conv,2050,1211,4212,2322
conv,2050,1212,5249,2505
conv,2050,1213,3079,4849
conv,2050,1214,1649,17160
conv,2050,1215,4355,6474
conv,2050,1216,0,15894
conv,2050,1217,2500,4716
conv,2050,1218,3351,1080
conv,2050,1220,8793,2241
conv,2050,1301,0,2145
conv,2050,1302,5247,2342
conv,2050,1303,2545,1130
conv,2050,1304,2109,1148
conv,2050,1305,2596,2350
conv,2050,1306,3438,3536
conv,2050,1307,918,4661
conv,2050,1308,3046,1457
conv,2050,1309,2339,1890
conv,2050,1310,2046,1684
conv,2050,1311,3826,1331
conv,2050,1312,5204,3225
conv,2050,1313,4678,3490
conv,2050,1314,2232,7308
conv,2050,1315,3191,1969
conv,2050,1316,1712,1001
conv,2050,1317,1339,838
conv,2050,1318,2113,1782
conv,2050,1319,2237,750
conv,2050,1320,2417,2553
conv,2050,1321,1556,940
conv,2050,1322,2025,3060
conv,2050,1323,2293,1020
conv,2050,1324,2045,1196
conv,2050,1325,2322,1227
conv,2050,1326,1456,2496
conv,2050,1327,612,1067
conv,2050,1328,2165,5007
conv,2050,1329,2771,1423
conv,2050,1330,2450,3488
conv,2050,1401,6432,1474
conv,2050,1403,9110,2309
conv,2050,1404,4713,2067
conv,2050,1405,3862,1280
conv,2050,1406,5005,3345
conv,2050,1407,3993,5665
conv,2050,1408,3438,2464
conv,2050,1409,2503,4328
conv,2050,1410,4275,1479
conv,2050,1411,4565,2079
conv,2050,1412,5137,4619
conv,2050,1413,4637,1207
conv,2050,1414,603,7367
conv,2050,1415,2674,1814
conv,2050,1416,1116,6465
conv,2050,1417,74,5162
conv,2050,1418,34,5271
conv,2050,1419,5261,4661
conv,2050,1420,3913,4155
conv,2050,1421,3644,4092
conv,2050,1501,3332,3448
conv,2050,1502,1856,6943
conv,2050,1503,2485,2044
conv,2050,1504,3530,2623
conv,2050,1505,3085,1426
conv,2050,1506,3992,1226
conv,2050,1507,3658,2355
conv,2050,1508,2707,3013
conv,2050,1509,1150,693
conv,2050,1510,4748,1820
conv,2050,1511,2241,1435
conv,2050,1512,916,2742
conv,2050,1513,784,1403
conv,2050,1514,1029,2102
conv,2050,1515,458,9422
conv,2050,1516,364,1999
conv,2050,1517,971,1518
conv,2050,1518,1496,4549
conv,2050,1519,2569,5159
conv,2050,1520,2945,929
conv,2050,1521,584,6469
conv,2050,1522,0,604
conv,2050,1523,1059,1355
conv,2050,1524,4857,6914
conv,2050,1525,1468,15332
conv,2050,1526,957,13332
conv,2050,1527,229,3848
conv,2050,1601,2496,9092
conv,2050,1602,385,3737
conv,2050,1603,2104,15530
conv,2050,1604,1174,11600
conv,2050,1605,1786,14228
conv,2050,1606,149,17892
conv,2050,1607,2209,7098
conv,2050,1608,103,10986
conv,2050,1609,4098,10022
conv,2050,1610,941,800
conv,2050,1611,3474,11762
conv,2050,1612,3418,12897
conv,2050,1613,215,9713
conv,2050,1701,2870,5606
conv,2050,1702,5788,5460
conv,2050,1703,2539,6835
conv,2050,1704,4921,4500
conv,2050,1705,3493,2290
conv,2050,1706,2622,3560
conv,2050,1707,1181,363
conv,2050,1708,2465,544
conv,2050,1709,5428,1257
conv,2050,1710,4337,2134
conv,2050,1711,4294,1628
conv,2050,1712,2239,10276
conv,2050,1713,0,2387
conv,2050,1714,6017,862
conv,2050,1715,4959,1904
