"scenario","year","nafanum","pop","emp"
"conv",2050,10,531055,310437
"conv",2050,11,955087,419766
"conv",2050,12,313836,129882
"conv",2050,14,1359926,655970
"conv",2050,15,2254590,1463983
"conv",2050,9,688796,314842
"focus",2050,10,531055,310437
"focus",2050,11,955087,419766
"focus",2050,12,313836,144883
"focus",2050,14,1359926,671426
"focus",2050,15,2254590,1423975
"focus",2050,9,688796,324390
"tama100",2050,15,3904,4167
"tama1000",2050,9,5017,2943
"tama1001",2050,9,6939,1283
"tama1002",2050,9,2325,793
"tama1003",2050,9,952,224
"tama1004",2050,9,8107,3296
"tama1005",2050,9,1698,353
"tama1006",2050,9,4953,3100
"tama1007",2050,9,2035,1073
"tama1008",2050,9,2306,1138
"tama1009",2050,9,2017,640
"tama101",2050,15,7533,3890
"tama1010",2050,9,1203,939
"tama1011",2050,9,6274,1979
"tama1012",2050,9,2351,733
"tama1013",2050,9,2982,948
"tama1014",2050,9,2505,675
"tama1015",2050,9,5086,1846
"tama1016",2050,9,4032,6311
"tama1017",2050,9,4879,961
"tama1018",2050,9,3714,653
"tama1019",2050,9,5052,565
"tama102",2050,15,8036,2356
"tama1020",2050,9,3549,616
"tama1021",2050,9,5036,691
"tama1022",2050,9,3747,536
"tama1023",2050,9,3381,1159
"tama1024",2050,9,1685,529
"tama1025",2050,9,2469,777
"tama1026",2050,9,2275,1374
"tama1027",2050,9,3499,1203
"tama1028",2050,9,3330,10463
"tama1029",2050,9,4078,4480
"tama103",2050,15,10356,6476
"tama1030",2050,9,3143,696
"tama1031",2050,9,4309,7753
"tama1032",2050,9,3727,518
"tama1033",2050,9,5027,1546
"tama1034",2050,9,4922,1572
"tama1035",2050,9,201,6248
"tama1036",2050,9,1018,1253
"tama1037",2050,9,7879,3757
"tama1038",2050,9,5702,915
"tama1039",2050,9,2460,356
"tama104",2050,15,5887,2968
"tama1040",2050,9,3048,264
"tama1041",2050,9,4450,639
"tama1042",2050,9,3974,563
"tama1043",2050,9,2125,371
"tama1044",2050,9,2125,371
"tama1045",2050,9,2879,548
"tama1046",2050,9,1329,368
"tama1047",2050,9,2761,304
"tama1048",2050,9,8571,1426
"tama1049",2050,9,0,4921
"tama105",2050,15,6016,9920
"tama1050",2050,9,42,4663
"tama1051",2050,9,189,6188
"tama1052",2050,9,5344,1921
"tama1053",2050,9,7578,1744
"tama1054",2050,9,6043,448
"tama1055",2050,9,5320,2971
"tama1056",2050,9,1509,4823
"tama1057",2050,9,6134,644
"tama1058",2050,9,15540,6520
"tama1059",2050,9,5797,1763
"tama106",2050,15,5854,4216
"tama1060",2050,9,5731,1707
"tama1061",2050,9,7858,2338
"tama1062",2050,9,5074,843
"tama1063",2050,9,4484,13284
"tama1064",2050,9,4542,211
"tama1065",2050,9,14344,779
"tama1066",2050,9,4371,2094
"tama1067",2050,9,4964,705
"tama1068",2050,9,3736,429
"tama1069",2050,9,3925,326
"tama107",2050,15,6333,3795
"tama1070",2050,9,2434,313
"tama1071",2050,9,4090,423
"tama1072",2050,9,5261,296
"tama1073",2050,9,3249,519
"tama1074",2050,9,3749,841
"tama1075",2050,9,0,17811
"tama1076",2050,9,0,7658
"tama1077",2050,9,0,10602
"tama1078",2050,9,0,20658
"tama1079",2050,9,1723,179
"tama108",2050,15,3704,5889
"tama1080",2050,9,3093,52
"tama1081",2050,9,5383,546
"tama1082",2050,9,8194,1811
"tama1083",2050,9,6941,2287
"tama1084",2050,9,3973,493
"tama1085",2050,9,0,162
"tama1086",2050,9,8613,2460
"tama1087",2050,9,14001,3298
"tama1088",2050,9,30363,8124
"tama1089",2050,9,5690,4747
"tama109",2050,15,2332,19541
"tama1090",2050,9,7092,1742
"tama1091",2050,9,13064,6485
"tama1092",2050,9,4571,862
"tama1093",2050,9,5912,1200
"tama1094",2050,9,6059,1781
"tama1095",2050,9,4353,2099
