scenario,year,ID,AREA,TAZ_OLD,TAZ_1318_S,TAZ_1318_N,TYPE,CULTURALM,CULTURALL,UNIVERSITY,U_STUDENTS,COLLEGE,CSTUDENTS,YESHIVA,YSTUDENTS,EDUCATIONH,H_CLASS,H_STUDENTS,EDUCATIONE,E_CLASS,E_STUDENTS,OFFICE,MALL,MALL_AREA,STREET,STR_AREA,MARKET,MARKET_ARE,HEALTH,BEDS_HEALT,SOCECO,SECTOR,SECTOR_JEW,SECTOR_ARA,SECTOR_ORT,URBAN,POPULATION,HOUSEHOLDS,HH_JEW,HH_ARAB,HH_ORTO,EMPL_TOT,EMPL_COMM,EMPL_SERV,EMPL_INDU,EMPL_OFFIC,AGE_0_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_64,AGE_65_74,AGE_75,WOMEN,MEN,WORKERS,PARKCOST,PARKWALK,PARKCAP,SOLDIERS,ARMY,MLIC2,MLIC3,MLIC4,MLIC5,MLIC6,FLIC2,FLIC3,FLIC4,FLIC5,FLIC6,GE,GE_NAME,SEMEL,CITY_H,CITY_E,MUNICIPAL,nafa
BAU,2025,794,702000,1101,11041,1101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,3760,1393,2.7,0,0,1075,0,1075,0,0,854,199,173,324,1406,473,331,1915,1845,1887,0,1,1696,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,1304,324000,1102,11050,1102,4,0,0,0,0,1,5500,0,0,1,44,1485,0,0,0,0,0,0,1,67280,0,0,0,0,9,1,1,0,0,1,546,188,2.9,0,0,2758,1869,889,0,0,150,34,30,55,205,42,30,279,267,277,0,1,2160,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,812,896000,1103,11042,1103,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,2165,802,2.7,0,0,678,0,678,0,0,492,115,99,186,810,273,191,1102,1063,1087,0,1,1486,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,813,537000,1104,11060,1104,3,0,0,0,0,0,0,0,0,0,0,0,1,19,472,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,3819,1232,3.1,0,0,152,0,152,0,0,867,202,176,329,1428,481,336,1945,1874,1917,0,1,1323,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,805,270000,1105,11120,1105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,5595,2433,2.3,0,0,660,0,660,0,0,1319,229,263,716,1933,662,474,2962,2633,2859,0,1,2812,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,806,412000,1106,11110,1106,3,0,0,0,0,0,0,0,0,0,0,0,1,20,560,0,0,0,1,4570,0,0,0,0,9,1,1,0,0,1,3969,1470,2.7,0,0,2560,2427,133,0,0,818,200,225,396,1333,546,451,2066,1903,1986,0,1,3559,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,834,423000,1107,11100,1107,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5533,0,0,0,0,9,1,1,0,0,1,3860,1608,2.4,0,0,1211,1045,166,0,0,819,223,231,398,1349,439,401,2036,1824,1975,0,1,2696,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,838,278000,1108,11150,1108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,1638,630,2.6,0,0,414,0,414,0,0,323,101,114,147,519,160,274,862,776,806,0,1,884,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,837,255000,1109,11160,1109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,1,1092,420,2.6,0,0,619,0,619,0,0,216,68,76,97,346,107,183,575,517,537,0,1,801,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
BAU,2025,804,287000,1110,11130,1110,3,0,0,0,0,0,0,0,0,0,0,0,1,19,585,0,0,0,1,1593,0,0,0,0,9,1,1,0,0,1,4900,1885,2.6,0,0,1408,51,1357,0,0,900,309,236,333,1506,454,1162,2634,2266,2292,0,1,2759,0,0,0.005,0.036,0.156,0.279,0.084,0.004,0.028,0.123,0.219,0.066,10,גלעין (תל-א,5000,תל אביב -יפו,TEL AVIV - YAFO,תל אביב יפו,15
