"scenario","year","sectorzn","U_STUDENTS","CSTUDENTS","YSTUDENTS","H_CLASS","H_STUDENTS","E_CLASS","E_STUDENTS","MALL_AREA","STR_AREA","MARKET_ARE","BEDS_HEALT","POPULATION","HOUSEHOLDS","HH_JEW","HH_ARAB","HH_ORTO","EMPL_TOT","EMPL_COMM","EMPL_SERV","EMPL_INDU","EMPL_OFFIC","AGE_0_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_64","AGE_65_74","AGE_75","WOMEN","MEN","WORKERS","PARKCOST","PARKWALK","PARKCAP","SOLDIERS"
"BAU",2025,10,30992,16065,913,843,22517,1254,29035,182658,2702826,181320,1995,507968,221526,460.9495,79.6950,33.3556,478529,109974,240015,18029,110508,96810,25184,28473,93326,183953,35933,44300,255835,252134,285445,210,488,543889,7543
"BAU",2025,21,8903,650,0,228,6671,462,11934,70815,203321,0,95,153900,55056,159.2000,0.0000,0.0000,85533,11067,47755,13815,12900,35021,10341,9315,15283,54544,13971,15418,79360,74540,77316,326,450,110516,2849
"BAU",2025,22,21582,22983,5056,536,15826,1786,46408,113803,524749,5788,1803,545719,177671,350.1203,0.0000,221.7971,223671,34176,119104,37920,32477,163211,45855,39637,70111,156134,30497,40261,276258,269463,230115,731,1063,319643,3103
"BAU",2025,23,1261,20805,505,784,20290,923,21442,51000,299636,0,703,351498,128391,289.4998,0.0000,9.9996,109780,18851,49528,25122,16282,75764,23280,21869,38670,124958,30607,36359,182037,169461,178062,267,453,201248,0
"BAU",2025,31,724,1806,463,569,16023,791,20125,170934,265308,5462,1179,275059,91448,250.3000,0.0000,0.0000,125983,21826,74673,12383,17102,61874,18921,16859,26825,95945,26960,27666,141595,133464,141087,401,568,172392,0
"BAU",2025,32,2392,0,3805,791,23595,1146,27268,84742,377280,6003,1545,379448,119039,261.9333,0.0000,31.4368,209571,26654,99391,43324,40201,92655,26413,22924,41343,126514,32436,37154,193140,186308,183716,360,461,244197,0
"BAU",2025,33,9338,20177,2780,1427,38623,2547,60178,254612,990298,23762,2251,719911,231060,505.1487,201.2526,34.5456,295877,50607,143656,64965,36648,171502,51296,48068,88712,238986,59215,62128,363969,355940,351639,790,941,418399,1664
"BAU",2025,41,2461,11530,834,1079,28949,1818,44764,147980,619925,10826,1076,562764,174084,348.4318,77.3000,34.0204,207646,36428,124276,27077,19860,140051,46466,41031,64020,185460,39776,45955,283544,279220,257500,430,579,305635,825
"BAU",2025,42,905,0,2181,826,24468,1369,32604,57453,301978,7459,10,344571,88701,216.9112,30.3000,42.4744,126041,12769,76920,20416,15935,105856,35701,27404,37062,112055,13809,12682,171637,172933,156578,186,282,164028,1345
"BAU",2025,43,2464,4641,2378,1061,27450,1389,34718,128697,501695,3760,882,446505,133820,315.4023,0.0000,86.7213,163716,21486,81757,54502,5968,117545,37549,32689,49466,143862,30266,35132,226320,220183,208114,172,279,238568,8000
"BAU",2030,10,37601,19492,913,843,22517,1308,30377,182658,5270578,181320,2127,548739,261748,425.2401,73.4585,31.0772,515296,251613,159917,24995,78771,105080,27312,30758,99777,198927,39162,47725,276269,272469,307526,210,489,620242,7543
"BAU",2030,21,10801,789,0,228,6671,494,12874,70815,782842,0,100,163681,62608,150.5000,0.0000,0.0000,90298,25387,48996,4503,11412,37592,10953,9852,16270,58168,14750,16098,84395,79286,82249,350,483,122046,2849
"BAU",2030,22,26185,27887,5056,550,16193,2049,54275,113803,1518729,5788,1893,583476,201805,329.6055,0.0000,208.2992,241896,57667,118622,32700,32908,175080,48925,42267,74920,167181,32410,42682,295288,288188,246307,731,1063,353154,3103
"BAU",2030,23,1530,25243,505,784,20290,1062,25361,51000,864368,0,737,361529,140602,271.6133,0.0000,9.3332,115206,33515,42793,18252,20647,78494,24247,22564,39563,128559,31263,36836,187126,174403,183039,267,453,217877,0
"BAU",2030,31,878,2191,463,554,15631,807,20456,170934,930815,5462,1218,300004,107119,234.6000,0.0000,0.0000,137093,36813,68604,10289,21392,67853,20699,18351,29285,104936,29063,29822,154378,145626,154038,405,575,192961,0
"BAU",2030,32,2902,0,3805,791,23595,1165,27780,84742,1793944,6003,1587,417298,140855,245.0998,0.0000,29.1376,232121,67491,84328,32275,48028,101943,29053,25204,45509,139165,35672,40751,212316,204982,202211,364,466,278723,0
"BAU",2030,33,11267,24479,2780,1446,39060,2803,65607,254612,1998664,23762,3420,768129,262948,479.0273,186.2918,32.9416,319952,80552,143118,49011,47274,184214,54970,51202,94290,255163,62716,65554,388297,379833,374710,790,941,461512,1664
"BAU",2030,41,2985,13989,834,1109,29649,2181,53683,147980,1740950,10826,1093,611563,202980,325.2837,71.8000,31.6960,228773,69527,110383,21416,27451,152607,50372,44560,69783,201320,43125,49782,308080,303481,279420,430,579,343908,825
"BAU",2030,42,1098,485,2181,972,28767,1741,43028,57453,1177587,7459,10,382693,106810,202.8709,28.2000,39.4360,141819,39027,75224,13427,14135,117853,39181,30153,41624,124615,15332,13933,190680,192014,173088,186,283,189875,1345
"BAU",2030,43,2990,5631,2378,1061,27450,1591,39778,128697,1609736,3760,897,476862,153371,295.1747,0.0000,81.1529,176595,53159,78010,32685,12749,126300,40083,34664,52580,154097,32062,37063,241690,235171,222450,172,282,268169,8124
