"scenario","year","TZ28","U_STUDENTS","CSTUDENTS","YSTUDENTS","H_CLASS","H_STUDENTS","E_CLASS","E_STUDENTS","MALL_AREA","STR_AREA","MARKET_ARE","BEDS_HEALT","POPULATION","HOUSEHOLDS","HH_JEW","HH_ARAB","HH_ORTO","EMPL_TOT","EMPL_COMM","EMPL_SERV","EMPL_INDU","EMPL_OFFIC","AGE_0_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_64","AGE_65_74","AGE_75","WOMEN","MEN","WORKERS","PARKCOST","PARKWALK","PARKCAP","SOLDIERS"
"BAU",2025,1,30992,16065,913,843,22517,1254,29035,182658,2702826,181320,1995,508525,221758,463.3495,79.6950,33.3556,479353,109974,240015,18029,111332,96942,25214,28497,93404,184156,35973,44351,256124,252402,285755,216,497,544478,7543
"BAU",2025,10,0,1491,0,193,5581,221,5715,26500,52022,0,114,80066,25149,67.9000,0.0000,0.0000,33828,2371,22409,6253,2795,19520,5948,5091,7767,29273,6417,6047,40981,39085,40098,76,97,43872,0
"BAU",2025,11,7989,0,0,157,4291,290,7386,57639,122178,0,95,102449,37459,95.8000,0.0000,0.0000,65145,8110,33226,11914,11894,22176,6533,6426,11074,36496,9657,10079,52639,49810,53087,234,342,79489,0
"BAU",2025,12,724,0,463,215,6072,241,6084,45000,66557,0,287,74764,25284,77.7000,0.0000,0.0000,44935,5397,25189,5695,8656,15512,5563,5311,7226,25090,8069,7989,38241,36523,35103,150,226,56248,0
"BAU",2025,13,0,315,0,161,4370,329,8326,99434,145775,5462,778,119889,40902,101.7000,0.0000,0.0000,47167,14032,27049,435,5651,26744,7384,6439,11799,41452,12454,13615,62200,57689,65715,175,245,72150,0
"BAU",2025,14,5368,10063,1106,512,14324,761,18994,54855,175559,9844,1014,219074,71543,147.3364,0.0000,34.5456,84448,10436,39418,22339,12255,56722,14387,12746,24228,73075,18249,19662,111800,107273,105861,212,265,120730,0
"BAU",2025,15,0,1000,396,66,1785,215,5236,13781,61046,3178,1191,57049,15638,52.0000,0.0000,0.0000,31851,2220,19176,10051,403,17552,4546,3812,7419,17883,3085,2755,28060,28989,30504,27,38,33239,131
"BAU",2025,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,39207,0,17532,6154,15521,0,0,0,0,0,0,0,0,0,0,5,7,24367,0
"BAU",2025,17,1506,0,819,300,7141,833,18277,56468,355572,4266,0,166008,48978,133.7122,201.2526,0.0000,70415,16028,30095,18001,6290,43215,12945,12467,22078,51108,11013,13174,82815,83192,71579,161,186,94533,0
"BAU",2025,18,0,544,410,215,6056,364,9088,13000,30572,0,231,87366,23701,60.4882,0.0000,12.8830,26995,1727,19376,5892,0,23955,9414,6969,8334,28480,4550,5665,44203,43163,45490,12,26,40107,626
