"scenario","year","nafanum","U_STUDENTS","CSTUDENTS","YSTUDENTS","H_CLASS","H_STUDENTS","E_CLASS","E_STUDENTS","MALL_AREA","STR_AREA","MARKET_ARE","BEDS_HEALT","POPULATION","HOUSEHOLDS","HH_JEW","HH_ARAB","HH_ORTO","EMPL_TOT","EMPL_COMM","EMPL_SERV","EMPL_INDU","EMPL_OFFIC","AGE_0_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_64","AGE_65_74","AGE_75","WOMEN","MEN","WORKERS","PARKCOST","PARKWALK","PARKCAP","SOLDIERS"
"BAU",2025,10,2411,1000,2793,904,23905,1601,37030,115167,566846,7444,1201,379725,108450,323.3122,201.2526,7.4,199588,24583,108346,44007,22648,104896,33497,28235,43070,125922,21753,22353,189069,190654,184799,308,409,231750,2238
"BAU",2025,11,7832,19721,1994,1471,41265,2149,53295,202375,770998,16318,1301,677701,217345,475.0953,0.0000,63.0574,259671,39506,128234,58432,33501,161488,50008,44518,78635,230628,55951,56477,344189,333509,337536,610,775,379178,7383
"BAU",2025,12,2464,4097,1349,543,13412,658,15966,110685,297989,3760,641,236502,73958,123.6435,0.0000,58.2094,84617,14169,36949,31074,2422,58560,18637,17783,27055,73264,17781,23423,121140,115362,105632,164,210,134302,285
"BAU",2025,14,3451,4732,5471,1835,53791,2960,71991,268211,809566,18924,2724,895539,272628,649.4445,30.3000,66.5112,386400,55338,210768,63011,57283,231106,69386,59078,97076,296427,68924,73515,454347,441192,425386,827,1145,506375,1103
"BAU",2025,15,62738,60503,6474,2391,65304,4425,108819,418276,3730532,187108,4596,1559085,582644,1259.7696,79.6950,265.1523,897513,174068,456402,94886,172167,370806,104660,99294,217390,519589,111008,136338,793490,765598,770938,1534,2454,1175296,13495
"BAU",2025,9,2126,8604,834,1000,26735,1692,41375,147980,611085,10826,1076,538791,165771,326.6318,77.3000,34.0204,198558,36174,116376,26143,19860,133433,44818,39361,61592,176581,38053,44949,271460,267331,245281,430,571,291614,825
"BAU",2030,10,2894,1213,2793,1050,28082,1920,45144,115167,2136257,7444,1724,412118,125977,307.2211,186.2918,6.9,216573,75123,94847,25664,20947,114326,36459,30464,46546,136833,23538,23935,205256,206863,200677,308,409,263505,2238
"BAU",2030,11,9471,23926,1994,1471,41265,2510,61787,202375,1915144,16318,1947,724727,248060,446.8791,0.0000,59.7158,280720,69179,128062,40490,42992,174601,53640,47349,83547,246826,59159,59594,367993,356733,359806,610,777,420474,7507
"BAU",2030,12,2990,4971,1349,543,13412,658,15966,110685,765295,3760,656,245368,82547,115.5017,0.0000,54.3787,89811,26569,35787,21706,5751,60693,19316,18441,28077,76036,18473,24331,125696,119672,109609,164,211,147686,285
"BAU",2030,14,4186,6226,5471,1839,53958,3145,77141,268211,2823400,18924,2805,988837,324385,607.5707,28.2000,61.6736,429853,109760,195485,50717,73888,255797,76343,65105,107758,327923,75529,80380,501555,487283,469654,835,1158,575822,1103
"BAU",2030,15,76117,73411,6474,2405,65671,4913,122887,418276,8436517,187108,4857,1657425,666763,1176.9589,73.4585,248.7096,962696,368182,370328,80450,143738,396246,111437,105441,230530,552835,117585,143341,843078,814346,819121,1558,2488,1313319,13495
"BAU",2030,9,2579,10439,834,1030,27435,2055,50294,147980,1611600,10826,1093,585499,193114,304.8837,71.8000,31.6960,219396,65938,105486,20526,27451,145353,48600,42775,67143,191678,41271,48665,294941,290556,266171,430,571,327661,825
"BAU",2040,10,3399,1425,2793,1638,45125,2476,58026,115167,957790,7444,1724,479288,144847,318.9115,176.2578,7.4,253995,36670,147041,37183,33096,136979,40205,33145,58040,150966,30921,29037,238418,240868,244017,318,424,299239,2688
"BAU",2040,11,11126,28111,1994,1616,44569,3181,74912,203005,1273053,16318,1947,816460,261608,473.3624,0.0000,61.3244,329362,46704,170435,57249,54967,202668,57323,49761,98961,263451,73967,70323,414379,402081,419554,610,785,456146,9043
"BAU",2040,12,3512,5840,1568,592,15247,737,18219,110685,537303,3760,656,264110,83726,123.0583,0.0000,59.6904,101152,14611,47698,35603,3238,65632,19536,18587,31970,77478,22592,28317,135322,128788,122929,164,216,156101,343
"BAU",2040,14,4920,7315,5717,2028,59217,4137,102873,268211,1642452,18924,2805,1201511,365570,653.6965,30.3000,66.0720,540079,76132,293158,63677,107111,319224,87879,74112,137382,378488,101691,102722,609048,592463,591060,852,1183,653066,1326
"BAU",2040,15,89429,86240,6474,2840,78149,5954,148594,418276,3002102,187108,4857,1855085,691769,1283.9502,69.7408,261.9552,1108833,217660,567415,89452,234312,436555,126428,121417,286009,581774,146430,156486,942869,912214,952541,1600,2597,1417537,13500
"BAU",2040,9,3030,12265,834,1355,37071,2626,64085,147980,1402375,10826,1093,674141,207131,326.0750,77.3000,33.6865,266820,50989,167082,20013,28740,169066,52609,46372,82483,208692,54286,60644,339382,334760,318257,430,572,356110,991
"BAU",2050,10,3995,1675,2793,2272,62398,3235,76653,115167,1310411,7444,1724,566396,180894,303.1485,175.4063,6.6,301044,44294,176651,38692,41406,166975,46593,38867,66048,173276,36596,38043,281331,285063,284048,291,414,342109,2985
"BAU",2050,11,13072,33023,1994,2003,55191,4449,102195,203005,1597464,16318,1947,925250,325849,433.8774,0.0000,54.9829,388337,55337,201119,61118,70761,239488,64122,56356,107224,289519,81690,86844,468857,456390,462054,1004,776,529109,10214
"BAU",2050,12,4126,6861,1568,653,16690,990,25615,110685,655023,3760,656,284294,101149,111.3983,0.0000,53.7812,113924,18407,58622,33171,3725,71376,20565,20034,32812,81038,24261,34206,145609,138685,130130,160,211,175795,381
"BAU",2050,14,5779,8594,5717,2252,66238,5371,134197,268211,2111928,18924,2805,1464180,494323,594.0895,27.0000,57.2024,681013,94856,370703,72031,143423,397493,105139,91168,161200,447474,122343,139354,741634,722544,704461,785,1163,801646,1472
"BAU",2050,15,105059,101315,6474,3257,90586,6705,165514,418276,3809725,187108,4857,2063464,848563,1186.8773,69.4094,232.3560,1278163,254114,651255,94470,278318,497257,133135,132693,309288,622192,178824,190043,1048054,1015409,1032671,1670,2536,1599155,14989
"BAU",2050,9,3560,14407,834,1781,46261,3908,95958,147980,2050319,10826,1093,773748,265859,292.3589,68.6000,28.9659,325226,63106,207163,20508,34452,197889,59084,53676,91461,231347,62348,77934,389397,384351,356862,401,562,423204,1101
"IPLAN",2025,10,2411,1000,2793,904,23905,1601,37030,115167,552857,7444,1201,372511,106590,323.3122,201.2526,7.4,200026,24907,108590,44224,22304,102495,32780,27806,42558,123184,21443,22256,185538,186974,180999,308,409,230210,2238
"IPLAN",2025,11,7832,19721,1994,1471,41265,2149,53295,202375,765953,16318,1301,672080,214920,475.0953,0.0000,63.0574,261362,39415,130988,57558,33399,159937,50076,44484,77879,228571,55225,55921,341317,330763,335658,604,768,376820,7383
"IPLAN",2025,12,2464,4097,1349,543,13412,658,15966,110685,296391,3760,641,255322,80289,123.6435,0.0000,58.2094,92255,16798,41095,31825,2533,63041,20207,19205,29130,79468,19304,24964,130803,124519,114270,164,210,141785,285
"IPLAN",2025,14,3451,4732,5471,1835,53791,2960,71991,268211,963120,18924,2724,878525,267225,649.4445,30.3000,66.5112,391379,57763,215649,61890,56074,227038,68129,58175,95605,290226,67438,71929,445630,432894,416445,827,1145,501806,1103
"IPLAN",2025,15,62738,60503,6474,2391,65304,4425,108819,418276,3738713,187108,4596,1593470,592671,1259.7696,79.6950,265.1523,927564,176497,479987,99534,171543,378047,106893,100952,218643,531444,114389,143108,811813,781657,786485,1534,2454,1187644,13495
"IPLAN",2025,9,2126,8604,834,1000,26735,1692,41375,147980,654858,10826,1076,533083,163681,326.6318,77.3000,34.0204,207059,38284,122179,26886,19710,132484,44893,39197,60973,174533,37187,43824,268341,264742,241629,430,571,290937,825
"IPLAN",2030,10,2894,1213,2793,1050,28082,1920,45144,115167,2117221,7444,1724,395401,121164,307.2211,186.2918,6.9,216577,74942,96827,24903,19912,108941,34778,29406,45236,130731,22802,23512,197006,198395,192259,308,409,259057,2238
"IPLAN",2030,11,9471,23926,1994,1471,41265,2510,61787,202375,1882231,16318,1947,720777,246173,447.0037,0.0000,58.3728,285943,68926,132648,40969,43404,173075,54026,47500,83010,245493,58569,59099,365870,354909,359312,604,770,418803,7507
"IPLAN",2030,12,2990,4971,1349,543,13412,658,15966,110685,816162,3760,656,293487,99486,115.8433,0.0000,53.6722,108516,33557,46802,21795,6372,71868,23154,22042,33461,91739,22481,28740,150471,143016,131657,164,211,167426,285
"IPLAN",2030,14,4186,6226,5471,1839,53958,3145,77141,268211,2907692,18924,2805,958081,314639,607.9705,28.2000,60.4508,452741,115827,207697,52815,76390,247212,73808,63095,104142,318147,73631,78051,486116,471962,455415,835,1158,569077,1103
"IPLAN",2030,15,76117,73411,6474,2405,65671,4913,122887,418276,8759663,187108,4857,1714158,688138,1178.5456,73.4585,244.4838,1009079,381059,396338,83406,148286,405730,115049,108067,234266,574320,123484,153265,872550,841609,848873,1558,2488,1340164,13495
"IPLAN",2030,9,2579,10439,834,1030,27435,2055,50294,147980,1600610,10826,1093,561736,184497,304.9578,71.8000,30.7630,223683,67479,109368,20625,26217,139995,47410,41402,64390,183813,38931,45813,282658,279078,254327,430,571,320104,825
