TAZ_1318_N,citycode
5312,8300
5339,8300
7405,0
5313,8300
5316,8300
5315,8300
5309,8300
4602,0
5008,0
5306,8300
5317,8300
5322,8300
8015,0
8110,0
8011,0
5218,8500
5217,8500
5205,8500
5204,8500
5210,8500
5211,8500
5009,0
5201,8500
8402,70
8301,0
5375,8300
8331,0
8330,0
8401,70
8322,2660
8302,0
8013,0
8212,0
8213,0
8326,0
8320,2660
8314,2660
8315,2660
8311,2660
8310,2660
8214,0
8428,70
8343,0
8447,70
8448,70
8403,70
8329,0
8438,70
8442,70
8445,70
8430,70
8437,70
8435,70
8432,70
8450,70
8446,70
8449,70
8443,70
8444,70
8427,70
8426,70
8406,70
8404,70
8423,70
8421,70
8409,70
8413,70
8420,70
8410,70
8417,70
8412,70
8436,70
8431,70
8424,70
8433,70
8422,70
8425,70
8452,70
8416,70
8415,70
8439,70
8418,70
8440,70
8342,0
8332,0
8313,2660
8312,2660
8111,0
8112,0
8120,0
8215,0
8107,0
8108,0
8105,0
8106,0
8204,0
5516,7200
5372,8300
5370,8300
8211,8400
5602,8400
5601,8400
5515,7200
5514,7200
5501,7200
5369,8300
5348,8300
5347,8300
8002,0
5635,8400
5637,8400
5617,8400
5616,8400
5606,8400
8001,0
5508,7200
5506,7200
5349,8300
5330,8300
5331,8300
8210,8400
5615,8400
5619,8400
5517,7200
5636,8400
8323,2660
8319,2660
8324,2660
8318,2660
8317,2660
8316,2660
5638,8400
5620,8400
8203,0
8201,0
5371,8300
5314,8300
5512,7200
5511,7200
5343,8300
5342,8300
5336,8300
5333,8300
5335,8300
5334,8300
5346,8300
5344,8300
5345,8300
5332,8300
8012,0
5630,8400
5629,8400
5631,8400
5634,8400
5645,0
5643,0
5644,0
5646,0
5605,8400
5609,8400
5632,8400
5614,8400
5612,8400
5610,8400
5624,8400
5611,8400
5623,8400
5622,8400
5603,8400
5613,8400
5626,8400
5627,8400
5625,8400
5604,8400
5607,8400
5373,8300
5367,8300
5404,2530
5365,8300
5364,8300
5507,7200
5356,8300
5354,8300
5363,8300
5357,8300
5324,8300
5352,8300
5350,8300
5325,8300
5355,8300
5326,8300
5368,8300
5353,8300
5351,8300
5329,8300
5327,8300
5328,8300
5216,8500
5215,8500
5203,8500
5212,8500
5202,8500
5225,8500
5213,8500
7512,0
8007,0
8008,0
8016,0
7513,0
8009,0
7611,1200
7618,1200
7609,1200
7610,1200
7514,0
8006,0
7509,0
8004,0
8005,0
7603,1200
5223,8500
5226,8500
5108,7000
5116,7000
5123,7000
7515,0
5114,7000
5117,7000
5104,7000
5118,7000
5110,7000
5111,7000
5112,7000
5119,7000
5221,8500
5124,7000
5224,8500
5222,8500
5207,8500
5209,8500
5220,8500
5122,7000
5206,8500
5121,7000
5219,8500
5102,7000
5107,7000
5101,7000
5115,7000
7620,1200
7621,1200
7601,1200
7612,1200
7630,1200
7631,1200
7617,1200
7614,1200
7615,1200
7616,1200
7613,1200
6604,0
6002,0
6605,0
6603,0
6103,7400
6011,0
6514,2730
3003,8700
6412,0
6162,7400
6161,7400
6163,7400
6142,7400
6134,7400
6135,7400
6123,7400
