TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students
101,3087,2504.67,8450,1530,1380,530,1020,3160,890,5069.94,1407.4,139.9,1238.8,2786.1,20.4,1,2,2180,890,159
102,779,848.49,2390,500,460,110,180,950,180,1381.96,478.8,76,758.3,1313.1,17.7,1,2,750,180,50
103,0,0,0,0,0,0,0,0,0,0,1069.43,219.7,977.5,2266.6,16.3,1,2,0,0,0
104,965.42,1020.69,2960,380,360,220,370,1070,550,1720.5,503.8,57.5,828.1,1389.5,15.4,1,2,530,550,99.12
105,2791.89,2994.42,8560,1660,1240,440,1100,3210,940,4891.8,454.9,400.8,494.3,1350,14.9,1,2,2050,940,286.66
106,2028.69,2283.84,6220,770,700,320,730,2110,1570,3227.1,1069.43,219.7,977.5,2266.6,13.9,1,2,1070,1570,208.3
107,1651,1592.94,5090,780,840,560,780,1760,400,3228.55,559.6,129.3,760.5,1449.4,14.1,1,2,1220,400,105
108,1193,1086.79,2550,440,340,140,290,910,420,1448.56,644.5,536.2,690.5,1871.2,13.6,1,2,570,420,0
109,1475,1421.03,3770,770,500,250,480,1390,370,2178.57,1059,67.2,718.2,1844.4,14.6,1,2,910,370,30
110,2083,1386.73,5290,920,1050,460,710,1770,390,3279.74,260.5,733.8,396.1,1390.4,16.2,1,2,1480,390,56
111,1800.38,2007.27,5520,840,700,400,770,2060,740,3310.8,1069.43,219.7,977.5,2266.6,11.8,1,2,1100,740,184.85
112,1578.59,1548.8,4840,630,650,390,650,1840,670,2966.7,503.8,57.5,828.1,1389.5,11.9,1,2,960,670,162.08
113,0,0,0,0,0,0,0,0,0,0,503.8,57.5,828.1,1389.5,11.5,1,2,0,0,0
114,590.34,804.44,1810,190,220,110,230,610,450,1013.7,503.8,57.5,828.1,1389.5,11.5,1,2,310,450,60.61
115,2837.55,2937.07,8700,1260,1090,500,1000,3180,1660,4836,1069.43,219.7,977.5,2266.6,11.1,1,2,1680,1660,291.35
116,1709.06,1886.4,5240,870,690,290,670,1910,820,2957.4,518.15,251.7,716.6,1486.4,11.4,1,2,1100,820,175.48
117,2165.67,1692.55,6640,1010,1090,480,840,2610,590,4129.2,518.15,251.7,716.6,1486.4,11.3,1,2,1620,590,222.36
