TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt,schoolage,pensioner,Students,hh/pop
101,7907.1,5089.8,17171.4,2499.8,2722.5,1695.4,2437.3,5886.4,1930.1,10302.7,4953.9,492.4,4360.4,9806.7,20.4,1,2,2180,890,159,0.296410651
102,2706.1,2338.4,6586.7,1109.9,1160.7,656.4,764.8,1914.5,980.4,3808.6,787.6,125,1247.4,2160.1,17.7,1,2,750,180,50,0.355016736
103,847.6,1050.2,3150,422.8,464.1,294,356.8,1001.7,610.6,510.4,161.2,33.1,147.3,341.7,16.3,1,2,0,0,0,0.333408672
104,2650.6,2223.2,6447.3,865.4,949.9,601.7,730.3,2050.2,1249.8,3747.5,148.8,17,244.5,410.3,15.4,1,2,530,550,99.12,0.344827703
105,5214.5,4437,12683.9,1702.5,1868.8,1183.7,1436.8,4033.4,2458.7,7248.5,406.7,358.3,441.9,1206.9,14.9,1,2,2050,940,286.66,0.349815421
106,3439.5,3072,8366.4,1123,1232.6,780.8,947.7,2660.5,1621.8,4340.7,5657.8,1162.3,5171.5,11991.5,13.9,1,2,1070,1570,208.3,0.367176849
107,2866.7,2194.4,7011.8,1181.6,1235.6,698.8,814.1,2038,1043.7,4447.5,988.1,228.3,1342.8,2559.2,14.1,1,2,1220,400,105,0.312954813
108,3039.5,2196.7,5154.3,868.5,908.2,513.7,598.5,1498.1,767.2,2927.9,1181.9,983.3,1266.3,3431.5,13.6,1,2,570,420,0,0.426192157
109,3323.4,2540.1,6739,1108.6,1176.3,689.6,818.4,2158.7,787.4,3894.3,2113,134.1,1433,3680.1,14.6,1,2,910,370,30,0.376931034
110,5726.5,3024.5,11537.8,1964,2188.3,1430.6,1553.1,3272.8,1128.9,7153.3,473.9,1334.8,720.5,2529.2,16.2,1,2,1480,390,56,0.262141777
111,2822.6,2496.6,6865.8,921.6,1011.6,640.8,777.7,2183.3,1330.9,4118,937.5,192.6,856.9,1986.9,11.8,1,2,1100,740,184.85,0.36363587
112,3485.5,2713.1,8478.4,1138,1249.1,791.3,960.4,2696.1,1643.5,5196.9,825.9,94.3,1357.6,2277.9,11.9,1,2,960,670,162.08,0.32
113,661.5,819.7,2458.4,330,362.2,229.4,278.5,781.8,476.5,398.3,1262.1,144,2074.5,3480.9,11.5,1,2,0,0,0,0.333408672
114,925.5,1000.6,2251.3,302.2,331.7,210.1,255,715.9,436.4,1260.8,24.8,2.8,40.8,68.5,11.5,1,2,310,450,60.61,0.444441989
115,6175.3,5071,15021.1,2016.2,2213.1,1401.9,1701.5,4776.6,2911.7,8349.6,1772.8,364.2,1620.4,3757.3,11.1,1,2,1680,1660,291.35,0.337594253
116,2679.4,2346.3,6517.5,874.8,960.2,608.3,738.3,2072.5,1263.4,3678.4,702.3,341.1,971.3,2014.6,11.4,1,2,1100,820,175.48,0.36
117,3395.3,2105.2,8258.8,1108.5,1216.8,770.8,935.5,2626.3,1600.9,5135.9,1276.2,619.9,1764.9,3660.9,11.3,1,2,1620,590,222.36,0.254902108
118,1728.3,1401.4,4204,564.3,619.4,392.3,476.2,1336.9,814.9,2417.6,140.9,68.4,194.8,404.1,11.3,1,2,780,400,113.19,0.33333432
201,1225.5,966.8,2394.3,403.5,421.9,238.6,278,695.9,356.4,1276.8,268.2,213.8,848.6,1330.7,11.4,2,2,280,220,0,0.40380303
202,1039.1,886.6,2786.5,391.5,446,304.6,350.9,853.6,439.8,1700,806.5,68.8,251.3,1126.6,11.1,2,2,460,220,60.8,0.318183857
203,1964.7,2209.4,5268.6,740.3,843.2,576,663.6,1613.9,831.6,3076.2,273.6,151.9,722.7,1148.1,11,2,2,570,440,82.89,0.419355263
204,414.7,370.7,1112.1,156.3,178,121.6,140.1,340.7,175.5,664.2,594.8,643.9,587.2,1825.9,10.8,2,2,200,90,24.27,0.333337079
205,1498.4,1187.9,3328.4,560.9,586.5,331.7,386.5,967.4,495.4,1685.1,746.2,25.9,518.3,1290.4,10.8,2,2,440,190,31,0.356884354
206,438.1,455,1667.7,281,293.9,166.2,193.6,484.7,248.2,948.8,733.3,305.8,840.1,1879.2,11.7,2,2,240,270,0,0.272812277
207,2817.9,1647.1,7137.3,790.3,965.3,745.1,1152.2,2639.4,845.1,4340.6,1008.1,203.8,943.2,2155.3,11.4,2,2,1280,230.4,90.56,0.230769962
208,4648.7,2179,8518,836,1022,789.9,1322.6,3419.7,1127.8,5326.5,988,978,1937.2,3903,11.1,2,2,1548,390,192,0.255814657
209,2639,1442.6,6688.6,797.9,967.6,738.4,1001.8,2471.2,711.7,3670.7,156.4,224.7,513.7,894.8,11.2,2,2,1861.5,252.17,128.63,0.215685679
210,2062.5,1139.3,4559.7,554.4,656.1,480.6,733.8,1590.4,544.4,2449.2,367.8,109,319.6,796.4,11,2,2,1390.34,240,116.97,0.24986456
211,0,813.7,2957.5,415.6,473.3,323.3,372.5,906,466.8,347.7,167.5,75,198.5,441.1,10.9,2,2,0,0,0,0.275122758
212,0,813.7,2957.5,415.6,473.3,323.3,372.5,906,466.8,347.7,167.5,75,198.5,441.1,10.8,2,2,0,0,0,0.275122758
213,0,0,0,0,0,0,0,0,0,0,793.4,67.7,247.2,1108.3,10.7,2,2,0,0,0,0
214,1733.4,1467.9,4648.3,653.1,743.9,508.2,585.4,1423.9,733.7,2724.5,813.4,69.4,253.4,1136.2,10.7,2,2,750,370,101.43,0.315790323
215,2721.3,2176.4,7297.4,1025.4,1167.9,797.8,919.1,2235.4,1151.8,4244.4,464.3,39.6,144.7,648.6,10.6,2,2,1290,590,159.23,0.298244863
216,2138.5,1753.9,5734.8,805.8,917.8,627,722.3,1756.7,905.2,3368.4,829,70.7,258.3,1158.1,10.6,2,2,1260,520,135.51,0.305828974
217,1392.4,1436.1,3733.8,524.6,597.6,408.2,470.3,1143.8,589.4,1854.3,2509.7,214.1,782,3505.9,10.5,2,2,230,310,34.63,0.384614173
218,452.7,512.3,1862,261.6,298,203.6,234.5,570.4,293.9,218.9,361.4,30.8,112.6,504.9,12.3,2,2,0,0,0,0.275122758
219,1805.2,1613.7,4841,680.2,774.8,529.2,609.7,1482.9,764.1,2900.9,156.4,86.8,413.1,656.3,12.7,2,2,470,160,56.98,0.333334928
220,1630.9,1457.8,4373.4,614.5,700,478.1,550.8,1339.7,690.3,2566.9,195.5,108.6,516.6,820.7,12.1,2,2,520,570,95.43,0.333334286
221,1374.6,1271.1,3686.2,517.9,590,403,464.3,1129.2,581.8,1913.9,127.9,71,337.8,536.7,11.7,2,2,580,620,80.43,0.344827119
222,1961.7,2104.7,5260.6,739.2,841.9,575.1,662.5,1611.5,830.4,3006,172.5,95.8,455.7,723.9,11.3,2,2,870,600,114.79,0.400087886
223,1402.6,1012.6,3761.1,528.5,602,411.2,473.7,1152.1,593.7,2172.9,177.6,98.6,469,745.1,10.9,2,2,650,400,82.07,0.269229236
224,0,0,0,0,0,0,0,0,0,0,271.6,150.8,717.4,1139.7,11,2,2,0,0,0,0
225,3559,2534.8,9543.8,1341,1527.5,1043.4,1202,2923.5,1506.4,5747.4,1695.7,941.7,4479.5,7116.7,10.7,2,2,2630,910,265.56,0.265599589
226,0,0,0,0,0,0,0,0,0,0,447.7,484.7,442,1374.4,10.7,2,2,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,756.8,819.3,747.1,2323.1,10.4,2,2,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,529.8,573.5,523,1626.2,11.5,2,2,0,0,0,0
229,408.4,619.4,1407.1,237.1,247.9,140.2,163.4,409,209.4,796.1,148.9,62.1,170.6,381.5,11.2,2,2,170,150,0,0.440203774
230,1699.2,1019.3,4303.6,476.5,582,449.3,694.8,1591.5,509.5,2152.6,401.5,81.2,375.6,858.3,11.2,2,2,855.7,223.23,87.74,0.236843267
231,2923.2,1645.3,7403.9,819.8,1001.3,773,1195.3,2738,876.6,4030.4,517.8,104.7,484.5,1107.1,10.8,2,2,1021.1,266.37,104.7,0.222221994
232,2106.3,987.3,3859.5,378.8,463.1,357.9,599.3,1549.4,511,2582.5,363.4,359.8,712.6,1435.8,10.7,2,2,1186,260,128,0.255813767
233,1543.9,948.6,3912.9,466.8,566.1,432,586,1445.7,416.3,2147.4,154.2,221.6,506.7,882.6,10.4,2,2,1204.5,163.17,83.23,0.242423321
234,0,0,0,0,0,0,0,0,0,0,43.8,19.6,51.8,115.2,11.9,2,2,0,0,0,0
235,2432.7,1304.3,6166.2,735.6,892.1,680.7,923.5,2278.2,656.1,3383.8,411.3,591.1,1351.2,2353.6,12.1,2,2,1898,257.11,131.16,0.211525513
236,2231.2,1413.7,5654.5,674.5,818,624.3,846.9,2089.2,601.6,3103.4,50.8,73,167,290.8,11.7,2,2,1606,217.56,110.98,0.25001658
237,711.7,805.4,2927.6,349.2,423.5,323.2,438.5,1081.6,311.5,344.1,320.9,143.7,380.1,844.7,10.9,2,2,0,0,0,0.275122758
238,711.7,805.4,2927.6,349.2,423.5,323.2,438.5,1081.6,311.5,344.1,320.9,143.7,380.1,844.7,11.4,2,2,0,0,0,0.275122758
239,2734.6,1482,6040.4,734.4,869.1,636.7,972.1,2106.9,721.2,3247.1,972.9,288.2,845.4,2106.5,11.5,2,2,1842.21,318,154.98,0.245348679
240,4392.4,2426.3,9417,1144.9,1355,992.5,1515.5,3284.7,1124.4,5215.8,1179.1,349.4,1024.6,2553.1,11.1,2,2,1807.45,312,152.06,0.25764906
241,2445.2,1636.7,5939.3,722.1,854.6,626,955.9,2071.6,709.2,0,1229.4,364.3,1068.3,2662,11,2,2,0,0,0,0.275572408
242,4734.6,2119.6,9836.6,914.9,1194.7,1017.1,1681.4,3814.7,1213.8,6455.6,1194.7,354,1038.1,2586.8,11.7,2,2,2020,420,286,0.215479606
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,2,2,0,0,0,0
244,958.7,1084.9,3943.3,554.1,631.1,431.1,496.6,1208,622.4,463.5,304.6,136.4,360.9,801.9,14.4,2,2,0,0,0,0.275122758
245,0,0,0,0,0,0,0,0,0,0,858.5,358,983.6,2200,12.5,2,2,0,0,0,0
301,5069.6,2880.3,13806.3,2547.4,2773.4,1725.7,1649.1,4049.8,1060.9,6882.9,254.7,453.3,2432.5,3140.4,10.8,3,2,2840,620,151,0.208620892
302,0,0,0,0,0,0,0,0,0,0,9022.8,382.4,387.4,9792.5,10.6,3,2,0,46.2,0,0
303,1448.3,1612.3,3637.2,469.5,529.7,355.2,419.9,1150.6,712.3,2057.6,898.2,543,1517.8,2958.8,10.6,3,2,580,428,91.15,0.443275593
304,1425.5,1257.8,3580,462.1,521.4,349.6,413.3,1132.5,701.1,2217.6,194.3,66.7,184.1,445.1,10.5,3,2,750,347.8,97.12,0.351351955
