TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
101,10934.7,6243.7,21064.4,2748.1,3056.1,1990.1,3003.7,7495.2,2771.2,12638.5,6004.6,596.9,5285.3,11886.8,20.4,1,2
102,5001,3833.4,10797.8,1884.3,1936.3,1046.3,1260.1,3026.3,1644.6,6243.6,319.8,50.8,506.5,877.1,17.7,1,2
103,567,1166.9,3500,490.8,526.6,317,398.5,1076.6,690.6,2045.8,187.5,38.5,171.4,397.5,16.3,1,2
104,3503.1,2606.5,7558.9,1059.9,1137.2,684.5,860.7,2325.1,1491.5,4393.6,182.6,20.8,300.2,503.7,15.4,1,2
105,6956.2,5250.6,15009.6,2104.6,2258.1,1359.3,1709,4617,2961.6,8577.6,503.9,444,547.6,1495.5,14.9,1,2
106,4660.6,3692.5,10056.4,1410.1,1512.9,910.7,1145,3093.3,1984.2,5217.5,7121,1462.9,6508.8,15092.5,13.9,1,2
107,3643.6,2474,7905.4,1379.5,1417.6,766,922.5,2215.6,1204.1,5014.3,1149.2,265.5,1561.8,2976.6,14.1,1,2
108,3964,2541.3,5962.9,1040.6,1069.3,577.8,695.8,1671.2,908.2,3387.3,1317.7,1096.3,1411.8,3825.8,13.6,1,2
109,4575.5,3102.2,8230.2,1403.3,1462.2,819.4,1004.3,2550.8,990.2,4756,2510.3,159.3,1702.5,4372.1,14.6,1,2
110,7210.1,3378.1,12886.4,2270.8,2484.2,1562.2,1742.2,3521.4,1305.6,7989.4,560.6,1579,852.3,2991.9,16.2,1,2
111,3877,3042,8365.5,1173,1258.5,757.6,952.5,2573.2,1650.6,5017.5,1196.1,245.7,1093.2,2535,11.8,1,2
112,4823.6,3330.6,10408,1459.4,1565.8,942.6,1185.1,3201.5,2053.6,6379.6,1061.6,121.2,1745,2928.1,11.9,1,2
113,472.9,973.3,2919.4,409.3,439.2,264.4,332.4,898,576,1706.4,1285.6,146.7,2113.2,3545.8,11.5,1,2
114,1271.3,1219.1,2743,384.6,412.7,248.4,312.3,843.8,541.2,1536.3,31.7,3.6,52.1,87.4,11.5,1,2
115,8056.9,5869,17384.8,2437.7,2615.5,1574.4,1979.5,5347.6,3430.2,9663.5,2148.4,441.4,1963.7,4553.3,11.1,1,2
116,3680.3,2858.8,7941.2,1113.5,1194.7,719.2,904.2,2442.7,1566.9,4481.9,896,435.2,1239.2,2570.3,11.4,1,2
117,4663.6,2565,10062.9,1411,1513.9,911.3,1145.8,3095.3,1985.5,6257.8,1628.1,790.9,2251.7,4670.6,11.3,1,2
118,2374,1707.5,5122.4,718.3,770.6,463.9,583.2,1575.6,1010.7,2945.7,179.7,87.3,248.5,515.5,11.3,1,2
201,1605.3,1123.4,2782.2,485.5,498.9,269.6,324.7,779.7,423.8,1483.6,305.6,243.6,967,1516.4,11.4,2,2
202,1352,1023.4,3216.2,471.2,524.8,342.7,406.9,951.8,518.8,1962.2,974.7,83.2,303.7,1361.6,11.1,2,2
203,2637.7,2631.2,6274.5,919.2,1023.7,668.6,793.9,1856.8,1012.1,3663.5,341.1,189.4,901.2,1431.7,11,2,2
204,539.6,427.9,1283.6,188.1,209.4,136.8,162.4,379.9,207.1,766.7,660.6,715.2,652.2,2027.8,10.8,2,2
205,1962.7,1380.3,3867.6,674.9,693.6,374.7,451.3,1084,589.1,1958.1,899.6,31.2,624.8,1555.6,10.8,2,2
206,568.1,523.4,1918.4,334.8,344,185.9,223.9,537.7,292.2,1091.4,778.5,324.7,892,1995.1,11.7,2,2
207,3982.7,2065,8948.3,855.5,1089.7,896.1,1450.5,3425.6,1230.9,5442,1361.8,275.4,1274.2,2911.5,11.4,2,2
208,5857,2435.3,9519.9,790.5,1014,842.3,1484.4,3945.9,1442.8,5953,1197.4,1185.3,2347.9,4730.4,11.1,2,2
209,3244.3,1573.2,7294.1,759.9,957,774.2,1097.3,2789.9,915.8,4003,184.9,265.8,607.5,1058.2,11.2,2,2
210,2369.9,1161.2,4647.4,494.8,606.1,470,751,1681.5,643.9,2496.3,580.7,172.1,504.6,1257.4,11,2,2
211,3045.4,1764.3,6407.9,938.8,1045.5,682.8,810.8,1896.3,1033.7,3621.5,415.5,157,428.1,1000.7,10.9,2,2
212,2811.2,1628.6,5915,866.6,965.1,630.3,748.4,1750.5,954.2,3343,383.5,144.9,395.2,923.7,10.8,2,2
