TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,working,industry,other,service,workplace,LenOrig1,superZone,IntExt
101,7944.4,4536.3,15304,1996.6,2220.4,1445.8,2182.3,5445.6,2013.3,9182.3,4029.8,400.6,3547.1,7977.5,20.4,1,2
102,1477,1132.2,3189.2,556.5,571.9,309,372.2,893.8,485.7,1844.1,504.7,80.1,799.3,1384,17.7,1,2
103,453.6,933.5,2800,392.6,421.2,253.6,318.8,861.3,552.5,1636.6,197.7,40.6,180.7,419,16.3,1,2
104,2609.4,1941.6,5630.5,789.5,847.1,509.9,641.1,1731.9,1111,3272.7,95.8,10.9,157.5,264.3,15.4,1,2
105,5148.2,3885.9,11108.5,1557.6,1671.2,1006,1264.8,3417,2191.9,6348.2,369.8,325.9,401.9,1097.6,14.9,1,2
106,2937.3,2327.1,6337.9,888.7,953.5,574,721.6,1949.5,1250.5,3288.2,5286.4,1086,4832,11204.2,13.9,1,2
107,3295.6,2237.7,7150.3,1247.8,1282.2,692.8,834.4,2004,1089.1,4535.4,924.9,213.7,1257,2395.7,14.1,1,2
108,3182.1,2040,4786.7,835.3,858.4,463.8,558.6,1341.5,729.1,2719.1,1048.2,872.1,1123,3043.3,13.6,1,2
109,3672.9,2490.3,6606.7,1126.5,1173.7,657.8,806.2,2047.6,794.9,3817.8,1908.3,121.1,1294.2,3323.5,14.6,1,2
110,6227,2917.5,11129.4,1961.2,2145.5,1349.2,1504.6,3041.3,1127.5,6900.1,375.3,1057.1,570.6,2003,16.2,1,2
111,2741.5,2151.1,5915.5,829.5,890,535.7,673.6,1819.6,1167.2,3548,595.8,122.4,544.6,1262.7,11.8,1,2
112,3802.5,2625.6,8204.9,1150.5,1234.4,743,934.2,2523.8,1618.9,5029.2,589.5,67.3,969,1625.9,11.9,1,2
113,398.3,819.7,2458.4,344.7,369.9,222.6,279.9,756.2,485.1,1436.9,1165.4,133,1915.6,3214.3,11.5,1,2
114,898.9,862.1,1939.7,272,291.8,175.7,220.9,596.7,382.7,1086.3,15.8,1.8,26,43.5,11.5,1,2
115,5878.1,4281.8,12683.4,1778.5,1908.2,1148.6,1444.2,3901.4,2502.6,7050.2,1104.1,226.8,1009.2,2340,11.1,1,2
116,2602.5,2021.6,5615.5,787.4,844.8,508.5,639.4,1727.3,1108,3169.3,446.3,216.8,617.2,1280.3,11.4,1,2
117,3297.8,1813.8,7115.8,997.8,1070.5,644.4,810.2,2188.8,1404,4425.1,942.5,457.8,1303.4,2703.6,11.3,1,2
118,1678.7,1207.4,3622.2,507.9,544.9,328,412.4,1114.2,714.7,2083,89.5,43.5,123.8,256.8,11.3,1,2
201,1288.6,901.8,2233.4,389.7,400.5,216.4,260.6,625.9,340.2,1190.9,235.3,187.6,744.7,1167.7,11.4,2,2
202,1060.4,802.6,2522.6,369.6,411.6,268.8,319.2,746.5,406.9,1539,538.5,45.9,167.8,752.2,11.1,2,2
203,1959.4,1954.6,4660.9,682.8,760.5,496.7,589.7,1379.3,751.9,2721.4,178.5,99.1,471.5,749.2,11,2,2
204,387.2,307,921.1,134.9,150.3,98.1,116.5,272.6,148.6,550.1,515.5,558,508.9,1582.3,10.8,2,2
205,1575.6,1108,3104.7,541.8,556.7,300.8,362.3,870.1,472.9,1571.8,592.7,20.6,411.6,1024.9,10.8,2,2
206,456,420.1,1540,268.7,276.2,149.2,179.7,431.6,234.6,876.1,698.4,291.3,800.2,1789.9,11.7,2,2
207,4099.3,2125.4,9210.2,880.5,1121.6,922.3,1492.9,3525.9,1266.9,5601.3,923.3,186.7,863.9,1973.9,11.4,2,2
208,5499.9,2286.9,8939.6,742.3,952.2,790.9,1393.9,3705.4,1354.8,5590.1,882.5,873.6,1730.5,3486.4,11.1,2,2
209,3808.8,1847,8563.3,892.1,1123.5,908.9,1288.2,3275.4,1075.2,4699.5,165.9,238.4,545,949.4,11.2,2,2
210,2288.9,1121.6,4488.7,477.9,585.4,454,725.4,1624.1,621.9,2411,231.2,68.5,200.9,500.6,11,2,2
211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,2,2
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,2,2
213,0,0,0,0,0,0,0,0,0,0,793.4,67.7,247.2,1108.3,10.7,2,2
214,1769,1328.9,4208,616.5,686.6,448.4,532.4,1245.3,678.8,2466.5,543.1,46.3,169.2,758.7,10.7,2,2
215,2777.1,1970.3,6606.2,967.8,1077.9,704,835.9,1955,1065.7,3842.4,310,26.5,96.6,433.1,10.6,2,2
