year,code,NafaNum,population,employment
base,2017,5,604993.97,155185.30000000022
base,2017,7,559670.36,273208.89999999985
base,2017,4,486778.02,157192.1
base,2017,8,405566.30000000005,96606.3
base,2017,6,46430.0,10146.2
base,2017,1,112817.0,37071.000000000015
base,2017,3,105535.0,32530.2
Max,2040,5,932063.0999999993,313365.89999999973
Max,2040,7,802227.1,435302.59999999986
Max,2040,4,748043.9999999998,295655.0999999999
Max,2040,8,738797.4999999999,244817.30000000008
Max,2040,6,76510.1,27641.4
Max,2040,1,189764.3,85520.70000000003
Max,2040,3,171788.0,71712.9
Reg,2050,5,951240.1,254456.09999999992
Reg,2050,7,787163.7999999999,357880.9000000002
Reg,2050,4,749220.7,238601.9
Reg,2050,8,729698.2000000003,185743.00000000006
Reg,2050,6,77463.4,22891.4
Reg,2050,1,184845.4,70213.49999999999
Reg,2050,3,154865.6,53702.9
Max,2050,5,1103118.6,381533.69999999984
Max,2050,7,945958.8000000006,524837.4000000001
Max,2050,4,884618.4,372836.60000000003
Max,2050,8,896540.6000000001,311428.60000000003
Max,2050,6,87834.79999999999,33001.600000000006
Max,2050,1,231198.89999999997,106555.89999999997
Max,2050,3,206073.19999999998,88367.9
