TAZ_Number,citycode
2112,0
2107,0
2208,0
2209,0
2103,0
2211,240
2215,240
2221,240
2222,240
108,0
2201,0
110,0
231,0
1912,0
242,0
3003,0
2307,0
2301,0
1913,0
1911,0
1933,0
1934,0
210,0
2303,0
239,0
240,0
402,0
310,0
208,0
1903,0
1916,0
1917,0
1003,0
1004,0
1907,0
336,0
1904,0
338,0
317,0
1902,0
404,0
418,0
419,0
3002,531
3011,531
3012,531
1905,1061
2416,0
401,0
1906,0
318,0
2411,0
101,0
2213,0
2105,874
2110,874
2108,874
2109,874
2106,874
1106,0
1104,0
2102,0
2220,0
1102,0
1002,0
315,0
335,0
2005,1061
2002,1061
2003,1061
2008,1061
2004,1061
2007,1061
2011,1061
2009,1061
321,1139
324,1139
326,1139
327,1139
328,1139
331,1139
332,1139
301,0
309,0
305,0
236,0
1001,0
2404,2100
2405,2100
2406,2100
2407,2100
2204,0
2205,0
2206,0
1803,2500
1804,2500
1806,2500
1817,2500
1805,2500
801,4000
802,4000
804,4000
803,4000
807,4000
805,4000
806,4000
1311,4000
1305,4000
1302,4000
1504,4000
1506,4000
1509,4000
1510,4000
1511,4000
1513,4000
1512,4000
1514,4000
1610,4000
1611,4000
1612,4000
1613,4000
1632,4000
1608,4000
1630,4000
1607,4000
1605,4000
1604,4000
1602,4000
1404,4000
1406,4000
1414,4000
1418,4000
1411,4000
1402,4000
1416,4000
1408,4000
1410,4000
1415,4000
1405,4000
1701,4000
1702,4000
1703,4000
1705,4000
1731,4000
1714,4000
1713,4000
1706,4000
1707,4000
1708,4000
1712,4000
1717,4000
1715,4000
1716,4000
1711,4000
1710,4000
1618,4000
1614,4000
1615,4000
1616,4000
1626,4000
1619,4000
1617,4000
1625,4000
1622,4000
1623,4000
907,6800
908,6800
903,6800
909,6800
1909,7300
1929,7300
1926,7300
1928,7300
1908,7300
1923,7300
1924,7300
1930,7300
1931,7300
3001,7500
3004,7500
3008,7500
3009,7500
214,7600
215,7600
216,7600
605,8200
603,8200
606,8200
607,8200
609,8200
611,8200
610,8200
608,8200
612,8200
405,8800
406,8800
407,8800
403,8900
412,8900
413,8900
415,8900
112,9100
105,9100
115,9100
106,9100
116,9100
2501,0
2503,0
2504,0
705,9500
726,9500
707,9500
709,9500
503,9600
505,9600
506,9600
507,9600
508,9600
509,9600
510,9600
511,9600
512,9600
513,9600
1501,4000
2409,0
2202,0
1310,4000
1309,4000
1502,4000
2410,0
2422,0
809,4000
808,4000
601,8200
604,8200
501,9600
702,9500
107,0
117,9100
111,9100
102,0
2212,0
904,6800
912,6800
408,8800
713,9500
205,0
209,0
2423,0
1412,4000
1631,4000
1303,4000
2203,0
1508,4000
1601,4000
1403,4000
906,6800
921,6800
2012,1061
2403,2100
2419,0
1505,4000
1606,4000
1603,4000
1409,4000
1807,2500
2415,2100
1609,4000
901,6800
703,9500
602,8200
1507,4000
1407,4000
1401,4000
1634,4000
2304,0
704,9500
708,9500
711,9500
712,9500
1938,0
422,8800
2302,0
913,6800
504,9600
2505,0
217,7600
2306,0
2305,0
2101,0
910,6800
1417,4000
1413,4000
1633,4000
1621,4000
232,0
3013,0
714,0
902,6800
1304,4000
1307,4000
1005,0
225,7600
224,7600
223,7600
221,7600
222,7600
203,7600
220,7600
219,7600
201,0
202,7600
1721,4000
1722,4000
1723,4000
1724,4000
1725,4000
1727,4000
1704,4000
1729,4000
