TAZ_Number,MahozNum
2112,2
2107,2
2208,2
2209,2
2103,2
2211,2
2215,2
2221,2
2222,2
108,2
2201,2
110,2
231,2
1912,2
242,2
3003,2
2307,3
2301,3
1913,2
1911,2
1933,2
1934,2
210,2
2303,3
239,2
240,2
402,2
310,2
208,2
1903,2
1916,2
1917,2
1003,2
1004,2
1907,2
336,2
1904,2
338,2
317,2
1902,2
404,2
418,2
419,2
3002,2
3011,2
3012,2
1905,2
2416,3
401,2
1906,2
318,2
2411,3
101,2
2213,2
2105,2
2110,2
2108,2
2109,2
2106,2
1106,3
1104,3
2102,2
2220,2
1102,2
1002,2
315,2
335,2
2005,2
2002,2
2003,2
2008,2
2004,2
2007,2
2011,2
2009,2
321,2
324,2
326,2
327,2
328,2
331,2
332,2
301,2
309,2
305,2
236,2
1001,2
2404,3
2405,3
2406,3
2407,3
2204,3
2205,3
2206,3
1803,3
1804,3
1806,3
1817,3
1805,3
801,3
802,3
804,3
803,3
807,3
805,3
806,3
1311,3
1305,3
1302,3
1504,3
1506,3
1509,3
1510,3
1511,3
1513,3
1512,3
1514,3
1610,3
1611,3
1612,3
1613,3
1632,3
1608,3
1630,3
1607,3
1605,3
1604,3
1602,3
1404,3
1406,3
1414,3
1418,3
1411,3
1402,3
1416,3
1408,3
1410,3
1415,3
1405,3
1701,3
1702,3
1703,3
1705,3
1731,3
1714,3
1713,3
1706,3
1707,3
1708,3
1712,3
1717,3
1715,3
1716,3
1711,3
1710,3
1618,3
1614,3
1615,3
1616,3
1626,3
1619,3
1617,3
1625,3
1622,3
1623,3
907,3
908,3
903,3
909,3
1909,2
1929,2
1926,2
1928,2
1908,2
1923,2
1924,2
1930,2
1931,2
3001,2
3004,2
3008,2
3009,2
214,2
215,2
216,2
605,3
603,3
606,3
607,3
609,3
611,3
610,3
608,3
612,3
405,2
406,2
407,2
403,2
412,2
413,2
415,2
112,2
105,2
115,2
106,2
116,2
2501,3
2503,3
2504,3
705,3
726,3
707,3
709,3
503,3
505,3
506,3
507,3
508,3
509,3
510,3
511,3
512,3
513,3
1501,3
2409,3
2202,3
1310,3
1309,3
1502,3
2410,3
2422,3
809,3
808,3
601,3
604,3
501,3
702,3
107,2
117,2
111,2
102,2
2212,2
904,3
912,3
408,2
713,3
205,2
209,2
2423,3
1412,3
1631,3
1303,3
2203,3
1508,3
1601,3
1403,3
906,3
921,3
2012,2
2403,3
2419,3
1505,3
1606,3
1603,3
1409,3
1807,3
2415,3
1609,3
901,3
703,3
602,3
1507,3
1407,3
1401,3
1634,3
2304,3
704,3
708,3
711,3
712,2
1938,2
422,2
2302,3
913,3
504,3
2505,3
217,2
2306,3
2305,3
2101,2
910,3
1417,3
1413,3
1633,3
1621,3
232,2
3013,2
714,3
902,3
1304,3
1307,3
1005,2
225,2
224,2
223,2
221,2
222,2
203,2
220,2
219,2
201,2
202,2
1721,3
1722,3
1723,3
1724,3
1725,3
1727,3
1704,3
1729,3
1730,3
1732,3
1733,3
1734,3
1736,3
1737,3
1738,3
1739,3
1741,3
1744,3
1745,3
1746,3
1747,3
1748,3
1749,3
204,2
229,2
1620,3
1639,3
1635,3
1636,3
1750,3
1816,3
1735,3
2421,3
323,2
303,2
322,2
304,2
325,2
329,2
104,2
114,2
706,3
118,2
230,2
235,2
233,2
334,2
313,2
314,2
316,2
337,2
411,2
421,2
420,2
409,2
414,2
1006,2
1107,3
1914,2
1901,2
1918,2
1919,2
1935,2
1936,2
2214,2
2216,2
3010,2
3005,2
3007,2
3006,2
3201,2
3210,2
3605,2
3710,2
3532,2
3526,2
3528,2
3604,2
3305,2
3622,2
3212,2
3603,2
3407,2
3506,2
3507,2
3508,2
3509,2
3307,2
3405,2
3606,2
3512,2
3322,2
3815,3
3816,3
