TAZ_Number,NafaNum
2112,4
2107,4
2208,4
2209,4
2103,4
2211,4
2215,4
2221,4
2222,4
108,5
2201,4
110,5
231,5
1912,4
242,5
3003,5
2307,7
2301,7
1913,4
1911,4
1933,4
1934,4
210,5
2303,7
239,5
240,5
402,5
310,5
208,5
1903,4
1916,4
1917,4
1003,5
1004,5
1907,4
336,5
1904,4
338,5
317,5
1902,4
404,5
418,5
419,5
3002,5
3011,5
3012,5
1905,4
2416,8
401,5
1906,4
318,5
2411,8
101,5
2213,4
2105,4
2110,4
2108,4
2109,4
2106,4
1106,7
1104,7
2102,4
2220,4
1102,4
1002,5
315,5
335,5
2005,4
2002,4
2003,4
2008,4
2004,4
2007,4
2011,4
2009,4
321,5
324,5
326,5
327,5
328,5
331,5
332,5
301,5
309,5
305,5
236,5
1001,5
2404,7
2405,7
2406,7
2407,7
2204,7
2205,7
2206,7
1803,7
1804,7
1806,7
1817,7
1805,7
801,7
802,7
804,7
803,7
807,7
805,7
806,7
1311,7
1305,7
1302,7
1504,7
1506,7
1509,7
1510,7
1511,7
1513,7
1512,7
1514,7
1610,7
1611,7
1612,7
1613,7
1632,7
1608,7
1630,7
1607,7
1605,7
1604,7
1602,7
1404,7
1406,7
1414,7
1418,7
1411,7
1402,7
1416,7
1408,7
1410,7
1415,7
1405,7
1701,7
1702,7
1703,7
1705,7
1731,7
1714,7
1713,7
1706,7
1707,7
1708,7
1712,7
1717,7
1715,7
1716,7
1711,7
1710,7
1618,7
1614,7
1615,7
1616,7
1626,7
1619,7
1617,7
1625,7
1622,7
1623,7
907,7
908,7
903,7
909,7
1909,4
1929,4
1926,4
1928,4
1908,4
1923,4
1924,4
1930,4
1931,4
3001,5
3004,5
3008,5
3009,5
214,5
215,5
216,5
605,7
603,7
606,7
607,7
609,7
611,7
610,7
608,7
612,7
405,5
406,5
407,5
403,5
412,5
413,5
415,5
112,5
105,5
115,5
106,5
116,5
2501,8
2503,8
2504,8
705,7
726,7
707,7
709,7
503,7
505,7
506,7
507,7
508,7
509,7
510,7
511,7
512,7
513,7
1501,7
2409,8
2202,4
1310,7
1309,7
1502,7
2410,8
2422,8
809,7
808,7
601,7
604,7
501,7
702,7
107,5
117,5
111,5
102,5
2212,4
904,7
912,7
408,5
713,7
205,5
209,5
2423,8
1412,7
1631,7
1303,7
2203,7
1508,7
1601,7
1403,7
906,7
921,7
2012,4
2403,7
2419,8
1505,7
1606,7
1603,7
1409,7
1807,7
2415,7
1609,7
901,7
703,7
602,7
1507,7
1407,7
1401,7
1634,7
2304,7
704,7
708,7
711,7
712,7
1938,4
422,5
2302,7
913,7
504,7
2505,8
217,5
2306,7
2305,7
2101,4
910,7
1417,7
1413,7
1633,7
1621,7
232,5
3013,5
714,7
902,7
1304,7
1307,7
1005,4
225,5
224,5
223,5
221,5
222,5
203,5
220,5
219,5
201,5
202,5
1721,7
1722,7
1723,7
1724,7
1725,7
1727,7
1704,7
1729,7
1730,7
1732,7
1733,7
1734,7
1736,7
1737,7
1738,7
1739,7
1741,7
1744,7
1745,7
1746,7
1747,7
1748,7
1749,7
204,5
229,5
1620,7
1639,7
1635,7
1636,7
1750,7
1816,7
1735,7
2421,7
323,5
303,5
322,5
304,5
325,5
329,5
104,5
114,5
706,7
118,5
230,5
235,5
233,5
334,5
313,5
314,5
316,5
337,5
411,5
421,5
420,5
409,5
414,5
1006,5
1107,7
1914,4
1901,4
1918,4
1919,4
1935,4
1936,4
2214,4
2216,4
3010,5
3005,5
3007,5
3006,5
3201,1
3210,1
3605,4
3710,4
3532,4
3526,3
3528,3
3604,4
3305,1
3622,4
3212,1
3603,4
3407,5
3506,3
3507,3
3508,3
3509,3
3307,1
3405,5
3606,4
3512,3
3322,1
3815,8
3816,8
3817,8
3806,8
3807,8
3808,8
3809,8
3811,8
3205,1
3208,1
3818,8
3819,8
3820,8
4017,8
4019,8
3916,8
3917,8
3403,5
3601,4
3502,3
3910,8
3911,8
3414,5
3415,5
3416,5
3426,5
3404,5
3801,8
3213,1
3106,6
3108,6
3101,6
4010,8
4012,8
4014,8
4015,8
4016,8
3514,3
3519,3
3520,3
3521,3
3310,1
3311,1
3312,1
3313,1
3314,1
3315,1
3316,1
3317,1
3319,1
3704,4
3706,4
3707,4
3708,4
3402,5
3417,5
3510,3
3215,1
3511,3
3516,3
3904,8
3908,8
3906,8
3907,8
3912,8
3919,8
4013,8
4005,8
4004,8
3615,4
3614,4
3616,4
3617,4
3618,4
3619,4
3627,4
3626,4
3423,5
3424,5
3609,4
3612,4
3903,8
3831,8
3826,8
3824,8
3812,8
3810,8
3802,8
4007,8
4020,8
3821,8
3206,1
3207,1
3918,8
3107,6
3103,6
3104,6
4011,8
3804,8
3427,1
3419,5
3412,5
3608,4
4008,8
3429,5
3406,5
3408,5
3409,5
3515,3
3517,3
3518,3
2502,8
1101,7
2210,4
2218,4
2219,4
2408,8
1920,4
1103,7
2111,4
2104,4
2207,7
306,5
2006,4
2001,4
2010,4
302,5
330,5
333,5
311,5
1937,4
307,5
109,5
312,5
410,5
2217,7
2412,7
1201,7
1306,7
1523,7
1515,7
1718,7
1720,7
1637,7
1627,7
1624,7
1927,4
1925,4
1910,4
1932,4
218,5
416,5
103,5
613,7
514,7
227,5
925,7
2401,7
2413,7
1521,7
2402,7
1517,7
1522,7
1503,7
1520,7
2425,8
2427,8
2417,8
2418,8
2424,8
2507,8
1206,7
1204,7
1210,7
1217,7
1222,7
1220,7
1802,7
1203,7
701,7
243,5
725,7
905,7
915,7
423,5
719,7
237,5
238,5
727,5
917,7
1313,7
1808,7
1809,7
1801,7
1219,7
1218,7
1221,7
1211,7
1216,7
1214,7
1224,7
1213,7
1212,7
1205,7
1207,7
1202,7
1208,7
1209,7
1629,7
1628,7
1518,7
1709,7
1312,7
308,5
1308,7
1225,7
241,5
417,5
1921,4
1915,4
2414,8
1105,7
914,7
911,7
922,7
923,7
234,5
716,7
715,7
1810,7
502,7
1719,7
113,5
2013,4
710,7
724,7
924,7
916,7
1226,7
1227,7
1215,7
717,7
918,7
718,5
1519,7
1516,7
213,5
1726,7
1728,7
1740,7
1742,7
1743,7
226,5
228,5
721,7
206,5
245,5
722,7
723,7
919,7
720,7
920,7
1223,7
1811,7
1812,7
1813,7
1814,7
1524,7
1638,7
1641,7
1640,7
1751,7
1815,7
2506,8
2420,7
2426,7
244,5
212,5
211,5
320,5
319,5
207,5
1922,4
3211,1
3527,3
3524,3
3621,4
3623,4
3531,3
3915,8
3701,4
3530,3
3202,1
3209,1
3301,1
3203,1
3901,8
3308,1
3302,1
3709,4
3602,4
3529,3
3909,8
3309,1
3401,5
3204,1
3411,5
3303,5
3216,1
3422,5
3711,4
3505,1
3413,5
3628,4
3501,3
3712,4
3321,1
3304,5
3504,1
3503,3
3421,5
3425,5
4003,8
4022,8
3805,8
3109,6
3111,6
3105,6
3102,6
3522,3
3318,1
3320,1
3914,8
4002,8
3513,3
3905,8
3913,8
4006,8
4009,8
3613,4
3624,4
3625,4
3611,4
3920,8
3902,8
4001,8
4018,8
3607,4
3523,3
3814,8
4021,8
3823,8
3703,4
3214,1
3702,4
3921,8
3922,8
3306,1
3713,4
3420,5
3110,6
3620,4
3418,5
3525,3
3610,4
3705,4
3813,8
3822,8
3428,5
3430,5
3803,8
3410,5
3825,8
3830,8
3828,8
3829,8
3827,8
