code,year,full_code,population,employment
2007,2007,210,267895.0,162615.0
2007,2007,223,91181.0,26337.0
2007,2007,221,113615.0,25000.0
2007,2007,222,81563.0,23428.0
2007,2007,243,7058.0,2541.0
2007,2007,0,1724219.0,545055.0
2007,2007,242,28380.0,5485.0
2007,2007,241,248896.0,63076.0
2007,2007,410,745024.0,237944.0
2007,2007,444,129986.0,28645.0
2007,2007,445,119744.0,27470.0
2007,2007,145,109296.0,25561.0
2007,2007,110,389513.0,360520.0
2007,2007,121,123366.0,59510.0
2007,2007,122,391449.0,150528.0
2007,2007,132,248370.0,140711.0
2007,2007,123,308392.0,84217.0
2007,2007,131,201851.0,79521.0
2007,2007,133,492232.0,193809.0
2007,2007,143,401696.0,121092.0
2007,2007,141,390580.0,131774.0
2007,2007,142,209597.0,59050.0
2007,2007,344,29711.0,5279.0
2007,2007,310,186508.0,72904.0
2007,2007,342,65020.0,7871.0
2007,2007,341,57283.0,8655.0
2030,2030,210,292447.0,208889.0
2030,2030,223,130369.0,59617.0
2030,2030,221,124300.0,34183.0
2030,2030,222,127925.0,38079.0
2030,2030,243,9833.0,3013.0
2030,2030,0,2698042.0,883239.0
2030,2030,242,42396.0,8063.0
2030,2030,241,355404.0,101717.0
2030,2030,410,1042328.0,387356.0
2030,2030,444,280324.0,65217.0
2030,2030,445,265129.0,88542.0
2030,2030,145,230193.0,77442.0
2030,2030,110,430269.0,379354.0
2030,2030,121,154694.0,89045.0
2030,2030,122,452962.0,202186.0
2030,2030,132,358444.0,203966.0
2030,2030,123,338718.0,107604.0
2030,2030,131,295620.0,122936.0
2030,2030,133,700936.0,304041.0
2030,2030,143,594026.0,197550.0
2030,2030,141,607481.0,232152.0
2030,2030,142,424949.0,127669.0
2030,2030,344,38901.0,8033.0
2030,2030,310,255000.0,114173.0
2030,2030,342,125113.0,22654.0
2030,2030,341,131378.0,22657.0
2040,2040,210,309082.0,235251.0
2040,2040,223,151376.0,76507.0
2040,2040,221,131250.0,36768.0
2040,2040,222,158377.0,44868.0
2040,2040,243,11665.0,3394.0
2040,2040,0,3138611.0,1068788.0
2040,2040,242,49255.0,9623.0
2040,2040,241,400775.0,124023.0
2040,2040,410,1134344.0,459066.0
2040,2040,444,348506.0,84471.0
2040,2040,445,307740.0,122625.0
2040,2040,145,267664.0,107105.0
2040,2040,110,450001.0,395199.0
2040,2040,121,182592.0,100646.0
2040,2040,122,477471.0,219151.0
2040,2040,132,397805.0,240761.0
2040,2040,123,349001.0,110861.0
2040,2040,131,331075.0,151156.0
2040,2040,133,784218.0,368124.0
2040,2040,143,677441.0,238505.0
2040,2040,141,724704.0,298289.0
2040,2040,142,532302.0,179350.0
2040,2040,344,45592.0,8761.0
2040,2040,310,298867.0,162142.0
2040,2040,342,162785.0,32514.0
2040,2040,341,170305.0,32184.0
