year,code,NafaNum,population,employment
2007,2007,7,527875.0,228930.0
2007,2007,8,358090.0,97348.0
2007,2007,4,425601.0,132344.0
2007,2007,5,545403.0,133964.0
2007,2007,3,94072.0,36236.0
2007,2007,1,98736.0,39643.0
2007,2007,6,39665.0,11104.0
2007,2007,2,883107.0,268739.0
2007,2007,16,259905.0,61486.0
2007,2007,15,1212720.0,654775.0
2007,2007,14,582761.0,238225.0
2007,2007,10,269201.0,113114.0
2007,2007,11,473833.0,168573.0
2007,2007,9,374087.0,127017.0
2007,2007,12,456476.0,160174.0
2007,2007,13,560893.0,176926.0
2030,2030,7,630072.0,320651.0
2030,2030,8,525881.0,144430.0
2030,2030,4,637089.0,204855.0
2030,2030,5,830525.0,243938.0
2030,2030,3,132685.0,54417.0
2030,2030,1,138578.0,63928.0
2030,2030,6,61858.0,17867.0
2030,2030,2,1334972.0,457314.0
2030,2030,16,563661.0,193231.0
2030,2030,15,1376643.0,778189.0
2030,2030,14,901987.0,372330.0
2030,2030,10,467897.0,212558.0
2030,2030,11,727913.0,273637.0
2030,2030,9,575056.0,222837.0
2030,2030,12,606410.0,211960.0
2030,2030,13,995954.0,317235.0
2040,2040,7,692369.0,365721.0
2040,2040,8,597243.0,165825.0
2040,2040,4,720787.0,245000.0
2040,2040,5,958745.0,308328.0
2040,2040,3,162685.0,68051.0
2040,2040,1,168037.0,81315.0
2040,2040,6,73571.0,22145.0
2040,2040,2,1498370.0,549129.0
2040,2040,16,654724.0,267466.0
2040,2040,15,1459065.0,825857.0
2040,2040,14,1031239.0,460226.0
2040,2040,10,576819.0,281610.0
2040,2040,11,826454.0,329831.0
2040,2040,9,682838.0,283619.0
2040,2040,12,677712.0,244641.0
2040,2040,13,1212146.0,411368.0
