scenario,year,taz,pop,emp,RM
base,2007,1001,21594,14288,250
base,2007,1002,11606,24600,200
base,2007,1003,38166,27999,189
base,2007,1004,37787,5000,261
base,2007,1005,19759,14241,344
base,2007,1006,44964,14184,392
base,2007,1007,39876,13200,407
base,2007,1008,1355,16370,
base,2007,1009,17847,2550,342
base,2007,1010,3544,5250,153
base,2007,1011,17873,2060,206
base,2007,1012,907,4030,219
base,2007,1013,32876,6000,317
base,2007,1014,33898,3950,243
base,2007,1015,3360,900,182
base,2007,1016,39932,7750,302
base,2007,1017,36425,12400,315
base,2007,1018,18198,2104,209
base,2007,1019,31543,3520,275
base,2007,1020,,6777,
base,2007,1021,1805,984,230
base,2007,1022,24631,3997,232
base,2007,1023,4977,1265,309
base,2007,1024,6216,2139,276
base,2007,1025,10310,1086,201
base,2007,1026,17950,3800,308
base,2007,1027,842,402,286
base,2007,1028,19296,6000,245
base,2007,1029,1103,452,364
base,2007,1030,15541,3977,218
base,2007,1031,1389,1004,181
base,2007,1032,3008,800,367
base,2007,1033,772,1346,222
base,2007,1034,14120,4700,345
base,2007,1035,6372,763,204
base,2007,1036,6517,1456,267
base,2007,1037,1133,276,194
base,2007,1038,6329,1856,321
base,2007,1039,7520,770,263
base,2007,1040,4963,1696,324
base,2007,1041,,653,
base,2007,1042,3810,1337,352
base,2007,1043,3910,3585,213
base,2007,1044,1491,1500,247
base,2007,1045,23257,9400,222
base,2007,1046,17111,1752,253
base,2007,1047,27949,10900,193
base,2007,1048,21801,5600,198
base,2007,1049,15508,3800,194
base,2007,1050,6673,707,247
base,2007,1051,11669,1107,232
base,2007,1052,9899,2150,309
base,2007,1053,8930,2150,243
base,2007,1054,21684,5300,244
base,2007,1055,,1100,
base,2007,1056,3218,4150,306
base,2007,1057,16593,1657,291
base,2007,1058,10912,1050,263
base,2007,1059,18242,1815,212
base,2007,1060,7002,688,222
base,2007,1061,5514,549,251
base,2007,1062,33588,3750,227
base,2007,1063,11731,1775,224
base,2007,1064,9625,950,196
base,2007,1065,5915,600,251
base,2007,1066,26569,2725,212
base,2007,1067,421,301,287
base,2007,1068,1003,502,297
base,2007,1069,1283,2290,214
base,2007,1070,28594,9670,213
base,2007,1071,758,2607,207
base,2007,1072,1805,1356,213
base,2007,1073,4712,1336,215
base,2007,1074,17124,5022,314
base,2007,1075,16277,7906,299
base,2007,1076,1303,1004,209
base,2007,1077,7119,1948,222
base,2007,1078,9926,3450,185
base,2007,1079,2156,984,184
base,2007,1080,4712,1135,212
base,2007,1081,11614,1623,218
base,2007,1082,8450,1817,220
base,2007,1083,17858,2046,330
base,2007,1084,19050,3900,283
base,2007,1085,5210,550,280
base,2007,1086,,4200,
base,2007,1087,5642,1100,333
base,2007,1088,3208,800,254
base,2007,1089,21283,6500,251
base,2007,1090,1003,400,217
base,2007,1091,5241,1050,272
base,2007,1092,6773,900,301
base,2007,1093,5464,875,253
base,2007,1094,10297,1050,258
base,2007,1095,802,125,319
base,2007,1096,7545,1150,221
base,2007,1097,4010,450,210
base,2007,1098,10438,1400,193
base,2007,1099,602,150,380
base,2007,1100,7527,900,296
base,2007,1101,9286,1150,295
base,2007,1102,371,300,246
base,2007,1103,,775,
base,2007,1104,1805,550,356
base,2007,1105,12769,1900,213
base,2007,1106,4486,1150,251
base,2007,1107,39997,10900,257
base,2007,1108,,7450,
base,2007,1109,5214,1000,375
base,2007,1110,1855,650,352
base,2007,1111,7302,725,193
base,2007,1112,16844,1750,210
base,2007,1113,8422,849,247
base,2007,1114,5514,2450,265
base,2007,1115,25316,3900,194
base,2007,1116,20247,2800,189
base,2007,1117,8678,1078,196
base,2007,1118,4567,775,200
base,2007,1119,19350,2676,239
base,2007,1120,1354,954,273
base,2007,1121,28259,8600,209
base,2007,1122,5214,1095,205
base,2007,1123,2807,753,157
base,2007,1124,1719,929,167
base,2007,1125,1704,1456,199
base,2007,1126,802,502,214
base,2007,1127,1995,1557,294
base,2007,1128,22184,9300,219
base,2007,1129,4010,2691,226
base,2007,1130,4762,2691,216
base,2007,1131,8541,2681,174
base,2007,1132,2562,750,270
base,2007,1133,,800,
base,2007,1134,5815,1145,147
base,2007,1135,1634,502,297
base,2007,1136,11229,2000,184
base,2007,1137,10811,1650,186
base,2007,1138,1153,800,226
base,2007,1139,10126,3800,277
base,2007,1140,531,558,426
base,2007,1141,3038,1285,217
base,2007,1142,752,301,334
base,2007,1143,11413,1461,240
base,2007,1144,5815,1908,221
base,2007,1145,17949,4350,199
base,2007,1146,22299,12900,221
base,2007,1147,3609,934,201
base,2007,1148,4762,4298,205
base,2007,1149,2005,1350,242
base,2007,1150,16543,6879,174
base,2007,1151,4311,3250,173
base,2007,1152,6818,2390,243
base,2007,1153,13574,1537,197
base,2007,1154,3810,1550,211
base,2007,1155,3166,301,244
base,2007,1156,2657,850,269
base,2007,1157,3710,813,191
base,2007,1158,17026,11700,205
base,2007,1159,1905,1155,235
base,2007,1160,22461,9500,281
base,2007,1161,12031,2812,229
base,2007,1162,3559,2631,189
base,2007,1163,3509,2742,206
base,2007,1164,7018,1034,288
base,2007,1165,4913,713,301
base,2007,1166,42711,5472,245
base,2007,1167,25567,2994,317
base,2007,1168,24063,3308,294
base,2007,1169,14549,2060,199
base,2007,1170,3609,2340,247
base,2007,1171,31961,4359,209
base,2007,1172,2105,1105,238
base,2007,1173,1504,703,203
base,2007,1174,1704,552,219
base,2007,1175,5415,2370,248
base,2007,1176,30078,10113,273
base,2007,1177,7713,2732,277
base,2007,1178,2005,892,301
base,2007,1179,15841,5200,243
base,2007,1180,5013,1567,382
base,2007,1181,,3589,
base,2007,1182,10096,10838,293
base,2007,1183,15112,5381,334
base,2007,1184,39770,11815,324
base,2007,1185,11872,5502,269
base,2007,1186,19912,16682,256
base,2007,1187,,2060,
base,2007,1188,301,201,334
base,2007,1189,752,328,391
base,2007,1190,16893,4280,236
base,2007,1191,802,502,215
base,2007,1192,7722,1887,242
base,2007,1193,9788,5092,213
base,2007,1194,1404,850,152
base,2007,1195,1203,350,214
base,2007,1196,526,175,302
base,2007,1197,1805,575,369
base,2007,1198,1003,201,224
base,2007,1199,3233,2812,198
base,2007,1200,902,502,211
base,2007,1201,5815,2296,192
base,2007,1202,2005,1523,212
base,2007,1203,3008,1959,290
base,2007,1204,2306,1808,196
base,2007,1205,852,301,343
base,2007,1206,5163,4950,205
base,2007,1207,476,402,227
base,2007,1208,3810,1306,222
base,2007,1209,1554,1577,205
base,2007,1210,,7241,
base,2007,1211,,750,
base,2007,1212,11516,1255,209
base,2007,1213,,937,
base,2007,2001,12251,2968,248
base,2007,2002,63547,13237,266
base,2007,2003,61560,11606,261
base,2007,2004,12333,2128,187
base,2007,2005,32728,7763,141
base,2007,2006,1251,5366,40
base,2007,2007,17731,9236,196
base,2007,2008,41794,8851,253
base,2007,2009,46203,9553,268
base,2007,2010,,6550,
base,2007,2011,99949,15731,209
base,2007,2012,4182,5669,128
base,2007,2013,1630,12242,37
base,2007,2014,100066,57476,178
base,2007,2015,10440,7216,158
base,2007,2016,692,152,328
base,2007,2017,42382,8316,252
base,2007,2018,2409,936,289
base,2007,2019,,3565,
base,2007,2020,33671,6689,263
base,2007,2021,70113,17954,246
base,2007,2022,75088,19683,302
base,2007,2023,2264,2498,281
base,2007,2024,,3471,
base,2007,2025,32396,5194,230
base,2007,2026,2306,950,206
base,2007,2027,5865,1853,253
base,2007,2028,1654,590,228
base,2007,2029,7871,2316,265
base,2007,2030,,2485,
base,2007,2031,,1750,
base,2007,2032,38088,5480,267
base,2007,2033,32980,4180,224
base,2007,2034,3158,582,263
base,2007,2035,1253,476,232
base,2007,2036,4010,1184,233
base,2007,2037,1404,701,187
base,2007,2038,1103,177,173
base,2007,2039,677,160,218
base,2007,2040,1755,530,232
base,2007,2041,29878,3260,137
base,2007,2042,41580,4884,188
base,2007,2043,15178,2857,373
base,2007,2044,7895,1138,326
base,2007,2045,16242,4496,200
base,2007,2046,3409,1465,199
base,2007,2047,7102,1748,166
base,2007,2048,7119,2005,196
base,2007,2049,30700,7579,229
base,2007,2050,5146,1792,174
base,2007,2051,1955,470,253
base,2007,2052,10003,1703,285
base,2007,2053,8522,1980,255
base,2007,3001,14183,3900,388
base,2007,3002,35143,23592,372
base,2007,3003,48506,11800,375
base,2007,3004,58471,41752,309
base,2007,3005,43817,34659,325
base,2007,3006,,220,
base,2007,3007,1303,18086,326
base,2007,3008,35302,81878,228
base,2007,3009,7314,19691,194
base,2007,3010,40614,8900,214
base,2007,3011,23665,29342,163
base,2007,3012,71615,19200,228
base,2007,3013,2306,3750,196
base,2007,3014,74103,20781,417
base,2007,3015,12144,4329,383
base,2007,3016,,24750,
base,2007,3017,36286,8500,349
base,2007,3018,52292,27689,328
base,2007,3019,63463,7716,333
base,2007,3020,2775,530,423
base,2007,3021,11638,2162,347
base,2007,3022,,3481,
base,2007,3023,618,29851,296
base,2007,3024,31362,6392,185
base,2007,3025,,7723,
base,2007,3026,25432,2950,316
base,2007,3027,60914,8950,255
base,2007,3028,63010,9700,181
base,2007,3029,,13500,
base,2007,3030,36121,7633,354
base,2007,3031,10271,1878,347
base,2007,3032,3444,5011,358
base,2007,3033,26575,4687,337
base,2007,3034,13435,2200,312
base,2007,3035,3327,863,376
base,2007,3037,25649,5482,294
base,2007,3038,,5602,
base,2007,3039,10255,6645,287
base,2007,3040,18554,2691,242
base,2007,3041,37355,4395,284
base,2007,3042,27691,2882,281
base,2007,3043,22823,2946,234
base,2007,3044,22997,2532,271
base,2007,3045,792,7465,241
base,2007,3046,48971,5874,296
base,2007,3047,45510,6979,265
base,2007,3048,48533,6346,270
base,2007,3049,24911,2573,337
base,2007,3050,,32889,
base,2007,3051,27520,4017,418
base,2007,3052,17229,2441,421
base,2007,3053,1544,8837,315
base,2007,3054,23859,6500,383
base,2007,3055,26587,6497,388
base,2007,3056,23046,6501,388
base,2007,3057,,12508,
base,2007,3058,19384,5677,294
base,2007,3059,,32500,
base,2007,3060,,9800,
base,2007,3061,10767,4500,301
base,2007,3062,9143,2850,295
base,2007,3063,24669,6500,328
base,2007,3064,,11200,
base,2007,3065,34831,5700,279
base,2007,3066,36195,7900,277
base,2007,3067,32507,6750,262
base,2007,3068,,9222,
base,2007,3069,,17215,
base,2007,3070,9262,1408,252
base,2007,3071,,6380,
base,2007,3072,6216,2477,231
base,2007,3073,,13000,
base,2007,3074,17125,4400,216
base,2007,3075,15667,1700,176
base,2007,3076,10165,1250,259
base,2007,3077,24173,2600,233
base,2007,3078,14924,5275,303
base,2007,3079,15163,3537,292
base,2007,3080,,7831,
