TAZ_585,full_code
1001,210
1002,210
1003,210
1004,210
1005,210
1006,210
1007,210
1008,210
1009,223
1010,223
1011,223
1012,223
1013,210
1014,221
1015,221
1016,221
1017,221
1018,222
1019,222
1020,222
1021,223
1022,223
1023,223
1024,243
1025,0
1026,0
1027,243
1028,223
1029,0
1030,222
1031,222
1032,242
1033,222
1034,222
1035,242
1036,242
1037,0
1038,0
1039,242
1040,242
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,241
1063,241
1064,241
1065,241
1066,241
1067,241
1068,241
1069,241
1070,241
1071,241
1072,241
1073,241
1074,241
1075,241
1076,241
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,241
1084,0
1085,0
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,241
1104,241
1105,0
1106,0
1107,0
1108,0
1109,0
1110,241
1111,241
1112,241
1113,0
1114,241
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1177,0
1178,0
1179,0
1180,0
1182,0
1183,0
1184,0
1185,0
1186,210
1187,210
1188,223
1189,0
1190,241
1191,241
1192,241
1193,241
1194,0
1195,0
1196,0
1197,241
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,210
1211,210
1212,0
1213,0
2001,410
2002,410
2003,410
2004,410
2005,410
2006,410
2007,410
2008,410
2009,410
2010,410
2011,410
2012,410
2013,410
2014,410
2015,410
2016,410
2017,410
2018,444
2019,410
2020,410
2021,410
2022,410
2023,410
2024,445
2025,445
2026,444
2027,444
2028,444
2029,444
2030,444
2031,444
2032,444
2033,444
2034,0
2035,444
2036,444
2037,0
2038,0
2039,0
2040,0
2041,445
2042,145
2043,444
2044,444
2045,445
2046,445
2047,0
2048,445
2049,445
2050,410
2051,444
2052,410
2053,444
3001,110
3002,110
3003,110
3004,110
3005,110
3006,110
3007,110
3008,110
3009,110
3010,110
3011,110
3012,110
3013,110
3014,121
3015,121
3016,121
3017,121
3018,122
3019,122
3020,122
3021,122
3022,122
3023,122
3024,122
3025,122
3026,122
3027,122
3028,122
