TAZ_585,citycode
1001,4000
1002,4000
1003,4000
1004,4000
1005,4000
1006,4000
1007,4000
1008,4000
1009,2500
1010,2500
1011,2100
1012,2100
1013,4000
1014,9600
1015,9600
1016,9600
1017,9500
1018,6800
1019,6800
1020,6800
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,240
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,1061
1042,0
1043,0
1044,874
1045,874
1046,0
1047,7300
1048,7300
1049,7300
1050,0
1051,0
1052,1061
1053,1061
1054,1061
1055,1061
1056,1061
1057,0
1058,1061
1059,0
1060,0
1061,0
1062,8800
1063,0
1064,0
1065,0
1066,8900
1067,0
1068,0
1069,0
1070,7600
1071,7600
1072,0
1073,0
1074,9100
1075,9100
1076,0
1077,0
1078,0
1079,0
1080,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1088,0
1089,1063
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,1139
1107,1139
1108,1139
1109,0
1110,7500
1111,8800
1112,0
1113,0
1114,7500
1115,7500
1116,531
1117,531
1118,0
1119,481
1120,0
1121,8000
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,2800
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,6700
1146,6700
1147,0
1148,0
1149,0
1150,9200
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,7700
1159,0
1160,7700
1161,0
1162,0
1163,0
1164,2710
1165,2710
1166,2710
1167,0
1168,0
1169,0
1170,0
1171,6000
1172,0
1173,0
1174,0
1175,0
1177,0
1178,0
1179,1020
1180,0
1182,6500
1183,6500
1184,6500
1185,6500
1186,4000
1187,4000
1188,0
1189,0
1190,7600
1191,0
1192,9100
1193,9100
1194,0
1195,0
1196,531
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,0
1210,4000
1211,4000
1212,0
1213,0
2001,3000
2002,3000
2003,3000
2004,3000
2005,3000
2006,3000
2007,3000
2008,3000
2009,3000
2010,3000
2011,3000
2012,3000
2013,3000
2014,3000
2015,3000
2016,3000
2017,3000
2018,0
2019,3000
2020,3000
2021,3000
2022,3000
2023,3000
2024,3616
2025,3616
2026,0
2027,0
2028,0
2029,0
2030,2610
2031,2610
2032,2610
2033,2610
2034,0
2035,0
2036,0
2037,0
2038,0
2039,0
2040,0
2041,3780
2042,3797
2043,0
2044,3000
2045,0
2046,0
2047,0
2048,0
2049,0
2050,3000
2051,0
2052,3000
2053,0
3001,5000
3002,5000
3003,5000
3004,5000
3005,5000
3006,5000
3007,5000
3008,5000
3009,5000
3010,5000
3011,5000
3012,5000
3013,5000
3014,6400
3015,6400
3016,6400
3017,2650
3018,8600
3019,8600
3020,8600
3021,8600
3022,8600
3023,8600
3024,2400
3025,2400
3026,6100
3027,6100
3028,6100
3029,6100
3030,6300
3031,6300
3032,6300
3033,2620
3034,900
3035,0
3037,9400
3038,9400
3039,6600
3040,6200
3041,6200
3042,6200
3043,6200
3044,6200
3045,6200
3046,6600
3047,6600
3048,6600
3049,6600
3050,6600
3051,9700
3052,9700
3053,9700
3054,8700
3055,8700
3056,8700
3057,8700
3058,681
3059,7900
3060,7900
3061,7900
3062,7900
3063,7900
3064,7900
3065,7900
3066,7900
3067,7900
3068,0
3069,0
3070,2530
3071,2530
3072,8300
3073,7000
3074,7000
3075,7000
3076,7000
3077,7000
3078,7200
3079,7200
3080,7200
3081,7200
3082,0
3083,0
3084,0
3085,0
3086,8300
3087,8300
3088,8300
3089,8300
3090,8300
3091,8300
3092,8300
3093,8300
3094,8300
3095,8400
3096,8400
3097,8400
3098,8400
3099,8400
3100,8400
3101,8400
3102,8400
3103,8500
3104,8500
3105,8500
3106,8500
3107,6900
3108,6900
3109,6900
3110,6900
3111,6900
3112,168
3113,7400
3114,7400
3115,7400
3116,7400
3117,7400
3118,7400
3119,7400
3120,2640
3121,2640
3122,2640
3123,2640
3124,0
3125,1200
3126,1200
3127,1200
3128,1200
3129,1200
3130,1200
3131,70
3132,70
3133,70
3134,70
3135,70
3136,70
3137,70
3138,0
3139,0
3140,2660
3141,2660
3142,2660
3143,2660
3144,0
3145,0
3146,0
3147,0
3148,0
3149,0
3150,0
3151,0
3152,0
3153,0
3154,0
3155,0
3156,0
3157,0
3158,0
3159,0
3160,0
3161,0
3162,2730
3163,2720
3164,0
3165,0
3166,0
3167,0
3168,0
3169,0
3170,0
3171,634
3172,0
3173,1309
3174,0
3175,0
3176,0
3177,7000
3178,0
3179,8500
3180,0
3181,0
3182,0
3183,0
3184,0
3185,0
3186,0
3187,0
3188,0
3189,0
3190,0
3191,0
3192,0
3193,0
3194,7900
3195,0
3196,6900
3197,6900
3198,7400
3199,0
3200,0
3201,8600
3202,8600
3203,8600
3204,5000
3205,5000
3206,5000
3207,2650
3208,2650
3209,2620
3210,9700
3211,6600
3212,7000
3213,2530
3214,0
3215,5000
3216,638
3217,0
3218,0
3219,8500
4001,31
4002,9000
4003,9000
4004,9000
4005,9000
4006,9000
4007,9000
4008,9000
4009,9000
4010,9000
4011,9000
4012,0
4013,2200
4014,0
4015,0
4016,2560
4017,1161
4018,1031
4019,1031
4020,246
4021,0
4022,0
4023,0
4024,0
4025,2630
4026,2630
4027,7100
4028,7100
4029,7100
4030,7100
4031,7100
4032,7100
4033,2600
4034,0
4035,0
4036,0
4037,1034
4038,1034
4039,0
4040,0
4041,0
4042,0
4043,0
4044,0
4045,0
4046,0
4047,0
4048,0
4049,0
4050,0
4052,2560
4053,0
4054,0
4055,0
4056,0
4057,2560
4058,2200
4059,0
4060,0
4061,0
4062,0
4063,0
4064,0
4065,2560
4066,0
4067,0
4068,2560
4069,0
4070,0
4071,0
4072,7100
4073,0
4074,0
4075,0
4076,0
4077,0
4078,0
4079,0
4080,0
4081,0
4082,2200
4083,0
4084,31
4085,2200
4086,2560
4087,0
5001,0
5002,0
5003,0
5004,0
5005,0
5006,0
5007,0
5008,0
5009,0
5010,0
5011,3570
5012,0
5013,0
5014,0
5015,0
1181,0
1176,0
