TAZ_585,NafaNum
1001,7
1002,7
1003,7
1004,7
1005,7
1006,7
1007,7
1008,7
1009,7
1010,7
1011,7
1012,7
1013,7
1014,7
1015,7
1016,7
1017,7
1018,7
1019,7
1020,7
1021,8
1022,7
1023,8
1024,8
1025,8
1026,8
1027,8
1028,4
1029,4
1030,7
1031,7
1032,4
1033,7
1034,7
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,4
1042,4
1043,4
1044,4
1045,4
1046,4
1047,4
1048,4
1049,4
1050,4
1051,4
1052,4
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,4
1060,4
1061,4
1062,5
1063,5
1064,5
1065,5
1066,5
1067,5
1068,5
1069,5
1070,5
1071,5
1072,5
1073,5
1074,5
1075,5
1076,5
1077,5
1078,5
1079,5
1080,5
1081,5
1082,5
1083,5
1084,5
1085,5
1086,5
1087,5
1088,5
1089,5
1090,5
1091,5
1092,5
1093,5
1094,5
1095,5
1096,5
1097,5
1098,5
1099,5
1100,5
1101,5
1102,5
1103,5
1104,5
1105,5
1106,5
1107,5
1108,5
1109,5
1110,5
1111,5
1112,5
1113,5
1114,5
1115,5
1116,5
1117,5
1118,3
1119,3
1120,1
1121,1
1122,1
1123,1
1124,5
1125,1
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,6
1137,6
1138,6
1139,6
1140,6
1141,3
1142,1
1143,4
1144,3
1145,3
1146,3
1147,3
1148,3
1149,4
1150,4
1151,4
1152,3
1153,4
1154,4
1155,4
1156,4
1157,4
1158,4
1159,4
1160,4
1161,4
1162,4
1163,4
1164,8
1165,8
1166,8
1167,8
1168,8
1169,8
1170,8
1171,8
1172,8
1173,8
1174,8
1175,8
1177,8
1178,8
1179,8
1180,8
1182,8
1183,8
1184,8
1185,8
1186,7
1187,7
1188,8
1189,4
1190,5
1191,5
1192,5
1193,5
1194,5
1195,1
1196,5
1197,5
1198,1
1199,1
1200,1
1201,6
1202,3
1203,3
1204,4
1205,3
1206,4
1207,4
1208,4
1209,8
1210,7
1211,7
1212,8
1213,3
2001,2
2002,2
2003,2
2004,2
2005,2
2006,2
2007,2
2008,2
2009,2
2010,2
2011,2
2012,2
2013,2
2014,2
2015,2
2016,2
2017,2
2018,2
2019,2
2020,2
2021,2
2022,2
2023,2
2024,16
2025,16
2026,2
2027,2
2028,2
2029,2
2030,2
2031,2
2032,2
2033,2
2034,2
2035,2
2036,2
2037,2
2038,2
2039,2
2040,2
2041,16
2042,16
2043,2
2044,2
2045,16
2046,16
2047,16
2048,16
2049,16
2050,2
2051,2
2052,2
2053,2
3001,15
3002,15
3003,15
3004,15
3005,15
3006,15
3007,15
3008,15
3009,15
3010,15
3011,15
3012,15
3013,15
3014,15
3015,15
3016,15
3017,15
3018,15
3019,15
3020,15
3021,15
3022,15
3023,15
3024,15
3025,15
3026,15
3027,15
3028,15
3029,15
3030,15
3031,15
3032,15
3033,15
3034,14
3035,14
3037,14
3038,14
3039,15
3040,15
3041,15
3042,15
3043,15
3044,15
3045,15
3046,15
3047,15
3048,15
3049,15
3050,15
3051,14
3052,14
3053,14
3054,14
3055,14
3056,14
3057,14
3058,14
3059,14
3060,14
3061,14
3062,14
3063,14
3064,14
3065,14
3066,14
3067,14
3068,10
3069,10
3070,10
3071,10
3072,10
3073,10
3074,10
3075,10
3076,10
3077,10
3078,11
3079,11
3080,11
3081,11
3082,10
3083,10
3084,10
3085,10
3086,11
3087,11
3088,11
3089,11
3090,11
3091,11
3092,11
3093,11
3094,11
3095,11
3096,11
3097,11
3098,11
3099,11
3100,11
3101,11
3102,11
3103,10
3104,10
3105,10
3106,10
3107,14
3108,14
3109,14
3110,14
3111,14
3112,9
3113,9
3114,9
3115,9
3116,9
3117,9
3118,9
3119,9
3120,14
3121,14
3122,14
3123,14
3124,10
3125,10
3126,10
3127,10
3128,10
3129,10
3130,10
3131,12
3132,12
3133,12
3134,12
3135,12
3136,12
3137,12
3138,11
3139,11
3140,11
3141,11
3142,11
3143,11
3144,11
3145,11
3146,9
3147,9
3148,9
3149,9
3150,9
3151,9
3152,9
3153,9
3154,9
3155,9
3156,9
3157,9
3158,9
3159,9
3160,9
3161,9
3162,9
3163,9
3164,9
3165,14
3166,14
3167,9
3168,14
3169,14
3170,16
3171,14
3172,14
3173,14
3174,14
3175,10
3176,10
3177,10
3178,10
3179,10
