taz,area,type,cultural,education,office,shopping,health,religiosit,urban,transporta,empl_indu,empl_comm,empl_serv,empl_tot,students,population,households,parkcost,parkwalk,popdens,ga21,ga22,ga23,ga24,ga25,ga26,ga11,ga12,ga13,ga14,ga15,ga16,workers,workperc,avgHH,soceco,Mlic2,Mlic3,Mlic4,Mlic5,Mlic6,Flic2,Flic3,Flic4,Flic5,Flic6,emp2pop,parkcap,parkAM,parkPM,parkOP,INTLSUME,INTLSUMO,INTLSUMS,INTLSUMW,LSIZESEC,LSIZEINTS,LSUMSIZE0,LSUMSIZES,Hh0car,HH1car,HH2car,HH3car
1101,0.668,3,0,2,0,0,0,0,1,0,469,483,543,1495,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,15,2069,0.00062,0.00142,0.00139,-0.402957,1.108966,1.779523,1.163947,2.308623,4.041692,1.425099,1.708871,0,0,0,0
1102,1.153,5,0,1,0,0,0,0,1,0,1117,593,1888,3598,2844,4112,1542,3,3,3.5668,420,58,84,276,767,484,407,56,81,268,743,469,2159,0.52505,2.67,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.875,3842,0.00016,0.00059,0.00057,4.925779,4.404156,4.872643,3.948323,5.383396,6.060811,5.248664,3.279753,28,182,1113,218
1103,1.191,3,0,2,0,0,0,0,1,0,469,483,543,1495,0,9076,3632,3,3,7.6223,926,128,186,609,1691,1068,898,124,181,590,1639,1035,4759,0.52435,2.5,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.165,3415,0.0003,0.00079,0.00077,2.491335,3.268207,3.491954,2.29425,3.671259,5.211419,3.665172,3.284344,76,498,2594,464
1104,0.618,3,0,0,0,0,0,0,1,0,185,98,314,597,0,5925,2221,3,3,9.5842,605,83,122,398,1104,697,586,81,118,386,1070,676,3108,0.52456,2.67,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.101,1736,0.00073,0.00169,0.00164,1.984513,2.774486,2.993382,1.732582,3.087873,4.647523,3.137095,2.72012,40,260,1604,316
1105,0.332,3,0,0,0,0,0,0,1,0,72,75,408,555,0,5201,2659,3,3,15.6819,464,113,154,452,946,566,431,104,143,421,880,527,3062,0.58873,1.96,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.107,1006,0.00199,0.00365,0.00357,2.116475,2.747203,2.857204,1.586636,3.212586,4.575054,3.288349,2.847757,553,1473,578,55
1106,0.472,3,0,3,0,0,0,0,1,0,316,575,1267,2158,0,4437,1918,3,3,9.4064,350,129,164,274,812,560,328,121,154,257,762,525,2117,0.47712,2.31,18,0.45,0.95,0.97,1,0.97,0.38,1.03,0.99,0.95,0.96,0.486,1767,0.00072,0.00167,0.00162,1.827894,2.729434,3.043047,1.970364,3.373994,4.97072,3.16404,2.911366,67,417,1263,172
1107,0.425,3,0,3,0,0,0,0,1,0,304,140,780,1224,0,4546,2224,3,3,10.6973,393,137,166,311,817,550,360,125,152,285,748,504,2467,0.54267,2.04,17,0.43,0.94,0.96,0.97,0.99,0.36,0.99,0.95,0.97,1.01,0.269,1409,0.001,0.00219,0.00213,1.958862,2.687772,2.887813,1.731277,3.246489,4.719536,3.191944,2.835673,464,1232,482,46
1108,0.28,3,0,0,0,0,0,0,1,0,48,14,267,329,0,1499,676,3,3,5.3606,117,36,44,94,234,251,109,33,42,88,218,234,721,0.48099,2.22,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.219,801,0.00096,0.00304,0.00294,0.835469,1.554316,1.757384,0.625283,2.040144,3.524527,2.007809,1.646867,29,174,421,52
1109,0.256,2,0,1,0,0,0,0,1,0,72,21,401,494,835,997,451,3,3,3.899,74,24,29,63,157,168,70,22,27,59,146,157,481,0.48245,2.21,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.495,782,0.00078,0.00292,0.00282,3.698067,3.122898,3.574896,2.642811,4.099416,4.627276,3.997535,1.771903,20,122,275,33
1110,0.32,3,0,3,0,0,0,0,1,0,175,220,728,1123,0,4462,2008,3,3,13.9261,341,92,122,172,667,998,296,80,106,148,577,862,2252,0.50471,2.22,19,0.45,0.95,0.97,1,0.97,0.38,1,0.99,0.95,0.96,0.252,1121,0.0016,0.00309,0.00302,1.84676,2.623954,2.847802,1.666536,3.146431,4.662387,3.088794,2.733165,127,692,1074,114
