TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed
6401,0,1,1,arabs_behined_seperation_wall,7285.46969,37904.8017,4841.93768,4554.141077,4086.78375,3921.696752,3461.766591,3523.187994,3147.130823,2372.736406,1577.06525,1615.381241,1196.404957,1230.153604,809.499097,784.3455147,378.1720122,404.3989547,5059.69259,0,2128.814243,709.6047478,709.6047478,1511.66885,0,10581.68195,0,0,8846.330613
1206,0,1,1,Arab,1625.702719,6709.287643,715.2575149,664.1188948,640.2933575,608.284208,596.60626,607.1917205,542.3814405,408.9210974,339.7423599,278.3973257,343.6504977,282.6754574,209.2655077,202.7629962,130.3495102,139.3894947,1111.362024,79.1717224,316.6868896,158.3434448,237.5151672,319.6447997,0,2237.513598,0,0,1694.50061
1201,0,1,1,Arab,3725.908036,15371.55556,1638.71654,1521.553559,1466.967202,1393.631485,1366.876301,1391.128502,1242.642571,936.8734361,778.3789932,637.8322389,787.3328733,647.633807,479.4452927,464.5474792,298.6419491,319.3533317,2452.683393,181.4517213,907.2586066,362.9034427,362.9034427,638.1661801,0,4467.163261,0,0,3882.246769
2203,0,1,1,Arab,1552.223444,6358.507204,706.5755174,656.0576323,632.5212961,600.9006827,589.3644849,533.1746277,468.8231289,403.9574978,335.6184713,343.7725755,271.5833368,209.4331972,206.7253839,133.5345345,128.7672911,137.6975457,223.852114,0,0,0,0,223.852114,0,1566.964798,0,0,1571.237674
2303,0,1,1,Arab,2972.06626,12441.15737,1339.92862,1244.128018,1199.494416,1139.530033,1117.653134,1137.48342,1016.070996,893.7283642,636.4568033,521.5360016,515.0224948,529.5504453,392.0278181,253.2308864,244.190429,261.1254959,1916.645881,72.36981343,796.0679478,289.4792537,289.4792537,469.2496119,0,3284.747283,0,0,3165.362769
2101,0,1,1,Arab,1316.112304,6856.517254,819.6721765,766.3903983,745.0532942,643.4609552,631.1076778,642.3052898,573.7470663,432.5687836,359.389477,294.4968926,290.8188963,224.2668198,147.578146,142.9924472,68.943776,73.72515694,1144.313731,0,352.5206805,160.236673,128.1893384,503.3670396,0,3523.569277,0,0,1670.839056
3605,0,1,1,Arab,424.6592724,1650.242283,162.2246814,149.3812925,142.5819557,133.7818141,131.2134471,150.2342324,134.198568,118.0400456,84.06065322,68.88237622,85.02762307,87.42611462,69.03660872,50.16857456,32.25168914,51.73260694,264.6361816,0,134.4258927,31.02135985,41.36181313,57.82711591,0,404.7898114,0,0,439.8744132
2505,0,1,1,Arab,1410.943766,6251.083586,739.5828142,691.5071462,672.2548695,645.0989089,569.4427672,579.5462716,517.6868047,390.3029131,324.2738847,265.7218909,262.4032679,202.3539294,133.1584305,129.0207958,62.20734745,66.52154436,1727.169086,34.35648069,377.9212876,137.4259228,137.4259228,1040.039472,0,7280.276305,0,0,1518.420677
2404,0,1,1,Arab,1068.38917,4737.966218,560.5617556,524.1231305,509.5309986,488.9483232,431.6052661,439.2631483,392.3771868,295.827434,245.7811817,201.4020969,198.8867693,153.3727822,100.9265252,97.7904332,47.1496352,50.41955136,802.8866438,26.01527629,286.1680392,104.0611052,104.0611052,282.5811179,0,1978.067826,0,0,1150.876607
6402,0,1,1,arabs_behined_seperation_wall,4025.79627,20844.49662,2494.881586,2527.096961,2267.759962,2176.153039,1920.937381,1955.020173,1528.052498,1316.633556,875.1149194,896.3764973,885.1815761,682.6133362,449.1917737,435.2340284,209.8479882,224.4013421,2789.736712,0,1176.33767,392.1125567,392.1125567,829.1739282,0,5804.217497,0,0,4910.292235
209,0,1,1,Arab,77.63441741,374.7677962,29.99305305,30.38034096,28.63953526,26.45203295,22.23788755,30.17659967,22.74380203,26.67370171,26.59345215,19.45682868,19.21383072,19.75582177,15.60031511,18.89445775,14.57593363,23.3802032,1319.967554,0,785.7625987,130.9604331,392.8812994,10.36322313,0,72.54256193,0,0,99.36818437
206,0,1,1,Arab,132.6817664,642.0546819,51.38429804,52.04780226,49.06544235,45.31779885,38.09809691,51.69875133,38.96483296,45.69756323,45.56007916,33.33356835,32.91726262,33.84580529,26.72656365,32.37011073,24.97158648,40.05511968,1861.029639,0,1066.796906,355.5989686,355.5989686,83.03479598,0,581.2435719,0,0,170.2382346
