TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed
6401,0,1,1,arabs_behined_seperation_wall,7504,39041.77,5465.8478,5075.4301,4294.5947,3904.177,3513.7593,3513.7593,3123.3416,2342.5062,1561.6708,1561.6708,1171.2531,1171.2531,780.8354,780.8354,390.4177,390.4177,5469.482904,0,2192.6688,730.8896,730.8896,1815.034904,0,12705.24433,0,0,8732.863114
1206,0,1,1,Arab,1662.97,6863.09,807.4223529,740.1371569,672.8519608,605.5667647,605.5667647,605.5667647,538.2815686,403.7111765,336.4259804,269.1407843,336.4259804,269.1407843,201.8555882,201.8555882,134.5703922,134.5703922,1147.828762,80.986639,323.946556,161.973278,242.959917,337.9623723,0,2365.736606,0,0,1670.395364
1201,0,1,1,Arab,3811.32,15723.93,1849.874118,1695.717941,1541.561765,1387.405588,1387.405588,1387.405588,1233.249412,924.9370588,770.7808824,616.6247059,770.7808824,616.6247059,462.4685294,462.4685294,308.3123529,308.3123529,2564.576654,185.611284,928.05642,371.222568,371.222568,708.4638143,0,4959.2467,0,0,3827.019575
2203,0,1,1,Arab,1590.16,6513.91,797.6216327,731.1531633,664.6846939,598.2162245,598.2162245,531.7477551,465.2792857,398.8108163,332.3423469,332.3423469,265.8738776,199.4054082,199.4054082,132.9369388,132.9369388,132.9369388,269.7731524,0,0,0,0,269.7731524,0,1888.412067,0,0,1548.981211
2303,0,1,1,Arab,3041.29,12730.93,1512.585743,1386.536931,1260.488119,1134.439307,1134.439307,1134.439307,1008.390495,882.3416832,630.2440594,504.1952475,504.1952475,504.1952475,378.1464356,252.0976238,252.0976238,252.0976238,2023.296345,74.0554115,814.6095265,296.221646,296.221646,542.1881152,0,3795.316807,0,0,3120.766904
2101,0,1,1,Arab,1352.57,7046.45,925.2914141,854.1151515,782.9388889,640.5863636,640.5863636,640.5863636,569.410101,427.0575758,355.8813131,284.7050505,284.7050505,213.5287879,142.3525253,142.3525253,71.17626263,71.17626263,1162.06863,0,362.2858745,164.6753975,131.740318,503.3670396,0,3523.569277,0,0,1649.125535
3605,0,1,1,Arab,432.69,1681.45,183.1282178,166.480198,149.8321782,133.1841584,133.1841584,149.8321782,133.1841584,116.5361386,83.24009901,66.59207921,83.24009901,83.24009901,66.59207921,49.94405941,33.2960396,49.94405941,277.2860389,0,136.9680195,31.6080045,42.144006,66.56600889,0,465.9620622,0,0,433.0349727
2505,0,1,1,Arab,1449.56,6422.17,834.8821,770.6604,706.4387,642.217,577.9953,577.9953,513.7736,385.3302,321.1085,256.8868,256.8868,192.6651,128.4434,128.4434,64.2217,64.2217,1745.975192,35.296786,388.264646,141.187144,141.187144,1040.039472,0,7280.276305,0,0,1498.780346
2404,0,1,1,Arab,1097.63,4867.64,632.7932,584.1168,535.4404,486.764,438.0876,438.0876,389.4112,292.0584,243.382,194.7056,194.7056,146.0292,97.3528,97.3528,48.6764,48.6764,820.3815034,26.7272905,294.0001955,106.909162,106.909162,285.8356934,0,2000.849854,0,0,1135.990353
6402,0,1,1,arabs_behined_seperation_wall,4142.29,21447.67,2816.360707,2816.360707,2383.074444,2166.431313,1949.788182,1949.788182,1516.501919,1299.858788,866.5725253,866.5725253,866.5725253,649.9293939,433.2862626,433.2862626,216.6431313,216.6431313,3007.224241,0,1210.377138,403.459046,403.459046,989.9290107,0,6929.503075,0,0,4845.873561
209,0,1,1,Arab,78.71,379.96,33.85782178,33.85782178,30.09584158,26.33386139,22.57188119,30.09584158,22.57188119,26.33386139,26.33386139,18.80990099,18.80990099,18.80990099,15.04792079,18.80990099,15.04792079,22.57188119,1361.241957,0,809.4415688,134.9069281,404.7207844,12.17267598,0,85.20873183,0,0,97.72721679
206,0,1,1,Arab,134.52,650.95,58.00544554,58.00544554,51.56039604,45.11534653,38.67029703,51.56039604,38.67029703,45.11534653,45.11534653,32.22524752,32.22524752,32.22524752,25.78019802,32.22524752,25.78019802,38.67029703,1908.706005,0,1095.402725,365.1342418,365.1342418,83.03479598,0,581.2435719,0,0,167.426918
205,0,1,1,Arab,293.86,1422.07,126.7191089,126.7191089,112.6392079,98.55930693,84.47940594,112.6392079,84.47940594,98.55930693,98.55930693,70.39950495,70.39950495,70.39950495,56.31960396,70.39950495,56.31960396,84.47940594,2368.042094,0,1332.697148,444.2323827,444.2323827,146.8801804,0,1028.161263,0,0,365.762036
