code,year,citycode,population,employment
2020,2020,3000,1032127.89720552,326774.655886387
2020,2020,0,3095804.526542,66824.492608348
2020,2020,3616,41152.218200300005,7653.403643795
2020,2020,2610,132500.15314,26225.835369014
2020,2020,3780,61060.999999,7146.34935194
2020,2020,3797,78977.032926,10724.2496872
2020,2020,3570,23089.0,11880.724429
2020,2020,1200,95149.0,25654.359582600006
2025_BAU,2025,3000,1111015.4092067666,344886.85446477524
2025_BAU,2025,0,3409715.2317043007,75939.57302806403
2025_BAU,2025,3780,85553.954696,9399.79584914
2025_BAU,2025,2610,174803.38020850005,32150.662891934007
2025_BAU,2025,3797,106369.65475599999,14108.7418263
2025_BAU,2025,3616,41734.315580999995,7870.671178795
2025_BAU,2025,3570,23849.491414999997,12510.798769
2025_BAU,2025,1200,122637.545864,31266.085293770004
2030_BAU,2030,3000,1218654.1308706074,386006.69594999
2030_BAU,2030,0,3708694.0554054016,85227.39522587204
2030_BAU,2030,3780,106143.41058299999,11521.715416939998
2030_BAU,2030,2610,233454.96472839994,40892.13595129399
2030_BAU,2030,3797,124348.29371499999,16196.6408727
2030_BAU,2030,3616,46621.0573949,8783.868495295
2030_BAU,2030,3570,28081.844975,13656.8913309
2030_BAU,2030,1200,141575.545864,38710.0337195
2035_BAU,2035,3000,1330440.0371154407,431162.3655635197
2035_BAU,2035,0,4010942.375291301,96508.211561359
2035_BAU,2035,3780,116927.77231,13344.91292724
2035_BAU,2035,2610,293002.23108620004,52043.713384853996
2035_BAU,2035,3797,133967.29655,17316.652921
2035_BAU,2035,3616,58001.0428042,10574.422433749998
2035_BAU,2035,3570,42765.272129,16344.7159479
2035_BAU,2035,1200,171013.545864,48151.74712539999
2040_BAU,2040,3000,1475050.4180501609,483880.8803736028
2040_BAU,2040,0,4322488.759169201,110088.45778637004
2040_BAU,2040,3780,115867.80390800002,14168.16950954
2040_BAU,2040,2610,330188.52972790005,59166.47169241401
2040_BAU,2040,3797,137068.29022,17520.696985000002
2040_BAU,2040,3616,84244.86695189998,13915.568576200001
2040_BAU,2040,3570,53730.447536,18567.621246000002
2040_BAU,2040,1200,196251.54586400004,56934.9874204
2045_BAU,2045,3000,1663780.022409049,534878.5177495627
2045_BAU,2045,0,4618282.712752702,126509.38680386703
2045_BAU,2045,3780,116115.61319600002,15170.301552139998
2045_BAU,2045,2610,349727.0630346,67816.59036059999
2045_BAU,2045,3797,139434.53445,18079.442577
2045_BAU,2045,3616,112497.5213059,17622.72934355
2045_BAU,2045,3570,73674.292336,22169.712388
2045_BAU,2045,1200,193220.18950099996,61706.315227399995
2050_BAU,2050,3000,1832460.3243191987,589325.525382377
2050_BAU,2050,0,4950310.125573599,143243.05259494903
2050_BAU,2050,3780,120475.01265700001,16204.313207939998
2050_BAU,2050,2610,393447.0344583999,81817.4007972
2050_BAU,2050,3797,146164.55865,18696.371124
2050_BAU,2050,3616,129401.0417125,20017.29998649
2050_BAU,2050,3570,94660.272114,25797.176707000002
2050_BAU,2050,1200,194010.97900499997,68318.65041940002
2025_IPLAN,2025,3000,1104248.008002164,341403.6049296652
2025_IPLAN,2025,0,3396142.9465665002,73563.48195061498
2025_IPLAN,2025,3780,82523.89081000001,9079.39704384
2025_IPLAN,2025,2610,171929.45570529997,31992.762248273993
2025_IPLAN,2025,3797,102616.94576,13624.428886200001
2025_IPLAN,2025,3616,40929.01938219999,7736.354558195002
2025_IPLAN,2025,3570,23334.751458,12352.352279
2025_IPLAN,2025,1200,122637.545864,30910.510643370006
2030_IPLAN,2030,3000,1197967.4427289825,375129.2617726459
2030_IPLAN,2030,0,3673606.1125789015,79243.02822216999
2030_IPLAN,2030,3780,97300.72544899999,10580.197642039999
2030_IPLAN,2030,2610,220481.0171176,39822.666014794006
2030_IPLAN,2030,3797,114018.690288,14868.3252465
2030_IPLAN,2030,3616,44469.3218476,8420.169853295
2030_IPLAN,2030,3570,26407.917163,13181.427423500001
2030_IPLAN,2030,1200,141575.545864,37671.4671373
2035_IPLAN,2035,3000,1287528.5731310218,411879.6545295441
2035_IPLAN,2035,0,3953909.525397001,86601.654805113
2035_IPLAN,2035,3780,102945.74160500002,11766.65110364
2035_IPLAN,2035,2610,269254.01151070005,49215.29871407399
2035_IPLAN,2035,3797,118007.96965099999,15258.2391584
2035_IPLAN,2035,3616,52264.1664538,9608.789708999999
2035_IPLAN,2035,3570,38688.857026,15363.644544400002
2035_IPLAN,2035,1200,171013.545864,46303.1704844
2040_IPLAN,2040,3000,1388335.6078014919,450212.7093570029
2040_IPLAN,2040,0,4230448.335401901,94446.41512324303
2040_IPLAN,2040,3780,100129.49901099999,12367.19309104
2040_IPLAN,2040,2610,296598.2560749001,53810.425820063996
2040_IPLAN,2040,3797,118507.485116,15321.902419600001
2040_IPLAN,2040,3616,72366.69549879999,12210.81530371
2040_IPLAN,2040,3570,48014.165267000004,17163.856483199997
2040_IPLAN,2040,1200,196251.54586400004,53988.0045584
2045_IPLAN,2045,3000,1388335.6078014919,450212.7093570029
2045_IPLAN,2045,0,4230448.335401901,94446.41512324303
2045_IPLAN,2045,3780,100129.49901099999,12367.19309104
2045_IPLAN,2045,2610,296598.2560749001,53810.425820063996
2045_IPLAN,2045,3797,118507.485116,15321.902419600001
2045_IPLAN,2045,3616,72366.69549879999,12210.81530371
2045_IPLAN,2045,3570,48014.165267000004,17163.856483199997
2045_IPLAN,2045,1200,196251.54586400004,53988.0045584
2050_IPLAN,2050,3000,1648958.3782914996,522965.450484735
2050_IPLAN,2050,0,4767853.992138498,114109.27798516002
2050_IPLAN,2050,3780,101555.00218000001,13730.90162864
2050_IPLAN,2050,2610,340147.58212709986,68840.72963733
2050_IPLAN,2050,3797,123134.51267,16148.1242812
2050_IPLAN,2050,3616,106915.57852369998,17006.9923224
2050_IPLAN,2050,3570,83230.70665200001,23162.175426499998
2050_IPLAN,2050,1200,194010.97900499997,61908.0373494
2025_JTMT,2025,3000,1164617.9346210714,362941.1262586809
2025_JTMT,2025,0,3417452.0603273,79620.67733243498
2025_JTMT,2025,3616,42020.0236597,8152.108110594999
2025_JTMT,2025,3780,74002.872538,8333.934299640001
2025_JTMT,2025,2610,184344.93258209998,33892.513815724
2025_JTMT,2025,3797,92874.027933,12512.8954346
2025_JTMT,2025,3570,23847.488246,12686.546018999998
2025_JTMT,2025,1200,122637.545864,33357.64940287
2030_JTMT,2030,3000,1293616.6843213006,409804.3745150371
2030_JTMT,2030,0,3721374.9026073017,91548.29453967397
2030_JTMT,2030,3616,46945.58774570001,9295.62741358
2030_JTMT,2030,3780,85407.095664,9734.037065740002
2030_JTMT,2030,2610,243017.18457789999,42837.711880484
2030_JTMT,2030,3797,101076.439056,13629.4755912
2030_JTMT,2030,3570,26516.714247,13741.1367842
2030_JTMT,2030,1200,141575.545864,40897.871888300004
2035_JTMT,2035,3000,1448757.3114171987,465387.8188101265
2035_JTMT,2035,0,4020741.5156708015,103754.04407501097
2035_JTMT,2035,3616,52330.0542677,10764.353631639999
2035_JTMT,2035,3780,91631.808063,11469.082055439998
2035_JTMT,2035,2610,306186.06668790005,55390.295988444
2035_JTMT,2035,3797,105960.125148,14273.8713788
2035_JTMT,2035,3570,30343.816272,15437.455544500002
2035_JTMT,2035,1200,171013.545864,50815.28362839999
2040_JTMT,2040,3000,1616031.8359468,525686.7268406949
2040_JTMT,2040,0,4332673.867858199,119435.69087499399
2040_JTMT,2040,3616,64624.8037707,13426.452658279999
