code,year,NafaNum,population,employment
2020,2020,2,1246724.04872382,372399.8207997793
2020,2020,16,3212332.779289,82677.93360450497
2020,2020,10,100804.0,27806.316154000004
2025_BAU,2025,2,1377190.052360668,398906.58294193936
2025_BAU,2025,16,3569240.5852069003,95690.653582469
2025_BAU,2025,10,129248.345864,33535.94677737
2030_BAU,2030,2,1548697.4632832077,451699.20983334404
2030_BAU,2030,16,3910563.4943891,108113.45212104704
2030_BAU,2030,10,148312.345864,41182.71500810001
2035_BAU,2035,2,1729420.8009480394,510885.3688768237
2035_BAU,2035,16,4249762.426338101,123695.961571499
2035_BAU,2035,10,177876.345864,50865.411416699986
2040_BAU,2040,2,1922290.011146562,573263.1214159871
2040_BAU,2040,16,4589360.304416602,141066.6870088401
2040_BAU,2040,10,203240.34586400003,59913.0451647
2045_BAU,2045,2,2130701.311114149,635045.8125279628
2045_BAU,2045,16,4936373.248370101,164002.94400645708
2045_BAU,2045,10,199657.38950099997,64904.2394677
2050_BAU,2050,2,2351813.8849218977,707097.9684750072
2050_BAU,2050,16,5308553.284562798,184502.35883464897
2050_BAU,2050,10,200562.17900499998,71819.46290970001
2025_IPLAN,2025,2,1365369.2662617646,394684.78419054946
2025_IPLAN,2025,16,3549744.9514223994,92829.15996293999
2025_IPLAN,2025,10,129248.345864,33148.94838567001
2030_IPLAN,2030,2,1509965.5928665819,438358.1305968899
2030_IPLAN,2030,16,3857548.834306501,100476.48811675502
2030_IPLAN,2030,10,148312.345864,40081.9245986
2035_IPLAN,2035,2,1656249.7134151221,486851.5127686084
2035_IPLAN,2035,16,4159486.3313594013,110230.19068926299
2035_IPLAN,2035,10,177876.345864,48915.3995907
2040_IPLAN,2040,2,1793008.2170108925,531556.1991324371
2040_IPLAN,2040,16,4454403.027160201,121166.73756012302
2040_IPLAN,2040,10,203240.34586400003,56798.3854637
2045_IPLAN,2045,2,1793008.2170108925,531556.1991324371
2045_IPLAN,2045,16,4454403.027160201,121166.73756012302
2045_IPLAN,2045,10,203240.34586400003,56798.3854637
2050_IPLAN,2050,2,2103287.2316598003,623345.9922363253
2050_IPLAN,2050,16,5061957.320922999,149440.71915334
2050_IPLAN,2050,10,200562.17900499998,65084.977725699995
2025_JTMT,2025,2,1447032.7097111722,420937.30239654484
2025_JTMT,2025,16,3545515.8301959997,94827.45474293003
2025_JTMT,2025,10,129248.345864,35732.69353407
2030_JTMT,2030,2,1643398.933960501,480368.43752266146
2030_JTMT,2030,16,3867818.8742587017,107619.32619335402
2030_JTMT,2030,10,148312.345864,43500.76596220001
2035_JTMT,2035,2,1875849.9857827986,552109.5205741109
2035_JTMT,2035,16,4173237.9117438,121489.55070085094
2035_JTMT,2035,10,177876.345864,53693.133837400004
2040_JTMT,2040,2,2102013.8342538,624385.976444409
2040_JTMT,2040,16,4489729.134387898,140014.02805167402
2040_JTMT,2040,10,203240.34586400003,63008.640258499996
2045_JTMT,2045,2,2304591.155992299,703981.0135868012
2045_JTMT,2045,16,4746762.750104899,154625.68358258912
2045_JTMT,2045,10,199657.38950099997,70227.93150850001
2050_JTMT,2050,2,2408013.417599401,750351.358602071
2050_JTMT,2050,16,5051896.8752123,168437.57804032808
2050_JTMT,2050,10,200562.17900499998,75629.08932150001
