TAZ,yosh,in_jerusalem_metropolin,jerusalem_city,sector,hh_total,pop,age0_4,age5_9,age10_14,age15_19,age20_24,age25_29,age30_34,age35_39,age40_44,age45_49,age50_54,age55_59,age60_64,age65_69,age70_74,age75up,emp_tot,indus,com_hotel,business,public,education,agri,student,univ,UO_Hi_Ed,pop_emp_employed
6006,0,1,1,U_Orthodox,820,4764,1067,897,549,183,153,319,447,400,120,95,70,61,92,104,75,132,473.0901429,0,177.21145,54.5266,40.89495,200.4571429,0,1354.2,0,356,1058.5125
6007,0,1,1,U_Orthodox,846,4025,808,747,516,155,161,272,328,382,123,75,68,64,91,75,53,107,396.6448571,0,171.0612,57.0204,57.0204,111.5428571,0,759.8,0,307.55,925.0696
5807,0,1,1,U_Orthodox,1116,6001,779,592,692,1006,790,485,253,167,136,189,233,274,190,109,56,50,1055.801,0,138.6755,83.2053,55.4702,778.45,0,4586.4,675,665,1368.9416
5806,0,1,1,U_Orthodox,1719,6813,870,751,788,1323,850,394,291,283,196,180,170,183,225,137,111,61,601.5714286,0,0,0,0,601.5714286,0,3469,0,3949,1401.4269
5802,0,1,1,U_Orthodox,828,3781,679,580,443,244,200,276,306,226,174,100,81,82,97,96,101,96,368.8074286,0,139.518,83.7108,55.8072,89.77142857,0,628.4,0,311.6,900.4801
6401,0,1,1,arabs_behined_seperation_wall,5273.775484,29005.76516,4111.516681,3862.062496,3635.63485,3448.864024,2916.695094,2410.11121,1735.945282,1446.834277,1394.384936,1176.912056,1006.771508,776.5061063,438.7835164,305.741284,168.8612949,170.1405472,3511.657283,0,1540.997196,513.6657322,513.6657322,943.3286225,0,6603.300358,0,0,5787.944434
5703,0,1,1,U_Orthodox,731,2629,437,368,295,170,137,162,210,204,113,83,64,78,74,75,73,86,441.6612857,0,160.12555,49.2694,36.95205,195.3142857,0,1360.2,0,216.4,662.6458
5706,0,1,1,U_Orthodox,723,3761,646,573,410,208,195,276,308,272,148,88,79,99,110,119,85,145,113.2285714,0,0,0,0,113.2285714,0,778.6,0,314.5,925.0599
5105,0,1,1,U_Orthodox,1306,4805,581,471,484,986,596,271,150,154,118,134,126,134,148,159,103,190,804.9428571,0,0,0,0,804.9428571,0,5354.6,0,1002,932.1215
5210,0,1,1,U_Orthodox,1251,4404.6,549.4295477,345.5871357,361.7865327,622.9370854,644.8293467,316.7885427,130.9451256,130.9451256,93.14653266,91.79658291,93.14653266,171.4436181,225.441608,218.6918593,203.8424121,203.8424121,480.3439612,0,0,0,0,480.3439612,0,2121.657729,875,1328,931.3382898
