"Scenario","year","ravtaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BASE",2020,1,4667.4342,13772.0102,991.4581,731.3581,670.6962,764.4729,1862.3743,2116.6137,1250.1885,907.9690,603.3420,525.2529,436.2953,506.4449,545.5138,465.4156,454.0982,940.5166,29286.9458,0.0000,10723.7426,9454.7384,7850.6313,1257.8335,0.0000,2152.8748,4891.2000,473.5430,6565.7303
"BASE",2020,10,5978.0925,23440.3358,3994.0559,3116.8295,2699.0346,2712.1892,2260.3221,1668.5775,1231.4308,1009.4143,704.3167,608.5687,599.2958,593.9592,548.3620,497.0356,366.6408,830.3033,11261.6673,0.0000,4958.7933,2339.0687,1506.9754,2456.8298,0.0000,15443.4335,1017.5000,3198.0781,4891.6427
"BASE",2020,100,1876.0000,8579.0000,1477.0000,1415.0000,1104.0000,567.0000,661.0000,557.0000,687.0000,629.0000,425.0000,280.0000,250.0000,234.0000,218.0000,62.0000,13.0000,0.0000,1483.8369,0.0000,352.5880,212.1859,171.6188,625.7429,121.7013,4009.2000,0.0000,559.0000,3129.0175
"BASE",2020,11,2176.0789,3771.1251,65.7255,51.6597,48.8465,60.0991,1962.4350,1258.3353,48.8465,37.5939,30.1774,32.4791,24.0397,20.4593,19.9478,17.6461,32.4791,60.3549,5791.9356,0.0000,150.0000,450.0000,2400.0000,2791.9356,0.0000,123.4353,13376.6800,0.0000,1678.4337
"BASE",2020,12,4472.2461,17888.9843,2242.3394,2142.8772,2154.4220,2107.3550,1755.6852,1475.0597,1139.3748,1013.2710,928.0177,832.9958,654.4967,523.0645,359.6624,245.9913,157.1858,157.1858,2980.9797,348.1703,664.3242,412.2032,316.1539,1240.1280,0.0000,8680.8962,0.0000,0.0000,3804.8262
"BASE",2020,13,6776.5129,27377.7746,3064.9283,3027.4288,2901.4489,2991.7669,2670.3419,2209.3915,1830.5325,1535.8394,1615.6864,1397.1379,1134.1156,960.9881,724.3178,482.9696,363.6293,467.2517,4697.8480,330.0162,1698.3647,602.2784,669.5025,1397.6863,0.0000,9783.8038,0.0000,0.0000,6176.5608
"BASE",2020,14,2762.6626,12431.9819,1310.1473,1211.0302,1186.7015,1135.3408,1078.5738,1136.2419,877.6365,704.6322,643.3598,599.2076,527.1225,569.4725,439.7193,346.9097,257.7043,408.1821,1214.0332,67.9271,192.4376,100.0000,139.6354,714.0332,0.0000,4984.2321,0.0000,74.0000,2916.1125
"BASE",2020,15,2523.5877,6332.8749,606.2745,485.3403,437.1535,390.9009,760.1650,516.0647,412.1535,323.4061,272.8226,298.5209,226.9603,191.5407,207.0522,251.3539,327.5209,625.6451,3177.1137,0.0000,114.6027,2238.2009,588.2009,236.1092,0.0000,1652.7647,0.0000,0.0000,2587.5739
"BASE",2020,2,14911.7715,47131.9820,7582.1567,5855.6457,4975.3560,8376.3288,5338.6452,3102.2598,2059.0885,1753.5638,1399.9655,1096.9262,1055.6664,962.5205,985.8998,821.5766,677.8701,1088.5124,7956.4746,0.0000,1701.1840,605.1651,719.4764,4930.6491,0.0000,27537.2940,3625.0000,18979.0000,9226.5882
"BASE",2020,21,35.7260,196.4928,26.7873,25.4645,23.3750,22.8338,20.1431,15.9191,11.9506,10.3496,9.60555,8.73368,6.85466,5.0959,3.48746,2.08195,1.84144,1.96921,28.9106,0.0000,11.3787,11.3787,0.0000,6.1532,0.0000,43.0724,0.0000,0.0000,72.5876
"BASE",2020,22,3416.2503,16282.4051,1946.2846,1963.4320,1858.9511,1822.0827,1604.7044,1314.2374,1049.1316,889.3106,855.1777,782.4520,636.0120,506.4496,360.8833,262.2809,199.5732,231.4421,2743.8711,0.0000,915.0427,415.9285,332.7428,1080.1572,0.0000,7561.1003,0.0000,0.0000,3500.9440
"BASE",2020,23,4410.0331,17640.1326,2160.7518,2034.6028,1995.8571,1930.9804,1762.4814,1439.9005,1175.8887,965.0397,944.3152,832.5833,690.2151,583.8896,414.4895,293.7469,174.8064,240.5841,2602.6011,0.0000,837.4187,380.6449,304.5159,1080.0217,0.0000,7560.1518,0.0000,0.0000,3840.8483
"BASE",2020,24,4671.0000,19174.6448,2331.9540,2270.6816,2194.9922,2096.7762,1937.2879,1621.9154,1246.1717,1001.0823,1036.2238,928.9971,732.5651,619.9321,428.9065,283.8352,196.4320,246.8916,2993.4294,78.2866,1251.1274,490.4076,454.9554,718.6524,0.0000,5030.5666,0.0000,0.0000,4155.6463
"BASE",2020,25,4094.0309,21639.8577,2949.0174,2799.0070,2578.4530,2509.3784,2203.4062,1744.8153,1329.9190,1150.3554,1073.4182,956.0752,749.6609,561.3393,390.0930,236.4389,195.2086,213.2721,3225.8938,99.6897,1096.5862,398.7586,398.7586,1232.1007,0.0000,8624.7051,0.0000,0.0000,4416.3865
"BASE",2020,26,4322.3686,18620.4333,2518.2041,2331.1379,2174.7079,2122.8030,1866.7097,1496.9000,1192.5112,1011.2111,1003.4604,821.6187,646.9862,505.8746,370.5305,239.8716,149.9419,167.9643,3852.7186,105.2497,1157.7464,420.9987,420.9987,1747.7251,0.0000,12234.0754,0.0000,0.0000,3881.2518
"BASE",2020,3,1166.0000,5704.6370,598.3066,597.4055,516.3097,604.6140,510.9034,483.8714,371.2384,314.4714,314.4714,282.9341,262.2097,254.1001,182.9160,125.2479,101.8202,183.8171,10904.6784,540.8255,5022.4579,2154.6944,2302.0222,884.6784,0.0000,6192.7486,0.0000,0.0000,1325.6570
"BASE",2020,31,796.9871,2018.3474,189.6359,115.7267,117.4769,304.2952,265.3406,114.2157,92.3293,94.7154,97.4315,67.4201,63.2612,49.2044,61.3520,83.3179,82.2612,220.3634,14431.7504,1574.3849,4403.7473,6855.4479,1341.3443,256.8259,0.0000,747.7815,4060.0000,391.0000,687.1683
"BASE",2020,32,8194.5716,18818.5752,1429.6739,1347.5181,1221.1278,1463.4717,1252.0156,1151.2491,1072.8827,1091.8406,1028.9192,923.0011,838.1222,810.8654,989.6478,1097.8537,1166.7629,1933.6234,4573.3623,0.0000,1810.9899,1265.1406,1027.0381,470.1936,0.0000,2983.3554,0.0000,512.0000,8146.5370
"BASE",2020,33,5214.9743,15195.6035,1221.3617,1266.2619,1140.2327,803.6788,916.6145,938.6677,1007.8017,1069.5308,975.4948,852.9699,674.9939,648.4036,832.8332,933.1772,831.5607,1082.0204,3784.0554,0.0000,1740.4589,795.9720,785.5078,462.1167,0.0000,3052.8170,170.0000,50.0000,7026.4697
"BASE",2020,34,6371.0000,25486.4877,2900.8067,3350.4912,3068.4829,2459.1080,1827.9511,1266.2583,1496.6893,1743.1227,1683.4099,1515.7414,1062.2032,717.5987,688.6567,677.7064,488.8254,539.4358,4756.7390,0.0000,1999.5202,838.3375,965.6692,953.2120,0.0000,6469.4840,0.0000,795.0000,10027.7703
"BASE",2020,35,4443.0000,15264.0000,1789.0000,1408.0000,1100.0000,959.0000,1013.0000,1288.0000,1111.0000,891.0000,691.0000,698.0000,622.0000,595.0000,692.0000,742.0000,683.0000,982.0000,3379.4333,0.0000,1296.4298,813.1690,684.9202,584.9143,0.0000,4045.4000,0.0000,132.0000,6616.5729
"BASE",2020,36,5391.0000,16389.0000,1636.0000,1380.0000,1109.0000,1050.0000,1089.0000,1149.0000,1239.0000,1074.0000,818.0000,834.0000,824.0000,732.0000,903.0000,975.0000,732.0000,845.0000,3818.3167,0.0000,1811.6361,873.5752,731.0196,402.0857,0.0000,2772.6000,0.0000,162.0000,7552.5856
"BASE",2020,37,3553.0000,14413.7509,1400.2537,1294.8292,1381.3313,1403.8579,1299.3345,1086.6833,915.4812,769.5088,825.3747,768.6077,626.2396,506.3980,394.6661,246.8916,211.7501,226.1671,1963.1621,55.8777,774.0843,183.8247,261.0791,688.2964,0.0000,4818.0746,0.0000,0.0000,3154.1435
"BASE",2020,38,6390.1856,18658.3649,1795.5676,1656.0521,1386.0293,1282.3659,1165.8464,1142.3578,1280.5529,1349.4277,1150.3147,925.8423,768.5691,778.2138,870.4090,907.0886,811.1748,1388.5529,3833.7432,0.0000,1758.9728,654.9688,634.7529,785.0486,0.0000,5306.3405,0.0000,581.0000,8273.9493
"BASE",2020,39,6684.8144,15257.6351,1379.4324,1133.9479,984.9707,781.6341,743.1536,1088.6422,1194.4471,1086.5723,838.6853,737.1577,585.4309,579.7862,636.5910,766.9114,844.8252,1875.4471,4941.5757,0.0000,1962.3354,943.8458,1047.0146,988.3799,0.0000,6918.6595,0.0000,0.0000,6876.8066
"BASE",2020,4,7221.9957,29021.4808,2626.2540,2678.4806,2625.9646,3321.6040,2803.0742,2330.2847,1848.4527,1567.5930,1583.3282,1524.1654,1353.4791,1231.5493,987.8769,840.0917,721.1619,978.1205,4135.3746,0.0000,1638.0000,504.0000,378.0000,1615.3746,0.0000,10453.6223,0.0000,2637.0000,7136.8850
"BASE",2020,40,7639.8974,16996.5890,1244.5395,1129.5467,1139.3654,1232.8906,1214.7804,1173.9171,1017.3862,938.5015,842.1328,807.9526,724.4793,717.7781,900.8007,998.7604,976.4573,1937.3004,7059.6678,0.0000,3605.8244,1399.7871,1056.4029,997.6534,0.0000,5096.7237,1817.0000,435.0000,7392.3566
"BASE",2020,41,6713.5355,20593.8373,2742.3972,2280.0342,2155.2690,3170.9371,2216.2438,1444.3449,959.1494,914.1483,704.8581,538.7700,487.1554,447.1873,445.3332,428.7821,508.2522,1150.9752,3495.7646,0.0000,541.8404,309.2756,232.1574,2412.4912,0.0000,15697.4383,0.0000,4870.8974,4438.2456
"BASE",2020,42,4664.3688,11164.9416,1243.4154,1029.1539,858.0660,2011.5775,1619.4667,1001.6308,536.1528,495.6967,379.8400,292.9812,214.1182,215.4822,245.9812,256.0304,268.6663,496.6821,6235.5398,0.0000,929.3378,1411.7351,2717.6027,1176.8642,0.0000,4122.0493,5000.0000,2231.6075,3139.1898
"BASE",2020,43,2315.0000,5467.0000,521.0000,410.0000,333.0000,273.0000,400.0000,489.0000,466.0000,356.0000,278.0000,262.0000,253.0000,312.0000,304.0000,284.0000,178.0000,348.0000,1686.5979,0.0000,589.8620,442.3965,442.3965,211.9429,0.0000,1476.6000,0.0000,28.0000,2680.0305
"BASE",2020,44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6369.0000,0.0000,1746.9742,3378.1545,1174.8712,69.0000,0.0000,0.0000,740.0000,0.0000,0.0000
"BASE",2020,45,5607.7624,15353.2212,1202.1874,1109.8119,1077.6650,1706.4854,1439.2895,1001.0243,838.6978,700.1550,699.3019,706.2488,623.7264,732.3305,828.6856,896.1876,792.0815,999.3427,3122.2636,0.0000,1176.8325,932.5657,617.3921,395.4732,0.0000,2320.3124,0.0000,1128.0000,6271.5272
"BASE",2020,46,8891.3333,26516.0000,3668.0000,2754.0000,1824.0000,1332.0000,2035.8000,2290.2000,1913.0000,1749.0000,1205.0000,1074.0000,882.0000,963.0000,951.0000,1012.0000,924.0000,1939.0000,5987.6669,0.0000,2603.5780,984.2924,1541.2536,858.5429,0.0000,5869.8000,0.0000,404.0000,11006.8426
"BASE",2020,47,5750.0000,16848.0000,1563.0000,1427.0000,1193.0000,1436.0000,1277.0000,1161.0000,1135.0000,980.0000,904.0000,832.0000,907.0000,879.0000,814.0000,716.0000,603.0000,1021.0000,4242.5271,0.0000,2074.9528,613.9838,948.3334,605.2571,0.0000,4187.8000,0.0000,230.0000,7647.3908
"BASE",2020,48,956.0000,3062.0000,303.0000,261.0000,222.0000,217.0000,210.0000,197.0000,230.0000,219.0000,193.0000,206.0000,157.0000,155.0000,145.0000,117.0000,88.0000,142.0000,7783.2376,0.0000,1381.1353,2854.4613,2683.4183,817.6656,46.5572,459.6592,4644.0000,0.0000,1472.2246
"BASE",2020,49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,169.7143,0.0000,0.0000,0.0000,0.0000,169.7143,0.0000,1188.0000,0.0000,0.0000,0.0000
"BASE",2020,5,1726.4363,3977.3259,340.7631,259.2113,199.7946,239.7803,348.9274,438.9429,342.9115,232.7497,181.1817,154.3263,131.4387,161.1969,175.7774,201.2830,164.0885,404.9528,6564.2621,0.0000,4665.8424,818.0675,988.8582,91.4940,0.0000,304.4579,40.0000,343.2343,1736.9302
"BASE",2020,50,7162.9073,18460.8927,1307.2281,1282.1866,1334.2074,1438.5183,1278.0053,1166.5908,954.1503,1067.8239,1020.8654,1126.4509,1034.1763,838.3369,776.7928,730.2488,866.1659,2239.1452,4366.6000,0.0000,1346.7269,682.6003,625.6533,1711.6196,0.0000,4295.3369,6850.0000,228.0000,8211.4297
"BASE",2020,51,224.0000,224.0000,0.0000,0.0000,0.0000,149.0000,68.0000,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12032.0000,0.0000,1200.0000,10200.0000,600.0000,32.0000,0.0000,0.0000,120.0000,356.0000,0.0000
"BASE",2020,52,7211.0000,28185.2000,4385.7558,3977.7793,3582.4003,2918.5562,2223.5161,1626.5161,1430.2007,1445.1870,1208.0293,886.1371,740.7580,672.7179,680.1038,634.6709,561.6474,1211.2242,3904.2740,0.0000,1070.0667,577.4502,506.9780,1749.7791,0.0000,11499.4535,0.0000,3870.1793,6288.7491
"BASE",2020,53,13138.8942,41797.8321,6217.6051,4765.5906,4828.6044,6297.9870,4742.1436,2568.5059,1578.4627,1469.4197,1268.9863,1157.0968,1120.7589,1178.4266,1158.4888,1092.4891,935.6396,1417.6271,7940.8674,0.0000,1421.3712,1227.8014,434.7037,4856.9912,0.0000,27995.5631,3177.5000,11716.7760,8341.5227
"BASE",2020,54,6668.3333,23603.4849,3386.2914,3065.5623,2788.7557,2452.5973,1990.6554,1551.9311,1369.1100,1281.0423,1022.2503,750.3277,687.3664,604.4389,570.4970,484.5937,512.3132,1085.7521,1681.7342,0.0000,50.1261,33.4174,27.8478,1570.3428,0.0000,9841.7748,362.5000,3065.1381,6103.4739
"BASE",2020,55,341.0000,341.0000,0.0000,0.0000,0.0000,246.0000,86.0000,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19982.2143,1111.6830,4540.7511,10373.1703,2474.3957,1482.2143,0.0000,2728.0000,3050.0000,577.0000,0.0000
"BASE",2020,56,5336.0000,17606.0000,1828.0000,1412.0000,1609.0000,3115.0000,2290.0000,1264.0000,807.0000,619.0000,490.0000,466.0000,608.0000,636.0000,742.0000,686.0000,501.0000,533.0000,2366.5924,0.0000,744.2813,238.1242,208.2154,1175.9714,0.0000,7097.8000,0.0000,3256.3500,4070.1394
"BASE",2020,57,753.0000,2388.0000,187.0000,201.0000,197.0000,161.0000,144.0000,132.0000,136.0000,187.0000,170.0000,146.0000,137.0000,126.0000,108.0000,112.0000,117.0000,127.0000,510.5323,0.0000,225.6875,93.5103,79.7995,111.5351,0.0000,780.7455,0.0000,0.0000,1131.7971
"BASE",2020,58,4279.0000,18958.0000,2673.0000,2379.0000,1972.0000,1498.0000,1536.0000,1398.0000,1311.0000,1092.0000,734.0000,581.0000,593.0000,672.0000,686.0000,703.0000,545.0000,585.0000,2866.0202,0.0000,1280.0762,394.6118,286.0750,905.2571,0.0000,6196.8000,0.0000,1712.6914,5096.9483
"BASE",2020,59,7313.0000,32293.0000,5049.0000,4456.0000,4041.0000,3912.0000,2800.0000,2093.0000,1764.0000,1613.0000,1335.0000,1040.0000,913.0000,831.0000,778.0000,606.0000,495.0000,567.0000,4721.5597,0.0000,820.3406,492.2043,328.1362,3080.8786,0.0000,19786.4000,675.0000,6099.6139,7426.2620
"BASE",2020,6,6756.1522,18619.0501,1536.1129,1095.9983,859.7687,697.2140,1234.6450,2763.8557,1775.7321,1318.2460,790.2200,548.6810,492.1922,632.5063,663.7785,748.7053,919.5608,2541.8334,5414.5564,0.0000,1840.4536,1787.8975,846.1099,940.0954,0.0000,5159.6678,700.0000,352.0000,9033.8413
"BASE",2020,60,3718.0000,15249.0000,2066.0000,1562.0000,1659.0000,2024.0000,1984.0000,1311.0000,637.0000,480.0000,418.0000,607.0000,630.0000,633.0000,582.0000,345.0000,168.0000,143.0000,2103.9386,0.0000,534.2188,189.4178,230.0735,1150.2286,0.0000,7477.6000,0.0000,2254.8911,3695.9522
"BASE",2020,61,3937.4508,18687.2800,4069.2196,3364.5477,2030.1667,720.7091,756.8082,1488.3825,1677.0494,1436.9481,537.4737,367.3549,300.6290,305.2762,386.4140,399.5903,311.5116,535.1989,2733.1470,0.0000,720.0438,317.0377,286.1323,1409.9331,0.0000,9715.5318,0.0000,1888.1815,4297.2314
"BASE",2020,62,1105.0000,5824.0000,774.0000,680.0000,715.0000,647.0000,772.0000,518.0000,292.0000,203.0000,141.0000,239.0000,252.0000,237.0000,187.0000,85.0000,39.0000,43.0000,737.2511,0.0000,178.3067,81.0485,64.8388,413.0571,0.0000,2786.4000,0.0000,645.5500,1425.9582
"BASE",2020,63,5937.5492,21372.7200,2532.7804,2055.4523,1632.8333,1272.2909,1421.1918,1628.6175,1526.9506,1337.0519,1050.5263,1025.6451,916.3710,991.7238,1033.5860,951.4097,831.4884,1164.8011,3579.5072,0.0000,1700.7865,640.3553,597.8415,640.5240,0.0000,4476.6682,0.0000,140.8393,9292.1416
"BASE",2020,64,7008.0000,23944.0000,1924.0000,1793.0000,1765.0000,1903.0000,2201.0000,1997.0000,1451.0000,1255.0000,1104.0000,1306.0000,1405.0000,1450.0000,1351.0000,1009.0000,803.0000,1227.0000,4503.8753,0.0000,2241.1790,825.3756,934.4064,502.9143,0.0000,3471.4000,0.0000,164.0000,11307.5781
"BASE",2020,65,9563.9304,51118.8394,7171.1642,6667.1537,6249.3826,5886.6198,5009.3327,4218.5648,3183.5783,2692.1122,2495.8870,2150.7102,1745.9380,1427.8608,865.5059,609.3771,373.9808,371.6714,6379.8810,0.0000,2794.5805,931.5268,931.5268,1722.2469,0.0000,12055.7283,0.0000,0.0000,10376.1075
"BASE",2020,66,8625.1663,37557.8696,4064.4725,3995.1520,4016.8068,3821.6083,3547.1465,3207.3403,2629.4580,2144.4131,2105.7367,1882.4468,1610.3976,1403.8928,1048.4276,749.1371,559.0335,772.3999,6231.9102,62.5000,2022.7697,886.8159,877.2489,2382.5758,0.0000,16678.0306,0.0000,0.0000,8597.9044
"BASE",2020,67,6374.7583,26274.6726,2840.9216,2769.2170,2912.6261,2806.5508,2444.4726,2162.3952,1747.5757,1503.4247,1511.7211,1336.3117,1107.5683,945.1961,742.5271,503.7095,411.2640,529.1913,5808.7677,429.9199,1747.3473,316.5381,524.7180,2704.2604,85.9840,15615.3225,3150.0000,19.0000,5958.3644
"BASE",2020,68,103.2601,567.9304,80.0478,75.3331,72.7866,66.8496,51.2940,42.3012,35.4766,32.3334,32.0861,25.0286,17.0980,13.6348,9.19655,6.19894,4.3509,3.91435,4108.4205,2012.5719,1225.1438,402.5144,407.5431,58.1329,2.51438,406.9302,0.0000,0.0000,114.0820
"BASE",2020,69,9780.3283,53791.8058,7581.7655,7135.2117,6894.0176,6331.6907,4858.3391,4006.5792,3360.1789,3062.4764,3039.0461,2370.5938,1619.4464,1291.4223,871.0554,587.1354,412.0974,370.7498,6752.8912,1190.7550,2381.5099,238.1510,714.4530,1989.8713,238.1510,13929.0991,0.0000,0.0000,10805.3317
"BASE",2020,7,1107.0927,2353.1073,127.7719,171.8134,156.7926,127.4817,372.5947,262.8092,72.8497,125.1761,125.1346,124.5491,111.8237,85.6631,81.2072,80.7512,94.8341,231.8548,12169.2437,0.0000,412.3458,4627.5153,3888.8593,3240.5233,0.0000,2390.6631,6258.0000,0.0000,1037.8191
"BASE",2020,70,116.4116,640.2637,90.2429,84.9278,82.0569,75.3637,57.8270,47.6888,39.9950,36.4515,36.1726,28.2163,19.2757,15.3713,10.3678,6.98845,4.90504,4.4129,7.73511,0.0000,0.0000,0.0000,0.0000,7.73511,0.0000,54.1458,0.0000,62.8456,158.6892
"BASE",2020,71,10177.6917,42765.2182,3490.5129,3473.1976,3563.9200,3459.6941,3456.2776,2641.8894,2305.1341,2186.9176,2130.6918,2307.4988,2265.7435,2078.9882,1948.3035,1542.4541,1090.5200,1472.4447,7872.9218,629.5879,2862.0434,1593.4992,954.6045,1833.1868,0.0000,12657.3078,0.0000,327.0000,17816.4591
"BASE",2020,72,0.0000,41806.3780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BASE",2020,73,0.0000,236323.2509,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BASE",2020,74,8452.0000,34041.0000,4414.0000,4571.0000,4155.0000,3363.0000,2913.0000,2041.0000,2200.0000,2244.0000,1754.0000,1437.0000,1174.0000,973.0000,968.0000,771.0000,561.0000,502.0000,6885.0723,68.3430,2247.3546,906.6035,950.8569,2711.9143,0.0000,14447.4000,1150.0000,1459.1000,12519.9413
"BASE",2020,75,10723.5894,61061.0000,11999.0000,10842.0000,9459.0000,6219.0000,5077.0000,3556.0000,3265.0000,3067.0000,2623.0000,1951.0000,1147.0000,727.0000,478.0000,299.0000,200.0000,152.0000,7146.3494,0.0000,1095.6071,417.7120,335.4731,5297.5571,0.0000,35511.4000,450.0000,6913.5558,11521.9995
"BASE",2020,76,13651.6269,49318.4249,5457.2641,5295.2102,4937.3719,4691.9227,3933.5273,3028.6891,3233.1859,3238.6891,2925.4195,2728.2937,2371.0062,1901.9164,1670.7727,1387.9344,1016.6648,1500.5570,8092.3836,0.0000,3740.9953,1328.1715,864.9668,2158.2499,0.0000,14743.7493,0.0000,1282.0000,17569.8687
"BASE",2020,77,7705.0000,25627.0000,1987.0000,1918.0000,1914.0000,1816.0000,1797.0000,1603.0000,1534.0000,1544.0000,1436.0000,1457.0000,1419.0000,1400.0000,1441.0000,1435.0000,1298.0000,1628.0000,5302.9371,0.0000,2519.3433,1259.6246,600.4006,923.5686,0.0000,6401.9802,0.0000,182.0000,11892.4617
"BASE",2020,78,4793.0000,21699.0000,3240.0000,2903.0000,2225.0000,1426.0000,1678.0000,1666.0000,1611.0000,1266.0000,889.0000,791.0000,746.0000,779.0000,815.0000,727.0000,454.0000,483.0000,2929.4196,0.0000,1118.1451,406.5982,508.2478,896.4286,0.0000,6261.0000,0.0000,394.1750,8005.6474
"BASE",2020,79,12995.3083,53448.8119,8069.4871,7612.8024,6784.0800,5534.3059,4692.7224,3679.1106,3308.8659,3014.0824,2617.3082,2127.5012,1574.2565,1401.0118,1170.6965,891.5459,497.4800,473.5553,9607.9521,57.5634,2905.3131,1824.4891,1207.1961,3587.3846,26.0058,24054.6922,0.0000,2647.0994,18301.3260
"BASE",2020,8,757.0000,2422.4000,277.8078,119.9625,107.3348,86.2888,195.7282,288.3308,195.7282,183.1006,79.9750,79.9750,71.5566,115.7533,168.3684,166.2638,157.8454,128.3809,4636.8414,0.0000,1962.4837,1901.5361,682.7238,90.0978,0.0000,630.6847,0.0000,0.0000,1180.7782
"BASE",2020,80,0.0000,224268.0431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BASE",2020,82,2417.0000,9240.0000,1261.0000,1234.0000,1085.0000,820.0000,784.0000,618.0000,596.0000,520.0000,443.0000,350.0000,259.0000,272.0000,326.0000,229.0000,180.0000,263.0000,1750.4510,0.0000,616.8342,288.9127,236.4629,594.8000,13.4412,3995.6000,0.0000,237.0000,3400.6392
"BASE",2020,83,0.0000,444363.4803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BASE",2020,84,3007.0000,10769.0000,863.0000,1098.0000,1229.0000,940.0000,822.0000,610.0000,554.0000,667.0000,750.0000,748.0000,659.0000,603.0000,425.0000,339.0000,224.0000,238.0000,1783.3263,0.0000,698.3093,309.8294,236.6089,318.9173,219.6613,2225.4214,0.0000,76.0000,4912.8233
"BASE",2020,85,28287.8635,132978.1531,23096.2590,20601.7128,16846.4312,12149.5208,10437.8088,9535.5872,8174.8193,7203.3416,5812.3522,4850.2435,3748.1433,2937.9428,2411.7466,1869.4545,1427.0621,1875.7276,27166.3250,2999.1527,5783.4090,6090.9831,3928.6689,8318.0898,46.0215,56329.6286,0.0000,11148.8746,35724.8889
"BASE",2020,86,5691.9445,19985.4219,2044.4769,2253.0771,2291.1969,1544.5565,1419.6639,1226.7238,1075.9947,1269.9694,1313.2283,1273.4628,953.8505,865.1408,791.4807,649.6111,423.2731,589.7154,7227.8613,1679.6304,2163.9940,1149.7846,589.0195,1254.7235,390.7092,8741.0648,0.0000,229.0000,8614.4527
"BASE",2020,87,26359.0000,95932.0000,6401.4918,9212.1007,10815.2553,9559.7002,7272.7096,4283.7096,3883.6370,5116.7096,6881.0187,8489.5550,6889.9368,4751.6276,3709.7822,3095.3279,2457.1733,3112.2646,26796.9750,1406.0349,11211.2893,7400.7319,2077.9340,4600.9850,100.0000,32206.8951,0.0000,0.0000,43617.2955
"BASE",2020,88,17193.0175,90604.0000,17136.0000,16510.0000,13655.0000,9435.0000,6967.0000,4978.0000,5198.0000,4704.0000,3931.0000,2817.0000,1746.0000,1318.0000,780.0000,602.0000,444.0000,383.0000,12578.7282,0.0000,2685.0091,1287.8225,1133.0966,7472.8000,0.0000,49873.6000,0.0000,13403.1814,18638.9188
"BASE",2020,89,3107.0000,13487.0000,1739.0000,2109.0000,2040.0000,1326.0000,901.0000,658.0000,721.0000,946.0000,761.0000,745.0000,533.0000,376.0000,263.0000,192.0000,111.0000,66.0000,2352.4519,0.0000,678.7806,531.7066,302.6218,839.3429,0.0000,5861.4000,0.0000,35.0000,4906.8894
"BASE",2020,9,5544.3220,15405.8675,1384.6343,1021.9505,783.2084,679.9211,1241.5221,2358.5850,1715.7681,1204.1051,682.6843,542.4311,496.3858,583.2425,598.3997,652.0230,547.5875,913.4189,4377.8593,0.0000,2402.3074,686.9965,517.5030,771.0524,0.0000,2038.7806,819.3200,1162.6063,7623.4670
