"Scenario","year","supertaz","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BASE",2020,1,49836.2973,161848.1968,19459.3213,15648.6553,13594.2604,17609.8948,16168.7365,15814.1308,10863.3886,8616.3890,6464.6195,5487.8097,5010.3434,5126.9362,4938.0996,4598.3937,4205.5075,8241.7107,96707.9036,540.8255,35327.6108,24879.6794,19681.1595,16278.6283,0.0000,72304.2274,17351.0200,27145.4617,49759.3391
"BASE",2020,10,36986.8081,163732.5751,26003.7359,23952.7898,20366.6281,14634.0773,12679.4727,11372.3109,9804.8141,9140.3109,7875.5805,6871.7063,5360.9938,4406.0836,3628.2273,2858.0656,2074.3352,2703.4430,36177.5126,4678.7831,8645.7123,7550.5972,4754.2973,9891.7307,656.3921,67296.1147,0.0000,11453.8746,49252.1649
"BASE",2020,11,43552.0175,186536.0000,23537.4918,25722.1007,24470.2553,18994.7002,14239.7096,9261.7096,9081.6370,9820.7096,10812.0187,11306.5550,8635.9368,6069.6276,4489.7822,3697.3279,2901.1733,3495.2646,39375.7032,1406.0349,13896.2984,8688.5544,3211.0306,12073.7850,100.0000,82080.4951,0.0000,13403.1814,62256.2143
"BASE",2020,12,8814.0000,252046.9948,5992.0000,5453.0000,4382.0000,2887.0000,3013.0000,2856.0000,2634.0000,2178.0000,1794.0000,1462.0000,1179.0000,1204.0000,1173.0000,980.0000,580.0000,628.0000,6182.3757,0.0000,2333.5830,1027.8844,902.5940,1918.3143,0.0000,13190.2000,0.0000,1343.2744,13443.6603
"BASE",2020,13,9988.0000,241790.1174,5964.0000,5991.0000,5497.0000,4469.0000,3525.0000,2626.0000,2433.0000,2438.0000,1893.0000,1739.0000,1307.0000,1075.0000,845.0000,680.0000,434.0000,338.0000,7282.7267,57.5634,1830.9739,1477.1684,989.5353,2927.4857,0.0000,19659.4000,0.0000,1573.0000,14236.2493
"BASE",2020,14,12716.0000,63541.0784,4723.0000,4809.0000,4841.0000,4456.0000,4264.0000,3241.0000,2965.0000,2877.0000,2755.0000,2808.0000,2683.0000,2421.0000,2233.0000,1753.0000,1188.0000,1557.0000,9582.7477,629.5879,3484.8528,1915.0860,1144.3866,2382.8286,26.0058,16441.8000,0.0000,533.0000,21837.9868
"BASE",2020,15,0.0000,41806.3780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"BASE",2020,16,8452.0000,270364.2509,4414.0000,4571.0000,4155.0000,3363.0000,2913.0000,2041.0000,2200.0000,2244.0000,1754.0000,1437.0000,1174.0000,973.0000,968.0000,771.0000,561.0000,502.0000,6885.0723,68.3430,2247.3546,906.6035,950.8569,2711.9143,0.0000,14447.4000,1150.0000,1459.1000,12519.9413
"BASE",2020,17,10723.5894,62506.5588,11999.0000,10842.0000,9459.0000,6219.0000,5077.0000,3556.0000,3265.0000,3067.0000,2623.0000,1951.0000,1147.0000,727.0000,478.0000,299.0000,200.0000,152.0000,7146.3494,0.0000,1095.6071,417.7120,335.4731,5297.5571,0.0000,35511.4000,450.0000,6913.5558,11521.9995
"BASE",2020,18,2417.0000,452157.9214,1261.0000,1234.0000,1085.0000,820.0000,784.0000,618.0000,596.0000,520.0000,443.0000,350.0000,259.0000,272.0000,326.0000,229.0000,180.0000,263.0000,1750.4510,0.0000,616.8342,288.9127,236.4629,594.8000,13.4412,3995.6000,0.0000,237.0000,3400.6392
