"Scenario","year","nafanum","hh_total","pop","age0_4","age5_9","age10_14","age15_19","age20_24","age25_29","age30_34","age35_39","age40_44","age45_49","age50_54","age55_59","age60_64","age65_69","age70_74","age75up","emp_tot","indus","com_hotel","business","public","education","agri","student","univ","UO_Hi_Ed","pop_emp_employed"
"BASE",2020,10,27691.0000,100804.0000,6872.4918,9721.1007,11423.2553,9941.7002,7712.7096,4671.7096,4110.6370,5317.7096,7160.0187,8783.5550,7135.9368,5038.6276,3937.7822,3245.3279,2546.1733,3185.2646,27806.3162,1406.0349,11405.8945,7562.9029,2272.5392,4961.6422,197.3026,34731.4951,0.0000,0.0000,45729.1465
"BASE",2020,16,104344.0950,3212332.7793,67496.9031,66209.4856,57404.6286,41044.6245,38740.1561,29064.6853,27508.8299,26737.7395,22956.1208,19151.0912,14812.3846,12609.5908,11292.3854,9078.1783,6532.9129,6252.8833,82677.9336,7296.5787,20211.0488,13208.5551,8203.9891,33263.0917,494.6703,202899.1418,16641.0000,28107.1955,149183.6021
"BASE",2020,2,343040.0784,1246724.0487,155528.5016,138920.8053,125515.8305,124559.8562,111509.2389,95772.5162,77705.2616,69118.3842,59461.4277,52795.6239,45303.4552,41459.5890,38261.1084,34007.7760,29013.8455,46734.4524,372399.8208,12574.4358,118242.1038,95214.3615,61622.7685,83813.8551,932.2960,476926.1009,64543.7000,88118.8975,375842.2177
"BAU",2025,10,31821.0000,129248.3459,10837.8951,13024.4059,13116.4369,11207.7446,10016.7890,7074.3777,6750.0079,7722.6774,8488.6813,9160.9068,8201.0223,6559.9531,5518.5277,4500.6953,3151.4729,3916.7519,33535.9468,1763.2570,13568.1267,8980.8196,2716.5605,6299.4741,207.7090,44096.3186,0.0000,0.0000,58066.2901
"BAU",2025,16,118154.2882,3569240.5852,79229.6022,71138.0463,68272.0610,63051.3968,48577.9328,39305.6358,29495.6524,29199.5167,27354.5144,23394.7529,18951.6723,14145.3100,11966.1277,10611.3386,8411.0060,10709.0495,95690.6536,7854.7845,22235.6074,14447.0315,9053.3210,41513.5681,586.3411,256119.5730,19251.1360,36564.5789,173488.0156
"BAU",2025,2,358833.9046,1377190.0524,172599.0683,150842.1268,135997.7620,145347.5785,126579.8827,104671.3038,86300.9805,73250.3442,66338.8863,57615.0998,51520.0863,43532.6909,40074.3018,35762.4493,30921.1840,54684.8572,398906.5829,13943.0044,123766.7231,101628.2801,64252.6113,94348.5434,967.4206,534851.8336,74667.3604,102981.4316,405984.8963
"BAU",2030,10,36361.0000,148312.3459,12723.9970,15301.5758,15257.9694,12849.5669,11254.7372,7932.8909,7802.7663,9057.1016,9916.6010,10584.8672,9308.1562,7298.3733,6082.1272,5013.4925,3547.7899,4380.3335,41182.7150,2546.8456,16904.9780,10908.4039,3260.1313,7334.0001,228.3562,51338.0005,0.0000,0.0000,66297.0363
"BAU",2030,16,134469.2752,3910563.4944,94185.2380,82162.8482,71596.1138,73086.0340,63767.8331,46504.3866,37981.3157,30763.2944,29463.0761,26996.6853,22922.1114,18321.6722,13469.6560,11147.8317,9578.7636,15510.4472,108113.4521,8825.6169,25089.4228,16236.5053,10180.3729,47086.8916,694.6426,289930.8525,22137.0711,45146.0717,202428.3623
"BAU",2030,2,396950.5165,1548697.4633,189093.2307,171196.4534,150419.0366,164905.2888,139980.1296,117623.5923,97838.7090,84345.5247,72307.4648,65949.2320,57510.1943,51199.3561,42992.2101,39028.4947,34051.9268,69024.5679,451699.2098,16545.6143,138045.6525,118751.5622,72069.5521,105254.1232,1032.7055,592800.5780,85860.7342,124523.5915,457297.8343
"BAU",2035,10,43401.0000,177876.3459,15649.9013,18834.1733,18579.7141,15395.6275,13173.6997,9263.6211,9435.5543,11127.1624,12131.5856,12793.3597,11024.7231,8442.7151,6955.2887,5808.2102,4162.1548,5098.8550,50865.4114,3478.1505,20966.9894,13284.6888,3937.8242,8945.2072,252.5514,62616.4504,0.0000,0.0000,79059.9419
"BAU",2035,16,153166.6781,4249762.4263,110981.0818,96649.4587,82602.6324,77581.9198,73687.5189,58790.0760,44911.3164,38544.1324,31010.5864,28976.8377,26394.3886,22074.3703,17408.5602,12551.4248,10133.2801,19253.4496,123695.9616,10534.4808,28369.1671,18414.1430,11504.8722,54083.3131,789.9854,333269.4731,25219.1384,55022.2076,236107.3931
"BAU",2035,2,436010.1723,1729420.8009,205674.3892,187465.5890,170463.3950,183777.9950,157392.7705,129166.5154,109923.5634,95559.8300,83268.2201,71818.3293,65614.4040,57173.5382,50612.0202,42034.3635,37312.4506,80857.4529,510885.3689,20240.6683,153371.9023,138339.6563,81006.0704,116844.6470,1082.4247,654072.8509,97814.8252,148330.2733,515391.1779
"BAU",2040,10,49441.0000,203240.3459,18159.8846,21864.5998,21429.3738,17579.9928,14820.2566,10405.4644,10836.3304,12902.9685,14031.7443,14688.0393,12497.5169,9424.6883,7704.6254,6490.1597,4689.3006,5715.4006,59913.0452,4448.5312,24858.3512,15457.4668,4530.1707,10340.8400,277.6852,72385.8801,0.0000,0.0000,90009.9838
"BAU",2040,16,172790.5547,4589360.3044,128111.4365,113018.0943,96575.7293,89227.6869,78296.7170,67693.0772,55681.8153,45469.6640,38263.3254,30490.8551,28263.7520,25385.2945,20904.9401,16203.9295,11432.7718,22527.1479,141066.6870,12457.3490,31706.7124,20647.3475,12942.7715,62454.9152,857.5914,387152.9860,27851.5681,65025.8324,272804.9683
"BAU",2040,2,475634.4028,1922290.0111,225549.3837,203865.0404,186627.6379,207425.2688,172572.5158,144018.2473,120081.1525,107417.7211,94329.2494,82666.1115,71413.5299,65082.5661,56605.2445,49587.4209,40417.6444,93260.0038,573263.1214,24156.6684,168384.0186,160578.6053,90613.7753,128412.1924,1117.8613,718345.6227,108024.9540,170438.4852,575998.8573
"BAU",2045,10,50013.6642,199657.3895,15135.6098,18130.2142,19105.9850,17376.4292,16811.6337,11961.4667,10107.9073,10838.3715,12130.5440,13745.0268,13241.2799,11413.8268,9923.5797,7796.3632,5251.0762,6688.0756,64904.2395,5303.0917,27498.9604,16671.1336,4790.1767,10340.8400,300.0371,72385.8801,0.0000,0.0000,91564.1670
"BAU",2045,16,203259.0963,4936373.2484,144337.3433,129806.9288,112264.9287,103492.8797,90012.7386,72314.4041,64040.8021,55550.3624,44957.9386,37216.2260,29770.9824,27232.8408,24129.3707,19477.5209,14787.6152,26084.0588,164002.9440,14302.4596,36850.1013,23897.1076,15118.3159,72842.8127,992.1468,454375.2800,30912.2310,76322.1665,309052.6782
"BAU",2045,2,513426.0210,2130701.3111,247259.5768,223336.0533,202881.3726,227936.8375,193622.7566,156963.9051,133586.5226,117049.2313,106056.3228,93642.1143,82136.2633,70782.2045,64252.7423,55523.2984,47892.9703,106334.9307,635045.8125,27561.2603,183577.8290,180973.0021,100170.9479,141624.7001,1138.0732,791394.9945,119896.0257,195053.3246,644031.5295
"BAU",2050,10,50586.3283,200562.1790,14556.3458,17410.0402,18726.4405,17480.6550,17427.5067,12432.4070,10024.9664,10447.3497,11789.2919,13643.4250,13532.2602,11981.9135,10532.7074,8172.0452,5429.2681,6975.5565,71819.4629,6503.3030,31165.6678,18338.5209,5140.4400,10340.8400,330.6912,72385.8801,0.0000,0.0000,92731.6243
"BAU",2050,16,228806.1296,5308553.2846,161217.0246,146173.9512,128850.2218,119701.4574,103023.1879,83007.6052,68521.5765,63825.8810,54632.6703,43813.1292,36133.2071,28657.2302,25752.3024,22344.7525,17700.9057,31275.0007,184502.3588,16470.5866,41016.3490,26474.8090,16877.7528,82582.6742,1080.1873,516388.1211,34354.7408,90873.7886,350856.5802
"BAU",2050,2,559881.4268,2351813.8849,269531.2860,244389.8324,222001.6561,248939.6734,211322.9142,175058.3642,145232.1270,129985.7651,115385.5741,105265.3384,93005.2992,81324.8443,69785.2238,62841.4609,53779.6499,122445.7551,707097.9685,32173.2506,202506.7896,204155.6675,112163.8339,154902.3581,1196.0688,862508.4555,133248.1273,221859.2512,719245.5946
"IPLAN",2025,10,31821.0000,129248.3459,10837.8951,13024.4059,13116.4369,11207.7446,10016.7890,7074.3777,6750.0079,7722.6774,8488.6813,9160.9068,8201.0223,6559.9531,5518.5277,4500.6953,3151.4729,3916.7519,33148.9484,1696.4975,13369.9447,8893.1874,2699.1281,6284.0853,206.1055,43988.5969,0.0000,0.0000,58066.2901
"IPLAN",2025,16,114259.8701,3549744.9514,76028.0893,68784.0528,66401.0376,61328.8373,46457.3171,37010.7993,28027.2114,28068.0188,26468.6817,22760.1520,18519.8514,13840.0975,11687.5872,10327.9487,8182.2932,10426.0062,92829.1600,7744.1626,21516.6789,13989.6979,8749.0198,40290.0146,539.5863,248272.9614,18853.7139,35448.4937,166923.8239
"IPLAN",2025,2,355346.2641,1365369.2663,170722.4456,149543.7853,135027.1480,143866.5317,125175.8951,103487.1223,85403.0163,72572.4660,65811.7345,57230.2317,51234.6482,43323.7850,39892.8031,35606.9785,30799.2091,54520.0161,394684.7842,13737.5529,122662.5935,100320.9041,63738.3559,93284.3161,941.0617,529939.9662,73125.9213,100128.2107,402463.8985
"IPLAN",2030,10,36361.0000,148312.3459,12723.9970,15301.5758,15257.9694,12849.5669,11254.7372,7932.8909,7802.7663,9057.1016,9916.6010,10584.8672,9308.1562,7298.3733,6082.1272,5013.4925,3547.7899,4380.3335,40081.9246,2351.8537,16326.1257,10652.4468,3209.2145,7318.6113,223.6727,51230.2788,0.0000,0.0000,66297.0363
"IPLAN",2030,16,123946.2944,3857548.8343,85312.9753,75398.7312,66633.6863,68436.0843,58196.7591,41211.8736,33447.3101,27784.0887,27104.2924,25162.3890,21605.5618,17369.1499,12750.8879,10487.2155,8969.3309,14572.3112,100476.4881,8493.5770,23146.0796,15031.0253,9366.6881,43852.9511,586.1670,269206.2341,21071.3793,42050.2930,184948.2443
"IPLAN",2030,2,386169.1531,1509965.5929,183113.2776,166617.1920,147158.1110,160486.4100,135872.6809,113833.4111,94743.8867,81987.5739,70560.2747,64602.5455,56490.3686,50400.4050,42376.5593,38499.5122,33628.8991,68362.4338,438358.1306,15928.0459,134581.6016,114469.1875,70279.9169,102127.8661,971.5125,577685.9472,81727.3472,116932.5783,445669.2445
"IPLAN",2035,10,43401.0000,177876.3459,15649.9013,18834.1733,18579.7141,15395.6275,13173.6997,9263.6211,9435.5543,11127.1624,12131.5856,12793.3597,11024.7231,8442.7151,6955.2887,5808.2102,4162.1548,5098.8550,48915.3996,3131.0784,19936.6724,12829.1028,3847.1958,8927.1351,244.2151,62489.9457,0.0000,0.0000,79059.9419
"IPLAN",2035,16,135625.8437,4159486.3314,95929.4190,84350.9854,73359.2009,69989.1075,65642.5714,50298.4105,37786.3296,32645.3444,27019.4111,25822.1389,23937.0496,20254.9921,16028.4134,11492.1580,9216.4540,17502.9531,110230.1907,9821.0866,25152.3469,16397.7028,10159.5517,48063.5356,635.9670,294176.5997,23519.6220,49746.1712,206689.1794
"IPLAN",2035,2,417059.7345,1656249.7134,194730.3810,178358.1521,163538.9982,175871.2649,150485.5319,122698.3427,104174.7422,90858.2513,79696.5088,69172.9867,63540.9951,55550.4326,49307.2416,41035.0798,36484.6423,79440.1878,486851.5128,18984.8346,147357.7843,130801.3101,77715.2786,110990.1631,1002.1420,623872.5527,91223.0893,135933.3677,493468.4820
"IPLAN",2040,10,49441.0000,203240.3459,18159.8846,21864.5998,21429.3738,17579.9928,14820.2566,10405.4644,10836.3304,12902.9685,14031.7443,14688.0393,12497.5169,9424.6883,7704.6254,6490.1597,4689.3006,5715.4006,56798.3855,3895.2323,23215.8300,14731.1761,4385.6918,10306.0598,264.3955,72142.4187,0.0000,0.0000,90009.9838
"IPLAN",2040,16,147665.1652,4454403.0272,106410.5910,94203.6420,81601.8379,77007.6246,67575.6900,56638.3300,45199.7122,36841.9257,31336.7927,25755.1948,24531.0448,22423.1079,18636.1578,14436.3493,10121.5440,19869.4150,121166.7376,11270.4999,27219.1057,17839.7432,10994.0257,53154.0087,689.3544,326518.7030,25346.3761,56599.2383,229616.7231
"IPLAN",2040,2,443600.1575,1793008.2170,206738.1021,187917.1871,173752.2702,193374.2639,160973.2767,133326.3425,110398.2892,99004.5103,87631.8308,77599.9444,67641.4802,62041.0946,54143.9216,47607.2646,38943.5612,90543.6043,531556.1991,21992.1426,158001.2234,147537.3230,84559.4246,118455.2133,1010.8721,664491.4084,98308.3286,151536.3492,537414.1913
