code,year,full_code,population,employment
2020,2020,410,1016532.04872582,324439.83762499696
2020,2020,444,217562.849842,45469.75800668197
2020,2020,445,724541.6305892002,32613.755828374993
2020,2020,0,2079505.0928640002,26499.258466490006
2020,2020,142,107558.9670758,28651.453515240002
2020,2020,145,414160.2389159998,25210.0071165
2025_BAU,2025,410,1093024.790263367,342408.1266211332
2025_BAU,2025,444,270151.1533533,53890.425733505996
2025_BAU,2025,445,806093.0681332998,37156.279411434996
2025_BAU,2025,142,136443.17424300002,34525.692788609995
2025_BAU,2025,0,2302339.9025096004,31138.158287694005
2025_BAU,2025,145,467626.8949290002,29014.500459400002
2030_BAU,2030,410,1197137.5908489074,382602.94477094297
2030_BAU,2030,444,336947.04867930006,66424.82606400101
2030_BAU,2030,445,883772.3569619001,42298.23664923499
2030_BAU,2030,142,156561.47511300002,42318.34775354
2030_BAU,2030,0,2513416.562395199,34954.29587517199
2030_BAU,2030,145,519738.26953800005,32396.725849600003
2035_BAU,2035,410,1307976.6157758406,426972.6738760137
2035_BAU,2035,444,406632.9559041999,81222.40943060996
2035_BAU,2035,445,967448.9618833004,49200.81665338999
2035_BAU,2035,142,187570.92557700005,52206.03373674
2035_BAU,2035,0,2712152.187589801,38874.569247868996
2035_BAU,2035,145,575277.92642,36970.23892040001
2040_BAU,2040,410,1451418.1746907611,478330.4620179428
2040_BAU,2040,444,455486.1989908,92170.70018324406
2040_BAU,2040,445,1056532.2018911,57446.12159524001
2040_BAU,2040,142,213846.74161400003,61335.60851223999
2040_BAU,2040,0,2911712.204475499,43795.778608160006
2040_BAU,2040,145,625895.139765,41164.1826727
2045_BAU,2045,410,1639086.7355329487,528340.3106373929
2045_BAU,2045,444,476544.15590920014,103891.72324776999
2045_BAU,2045,445,1147415.6919849003,67627.68942509001
2045_BAU,2045,142,211697.75692999997,66513.21363054
2045_BAU,2045,0,3109096.8137221998,49956.250309227005
2045_BAU,2045,145,682890.794906,47623.80875209998
2050_BAU,2050,410,1806237.1719714985,581689.646056487
2050_BAU,2050,444,529652.2100754001,122515.38443141998
2050_BAU,2050,445,1233904.2062477998,75787.50398143001
2050_BAU,2050,142,214113.451143,73582.31386014001
2050_BAU,2050,0,3333345.237171001,56570.11769437899
2050_BAU,2050,145,743677.071881,53274.82419549999
2025_IPLAN,2025,410,1086668.1973906641,338986.2102159073
2025_IPLAN,2025,444,265215.6125081,53182.617049441986
2025_IPLAN,2025,445,798167.4654164998,36089.32230093498
2025_IPLAN,2025,142,135949.618441,34049.04304991
2025_IPLAN,2025,0,2294834.1045259,30040.862682965006
2025_IPLAN,2025,145,463527.5652660001,28314.837240000004
2030_IPLAN,2030,410,1177496.4221102828,372025.60965954495
2030_IPLAN,2030,444,319043.99260329996,63847.18817734501
2030_IPLAN,2030,445,861919.9384156001,39356.083736434986
2030_IPLAN,2030,142,155387.133911,41033.452382040006
2030_IPLAN,2030,0,2493715.040024899,32172.65973638
2030_IPLAN,2030,145,508264.24597200006,30481.549620499998
2035_IPLAN,2035,410,1266392.5217560215,408151.67196122813
2035_IPLAN,2035,444,376546.2109051,76248.03132557998
2035_IPLAN,2035,445,929061.1236389002,43717.84469333997
2035_IPLAN,2035,142,185767.673087,50004.104268539995
2035_IPLAN,2035,0,2680207.9776585004,34150.808029083
2035_IPLAN,2035,145,555636.8835930001,33724.642770800005
2040_IPLAN,2040,410,1366529.645093592,445496.55647723295
2040_IPLAN,2040,444,413050.5122563,83608.95381650398
2040_IPLAN,2040,445,999710.382228,49298.21459177999
2040_IPLAN,2040,142,211867.63664400004,57978.34585674
2040_IPLAN,2040,0,2859900.851062199,36334.69614090299
2040_IPLAN,2040,145,599592.562751,36804.5552731
2045_IPLAN,2045,410,1366529.645093592,445496.55647723295
2045_IPLAN,2045,444,413050.5122563,83608.95381650398
2045_IPLAN,2045,445,999710.382228,49298.21459177999
2045_IPLAN,2045,142,211867.63664400004,57978.34585674
2045_IPLAN,2045,0,2859900.851062199,36334.69614090299
2045_IPLAN,2045,145,599592.562751,36804.5552731
2050_IPLAN,2050,410,1625015.494321,516771.254061245
2050_IPLAN,2050,444,464777.7806448001,104060.06302487997
2050_IPLAN,2050,445,1125363.7492569997,60591.94124803998
2050_IPLAN,2050,142,211846.61012499998,66562.60708574
2050_IPLAN,2050,0,3232557.8861120013,42827.212518160006
2050_IPLAN,2050,145,706245.211128,47058.6111773
