code,year,MahozNum,population,employment
2020,2020,1,1246724.04872382,372399.8207997793
2020,2020,7,3209618.779289,82440.82231880497
2020,2020,4,103518.0,28043.4274397
2025_BAU,2025,1,1377190.052360668,398906.58294193936
2025_BAU,2025,7,3565958.3300288995,95389.55941016901
2025_BAU,2025,4,132530.601042,33837.04094967
2030_BAU,2030,1,1548697.4632832077,451699.20983334404
2030_BAU,2030,7,3906897.4698751,107762.52213514705
2030_BAU,2030,4,151978.37037800002,41533.644994
2035_BAU,2035,1,1729420.8009480394,510885.3688768237
2035_BAU,2035,7,4245335.3529411005,123249.08330339899
2035_BAU,2035,4,182303.41926100003,51312.28968479999
2040_BAU,2040,1,1922290.011146562,573263.1214159871
2040_BAU,2040,7,4584302.071008602,140566.75099074008
2040_BAU,2040,4,208298.57927200003,60412.9811828
2045_BAU,2045,1,2130701.311114149,635045.8125279628
2045_BAU,2045,7,4930387.464402101,163399.15860145705
2045_BAU,2045,4,205643.17346899997,65508.02487269999
2050_BAU,2050,1,2351813.8849218977,707097.9684750072
2050_BAU,2050,7,5301394.431647798,183791.90307794895
2050_BAU,2050,4,207721.03191999998,72529.91866640002
2025_IPLAN,2025,1,1365369.2662617646,394684.78419054946
2025_IPLAN,2025,7,3546579.6124244,92557.66088833997
2025_IPLAN,2025,4,132413.684862,33420.44746027001
2030_IPLAN,2030,1,1509965.5928665819,438358.1305968899
2030_IPLAN,2030,7,3854185.1093115006,100178.33283915502
2030_IPLAN,2030,4,151676.070859,40380.079876200005
2035_IPLAN,2035,1,1656249.7134151221,486851.5127686084
2035_IPLAN,2035,7,4155575.2820534008,109853.386217463
2035_IPLAN,2035,4,181787.39517,49292.2040625
2040_IPLAN,2040,1,1793008.2170108925,531556.1991324371
2040_IPLAN,2040,7,4450004.836691201,120744.03766102302
2040_IPLAN,2040,4,207638.53633300003,57221.0853628
2045_IPLAN,2045,1,1793008.2170108925,531556.1991324371
2045_IPLAN,2045,7,4450004.836691201,120744.03766102302
2045_IPLAN,2045,4,207638.53633300003,57221.0853628
2050_IPLAN,2050,1,2103287.2316598003,623345.9922363253
2050_IPLAN,2050,7,5055912.388829999,148873.54372804
2050_IPLAN,2050,4,206607.111098,65652.153151
2025_JTMT,2025,1,1447032.7097111722,420937.30239654484
2025_JTMT,2025,7,3542676.3301959997,94549.35102543003
2025_JTMT,2025,4,132087.845864,36010.79725157
2030_JTMT,2030,1,1643398.933960501,480368.43752266146
2030_JTMT,2030,7,3864979.3742587017,107316.24853765401
2030_JTMT,2030,4,151151.845864,43803.843617900005
2035_JTMT,2035,1,1875849.9857827986,552109.5205741109
2035_JTMT,2035,7,4169966.4117438,121131.95088105094
2035_JTMT,2035,4,181147.845864,54050.733657200006
2040_JTMT,2040,1,2102013.8342538,624385.976444409
2040_JTMT,2040,7,4486025.634387898,139606.73003417402
2040_JTMT,2040,4,206943.84586400003,63415.93827599999
2045_JTMT,2045,1,2304591.155992299,703981.0135868012
2045_JTMT,2045,7,4742339.250104899,154157.8892200891
2045_JTMT,2045,4,204080.88950099997,70695.725871
2050_JTMT,2050,1,2408013.417599401,750351.358602071
2050_JTMT,2050,7,5046753.3752123,167891.2460557281
2050_JTMT,2050,4,205705.67900499998,76175.4213061
