"scenario","year","ravtaz","pop","hh","hhsize","empd","empi","empe","emp","school","yeshiva","college","ind","htl","bsn","pub","edu","agr"
"base",2015,1,7593.8890,3367.1919,35.2459,0.0000,0.0000,0.0000,31029.5024,1742.0000,68.0000,2909.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,10,20734.9212,4964.5135,33.4942,0.0000,0.0000,0.0000,9402.9974,13816.0000,5345.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,100,6192.4913,1181.8924,26.0000,275.3857,200.0000,181.7857,657.1715,2726.7862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,11,1904.3488,1100.3571,3.46133,0.0000,0.0000,0.0000,7809.5341,0.0000,0.0000,20186.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,12,16965.5200,3572.4000,19.0127,0.0000,0.0000,0.0000,1438.9678,4446.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,13,27609.2881,6638.5650,25.4535,0.0000,0.0000,0.0000,3793.1500,7805.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,14,8684.7242,2112.2251,19.3928,0.0000,0.0000,0.0000,5125.3000,2875.0000,64.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,15,6518.7562,2525.7053,11.8778,0.0000,0.0000,0.0000,3985.6831,1134.0000,23.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,2,33394.2921,7014.2379,60.8174,0.0000,0.0000,0.0000,10527.9772,21273.0000,14861.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,22,18814.8118,3743.3709,15.0943,0.0000,0.0000,0.0000,1400.6300,4075.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,23,21149.7560,4443.3315,14.2797,0.0000,0.0000,0.0000,1464.8300,4410.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,24,29169.2784,5433.2813,16.1070,0.0000,0.0000,0.0000,1364.2500,2881.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,25,24788.3494,4872.9452,20.1775,0.0000,0.0000,0.0000,1758.0100,5834.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,26,21035.5661,4571.5247,17.9505,0.0000,0.0000,0.0000,1989.1300,8289.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,3,2425.4000,515.0797,40.0587,0.0000,0.0000,0.0000,12649.1709,5748.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,31,1065.0000,286.0246,10.7854,0.0000,0.0000,0.0000,15581.8643,485.0000,34.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,32,16054.8530,5752.4869,31.0106,0.0000,0.0000,0.0000,3071.5800,1968.0000,320.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,33,14994.2535,5183.7236,17.1550,0.0000,0.0000,0.0000,1884.0801,1937.5000,47.0000,129.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,34,22475.8294,6012.0000,14.9505,0.0000,0.0000,0.0000,1179.6429,3805.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,35,15721.2355,4743.3779,16.8604,0.0000,0.0000,0.0000,1632.7986,2366.0000,121.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,36,16392.2683,4892.1309,23.8137,0.0000,0.0000,0.0000,1648.4099,1602.0000,82.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,37,13617.3680,3332.8251,33.1460,0.0000,0.0000,0.0000,1272.2300,3159.0000,74.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,38,17761.0350,6108.6487,27.0210,0.0000,0.0000,0.0000,2743.5190,3975.0000,434.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,39,15714.7998,6902.7494,21.1350,0.0000,0.0000,0.0000,3294.3834,3007.0000,44.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,4,36322.7400,7135.2420,19.2721,0.0000,0.0000,0.0000,10925.0317,6831.0000,1482.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,40,14842.7805,5409.6634,30.4442,0.0000,0.0000,0.0000,5836.9793,4875.0000,368.0000,1129.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,41,16860.4567,4270.1741,28.1083,0.0000,0.0000,0.0000,4964.7572,10037.0000,4242.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,42,7578.1949,2016.7594,7.47449,0.0000,0.0000,0.0000,6481.9744,3367.0000,1083.0000,5185.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,43,5921.5994,2267.7026,5.18639,0.0000,0.0000,0.0000,741.1435,892.0000,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,44,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7667.5927,0.0000,0.0000,1200.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,45,13437.8717,4087.6596,23.8125,0.0000,0.0000,0.0000,1385.8480,1720.0000,375.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,46,25451.9970,8742.3588,22.9329,0.0000,0.0000,0.0000,3536.8822,2935.0000,498.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,47,15847.1232,4854.3743,16.9851,0.0000,0.0000,0.0000,1656.0443,2805.0000,124.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,48,3458.0000,1323.0000,12.8532,0.0000,0.0000,0.0000,7602.5047,103.0000,0.0000,3528.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,143.5619,1238.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,5,2242.4511,1014.4642,18.7572,0.0000,0.0000,0.0000,7355.1586,41.0000,266.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,50,17230.4698,6795.2806,18.2110,0.0000,0.0000,0.0000,3503.8594,3318.0000,179.0000,3165.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,51,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13274.5056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,52,24741.2938,5124.8281,41.3689,0.0000,0.0000,0.0000,4257.4073,9059.0000,2205.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,53,38300.6184,6664.7951,76.3210,0.0000,0.0000,0.0000,10740.8428,19475.0000,9572.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,54,19303.6221,4765.1146,25.2696,0.0000,0.0000,0.0000,3196.4736,7759.0000,2147.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16715.2832,1697.0000,1039.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,56,16319.5224,3429.3050,18.5968,0.0000,0.0000,0.0000,2517.8801,5624.0000,2649.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,57,2380.3784,670.8750,7.11172,0.0000,0.0000,0.0000,407.7984,87.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,58,18631.6656,4009.0084,37.3512,0.0000,0.0000,0.0000,2518.3302,3865.0000,388.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,59,27274.7656,4848.7488,34.4018,0.0000,0.0000,0.0000,3058.3275,12032.5000,3082.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,6,10271.2660,5408.0684,21.3992,0.0000,0.0000,0.0000,8003.1964,3084.0000,177.0000,104.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,60,16945.0682,2456.7303,26.9151,0.0000,0.0000,0.0000,1030.0373,6541.0000,1358.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
