"scenario","year","supertaz","pop","hh","hhsize","empd","empi","empe","emp","school","yeshiva","college","ind","htl","bsn","pub","edu","agr"
"base",2015,1,125390.3091,35264.7807,262.2902,0.0000,0.0000,0.0000,114889.5779,56088.0000,23679.0000,9211.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,10,31017.2976,27944.8595,46.7493,120.2149,200.0000,84.7752,3370.7501,6954.6285,54.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,11,161919.1466,35199.5677,112.7646,2818.2940,250.0000,2566.0274,15820.6464,65226.9107,5566.1484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,12,240437.5975,7102.9848,48.8757,1613.0384,500.0000,908.7136,3136.9911,13630.7046,775.8755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,13,218176.2761,6089.5369,52.2000,1369.8160,500.0000,927.3738,2797.1898,13910.6070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,14,62344.7064,12179.7592,86.9617,612.0469,50.0000,259.5417,8540.0904,14330.6261,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,15,46227.3510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,16,242418.8689,5942.6954,37.0793,1188.5391,800.0000,760.6978,2749.2369,11410.4669,86.0180,1762.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,17,51503.0172,8441.5237,65.9513,1688.3047,0.0000,1753.5117,3441.8164,26302.6757,4288.6734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,18,401612.7683,1545.0530,16.1000,369.1424,0.0000,210.1031,579.2456,3151.5471,601.2547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,19,284743.4372,1181.8924,26.0000,275.3857,200.0000,181.7857,657.1715,2726.7862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2015,2,61682.6373,15949.2526,79.1981,0.0000,0.0000,0.0000,22152.6350,16260.0000,87.0000,20186.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
