"scenario","year","nafanum","Pop_Forecast","Total_Aprt","Average","Total_Emp","Total_Students","EmployedEducation","Yeshiva","Total Higher_Education","Industry","Commerce_Hotel","Business","Public"
"base",2020,10,97123.7353,25446.6717,66.9461,14200.1365,29073.3424,2422.7785,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,16,3198689.2228,639038.1358,1284.0323,96313.2934,168012.7794,14001.0650,14922.0782,17644.1500,0.0000,0.0000,0.0000,0.0000
"base",2020,2,1285170.1955,319492.0585,1691.9839,352015.8467,379265.0836,31605.4236,77280.3731,40911.3950,0.0000,0.0000,0.0000,0.0000
"base",2025,10,106822.6211,28525.2717,73.0957,17076.7333,34023.9425,2835.3285,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,16,3527718.3568,704271.9276,1279.7099,106618.8839,182824.9446,15235.4120,18545.0872,18573.7113,0.0000,0.0000,0.0000,0.0000
"base",2025,2,1431525.3022,352126.2427,1760.1902,385510.6931,424818.0581,35401.5048,81087.1705,43190.9506,0.0000,0.0000,0.0000,0.0000
"base",2030,10,124989.0906,33915.2717,87.0418,20065.4165,38433.4624,3202.7885,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2030,16,3859548.3677,771779.7804,1281.0019,119800.5291,208208.3963,17350.6997,20662.2776,19553.3021,0.0000,0.0000,0.0000,0.0000
"base",2030,2,1655319.0035,398312.4741,1870.8040,424272.0381,494918.6854,41243.2238,87014.1225,48132.5838,0.0000,0.0000,0.0000,0.0000
"base",2035,10,152033.9445,41915.2717,89.9927,23745.7328,48113.5530,4009.4627,144.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2035,16,4190200.1027,839807.6129,1278.4297,135580.2048,247264.0807,20605.3401,23395.6840,20585.6904,0.0000,0.0000,0.0000,0.0000
"base",2035,2,1866187.1984,446215.5305,1905.7387,466599.6433,560814.5264,46734.5439,94138.8016,50751.1024,0.0000,0.0000,0.0000,0.0000
"base",2040,10,186188.3628,51615.2717,89.6685,27255.0216,55300.6983,4608.3915,144.0000,0.0000,146.8941,4232.8604,3947.0727,4202.4369
"base",2040,16,4505677.4592,906008.3296,1290.6962,97234.8747,282810.1769,23567.5147,25326.7978,21673.8023,5385.4774,28713.7903,31392.4844,20538.3796
"base",2040,2,2031616.4963,482878.0028,1930.8318,577498.0542,607872.0044,50656.0004,97557.1186,53563.3012,66964.2709,125493.4844,201882.6250,86975.8661
