"scenario","year","ravtaz","Pop_Forecast","Total_Aprt","Average","Total_Emp","Total_Students","EmployedEducation","Yeshiva","Total Higher_Education","Industry","Commerce_Hotel","Business","Public"
"base",2020,1,10256.5866,4402.6158,34.2814,32133.6699,2093.4206,174.4517,92.0000,3933.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,10,26261.0528,6202.0118,33.8971,10511.6938,14680.2328,1223.3527,7071.0227,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,100,8959.3990,1728.0092,30.2000,959.7686,2892.5447,241.0454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,11,1865.4293,1092.8571,6.61386,8126.2059,0.0000,0.0000,0.0000,11625.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,12,19591.0000,4125.2428,19.0127,1646.9020,4526.7885,377.2324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,13,29503.0000,7126.0921,25.3061,4246.5884,8758.2640,729.8553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,14,13875.0000,2200.0000,22.8297,5527.5787,2775.0000,231.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,15,6905.3459,2711.3243,11.7500,3125.7870,1635.3253,136.2771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,2,40935.7744,8094.5617,64.4074,11408.6209,23086.5499,1923.8792,17320.4409,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,22,20480.1701,4068.1390,15.0943,1717.3618,4771.1910,397.5993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,23,22026.7557,4627.5795,14.2797,1739.1202,4800.3072,400.0256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,24,30605.9994,5700.8992,16.1070,1774.5461,3837.0300,319.7525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,25,25985.4891,5402.9662,19.3952,2125.4826,7707.5250,642.2937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
