"scenario","year","supertaz","Pop_Forecast","Total_Aprt","Average","Total_Emp","Total_Students","EmployedEducation","Yeshiva","Total Higher_Education","Industry","Commerce_Hotel","Business","Public"
"base",2020,1,149545.1737,43049.0101,276.7801,117612.5496,63926.3353,5327.1946,27946.1687,10710.4000,0.0000,0.0000,0.0000,0.0000
"base",2020,10,160208.2845,33236.2254,204.3851,26614.4441,52607.7183,4383.9765,5244.6361,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,11,179842.8409,37541.1193,123.6818,20952.2076,65583.0966,5465.2580,6922.0772,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,12,248169.3385,49899.6014,259.2549,6957.9599,14444.7190,1203.7266,1072.6201,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,13,240376.2369,47833.4580,101.2000,6324.7951,15139.0375,1261.5865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,14,64178.2091,15300.4228,92.1323,10240.3045,15685.6346,1307.1362,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,15,45112.2507,9022.4501,20.0000,694.7287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,16,273398.7417,55142.8704,148.0793,7013.8120,11897.7218,991.4768,172.2543,1894.1500,0.0000,0.0000,0.0000,0.0000
"base",2020,17,60718.2589,8440.7664,98.8636,4313.6964,27557.0111,2296.4176,5169.0539,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,18,448814.0671,89607.3948,156.1000,7456.4830,3325.0628,277.0886,642.8027,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,19,321968.1853,64329.7664,50.2000,5780.1039,2892.5447,241.0454,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,2,71739.7753,17255.5163,85.5123,22673.0620,17695.3778,1474.6148,0.0000,11625.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,20,60084.6184,12260.9901,32.8000,1501.4223,2073.3388,172.7782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,21,399218.4748,79489.6027,36.5000,6536.5050,2992.4074,249.3673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,22,537321.6550,111771.8712,161.0000,24115.7158,30476.7306,2539.7276,776.2700,15750.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,23,404345.0462,81074.3241,57.5000,7456.9550,1266.6464,105.5539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,3,121633.8300,24696.0365,82.8267,9797.8232,32867.2137,2738.9345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,4,166119.8155,53997.4721,276.3494,41785.9695,36732.8453,3061.0704,1524.0000,1362.0250,0.0000,0.0000,0.0000,0.0000
"base",2020,5,117286.0198,36209.8864,167.9023,38590.6922,32491.1004,2707.5917,7990.5660,14063.9700,0.0000,0.0000,0.0000,0.0000
"base",2020,6,179266.2378,35519.6935,274.3616,62093.7579,71052.3128,5921.0261,32629.9001,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,7,244657.1456,54537.8208,235.7837,24181.8568,61072.3187,5089.3599,1223.7399,3150.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,8,31584.6487,10186.4098,47.9099,2858.6966,4709.8982,392.4915,35.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2020,9,55394.2991,13574.1573,53.8394,6975.7355,9862.1336,821.8445,686.3623,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,1,161589.2382,46282.4027,277.5959,130180.2754,67263.8240,5605.3187,28443.2618,11424.0925,0.0000,0.0000,0.0000,0.0000
"base",2025,10,203784.6600,40959.0685,244.0796,29770.9723,64010.3566,5334.1964,7536.6051,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,11,199107.5395,41911.1478,130.5208,23919.4759,70671.5706,5889.2975,8276.5969,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,12,270379.7735,54368.7212,259.9967,7688.3752,16261.0142,1355.0845,1472.8617,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,13,266523.5104,53029.7923,100.3000,7097.8302,17792.8152,1482.7346,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,14,70358.2009,16627.7258,92.0527,12411.1485,15974.1699,1331.1808,311.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,15,48239.9381,9660.7537,19.6000,743.8780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,16,301793.3206,60800.6757,146.7793,7853.1581,13908.1115,1159.0093,259.2407,2036.2113,0.0000,0.0000,0.0000,0.0000
"base",2025,17,68513.6215,9276.2550,101.3636,4421.8586,28990.7497,2415.8958,5901.0449,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,18,501806.2399,100395.3189,153.3000,8328.4100,3639.0722,303.2560,772.7893,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,19,362418.2508,72568.0558,49.8000,6536.7774,3209.1969,267.4331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,2,71998.1274,18281.9233,88.9618,24234.2462,18060.5460,1505.0455,0.0000,11857.5000,0.0000,0.0000,0.0000,0.0000
"base",2025,20,66282.6603,13565.0630,32.4000,1682.6790,2384.8138,198.7345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"base",2025,21,433166.2680,86331.4240,35.9000,7077.5373,3025.9449,252.1621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
