scenario,year,Taz_num,Pop_Forecast,Total_Aprt,Average,Total_Emp,Total_Students,EmployedEducation,Yeshiva,Higher_Education,Industry,Commerce_Hotel,Business,Public,Education,Agriculture
base,2020,1,858.4252653,472,1.818697596,4869.787702,102.752758,8.56272983,,,,,,,,
base,2020,2,375.299171,218.1776044,1.720154422,1406.989624,0,0,,,,,,,,
base,2020,3,545.6092788,300,1.818697596,2683.846981,0,0,25,,,,,,,
base,2020,4,414.7176188,205,2.023012775,816.6038222,0,0,,,,,,,,
base,2020,5,784.8217046,335,2.342751357,1388.050846,1030.544651,85.87872093,,,,,,,,
base,2020,6,679.9105876,339,2.005635952,1118.075392,0,0,,,,,,,,
base,2020,7,755.7718435,442,1.709891049,2656.296757,0,0,,,,,,,,
base,2020,8,448.8076326,246.7741935,1.818697596,2737.677593,201.464229,16.78868575,50,,,,,,,
base,2020,9,325.9867113,233.6272545,1.395328263,1509.003405,0,0,,,,,,,,
base,2020,10,1163.228571,331,3.514285714,1465.505469,0,0,0,,,,,,,
base,2020,11,392.9852925,254.2833667,1.545462047,2420.025363,0,0,0,3933,,,,,,
base,2020,12,1288.805915,251.8405797,5.11754665,554.6873199,322.2014787,26.85012323,0,,,,,,,
base,2020,13,1811.99991,507,3.573964319,1076.486247,436.4574884,36.37145737,17,,,,,,,
base,2020,14,65.71794628,26.91284181,2.441880598,5359.03009,0,0,0,,,,,,,
base,2020,15,344.4991661,240,1.435413192,2071.603302,0,0,0,,,,,,,
base,2020,101,4732.5,788.75,6,548.6287597,1446.438806,120.5365672,2141.391002,,,,,,,
base,2020,102,8008.117648,1223,6.547929394,1027.921004,2123.321942,176.9434951,7572.305557,,,,,,,
base,2020,103,5148.009728,1129,5.2,794.8709697,3978,331.5,1199.195616,,,,,,,
base,2020,104,1802.310789,378,4.768017959,388.0474192,683.2910923,56.94092436,235.7100276,,,,,,,
base,2020,105,400,80,5,1464.693398,710.2222222,59.18518519,178,,,,,,,
base,2020,106,3463.990272,692.7980543,5,746.0841331,852.4855815,71.04046512,672.3197083,,,,,,,
base,2020,107,1073.158689,320.6332665,3.346997337,995.3735624,750,62.5,860.1872349,,,,,,,
base,2020,108,1492.762889,403.4494294,3.7,989.1540783,1161,96.75,78.68070179,,,,,,,
base,2020,109,2627.237111,710.0640841,3.7,553.4140772,2298.856596,191.571383,1128.188725,,,,,,,
base,2020,110,2170.405663,432,5.024087182,771.2867478,1470.26087,122.5217391,694.8420848,,,,,,,
base,2020,111,2603.598472,416,6.258650172,1256.720532,1712.702439,142.7252033,974.7273444,,,,,,,
base,2020,112,4005.012254,763.8668818,5.358890701,1265.830453,2461.970339,205.1641949,954.5291078,,,,,,,
base,2020,113,3408.670921,757,4.502867795,606.5957191,3438,286.5,630.363826,,,,,,,
base,2020,201,113.0620985,20.55674518,5.5,1440.500561,1250,104.1666667,0,,,,,,,
base,2020,202,404.8086359,84.79657388,5.5,1905.910195,1683,140.25,0,,,,,,,
base,2020,203,1406.20985,255.6745182,5.5,955.7193414,434,36.16666667,0,,,,,,,
base,2020,204,1606.967615,336.6167024,5.5,1399.209633,1273,106.0833333,0,,,,,,,
base,2020,205,1318.694799,276.2312634,5.5,2879.581401,1511,125.9166667,0,,,,,,,
base,2020,206,361.8743867,75.80299786,5.5,1397.90806,492,41,0,,,,,,,
base,2020,207,657.1734475,119.4860814,5.5,875.9904672,0,0,0,,,,,,,
base,2020,208,147.2031403,30.83511777,5.5,809.4182112,728,60.66666667,0,,,,,,,
base,2020,209,530.8120707,96.51128557,5.5,1375.538202,15.92436212,1.327030177,0,,,,,,,
base,2020,301,26045.64,4735.570909,5.5,4000.87619,3950,329.1666667,268,,,,,,,
base,2020,302,3357.483871,583,5.75897748,3173.608132,1400,116.6666667,590,,,,,,,
base,2020,303,2327.5,665,3.5,977.914277,419.1,34.925,274,,,,,,,
base,2020,304,3971.1,1281,3.1,3349.985677,1539.3,128.275,350,,,,,,,
base,2020,401,21.99607409,9,2.444008232,316.6668515,0,0,156,,,,,,,
