year,code,MahozNum,population,employment
low_trnd,2020,2,1492978.1347700001,0
low_trnd,2020,6,1363310.6968,0
low_trnd,2020,3,1075605.5952,0
low_trnd,2020,1,1186916.524,0
low_trnd,2020,4,2283731.9498,0
low_trnd,2020,5,1474427.783,0
low_trnd,2020,7,459109.1535,0
low_trnd,2025,2,1591213.1332699999,0
low_trnd,2025,6,1494667.9751,0
low_trnd,2025,3,1145462.3421,0
low_trnd,2025,1,1312830.415,0
low_trnd,2025,4,2455842.236,0
low_trnd,2025,5,1541133.651,0
low_trnd,2025,7,529608.0104,0
low_trnd,2030,2,1689835.0848,0
low_trnd,2030,6,1638095.6409,0
low_trnd,2030,3,1220621.3129,0
low_trnd,2030,1,1445694.494,0
low_trnd,2030,4,2633758.0858,0
low_trnd,2030,5,1614590.088,0
low_trnd,2030,7,605520.4065,0
low_trnd,2035,2,1779004.9452799996,0
low_trnd,2035,6,1780357.9786999999,0
low_trnd,2035,3,1289660.6831999999,0
low_trnd,2035,1,1576863.261,0
low_trnd,2035,4,2795616.1545,0
low_trnd,2035,5,1679651.89,0
low_trnd,2035,7,684531.7057,0
low_trnd,2040,2,1863260.01453,0
low_trnd,2040,6,1931451.9074,0
low_trnd,2040,3,1362554.6631999998,0
low_trnd,2040,1,1709749.64,0
low_trnd,2040,4,2969409.3006,0
low_trnd,2040,5,1749198.514,0
low_trnd,2040,7,768210.4963,0
low_trnd,2045,2,1945130.6143999998,0
low_trnd,2045,6,2090159.8898,0
low_trnd,2045,3,1438394.6124,0
low_trnd,2045,1,1840794.041,0
low_trnd,2045,4,3154929.3731000004,0
low_trnd,2045,5,1814146.582,0
low_trnd,2045,7,853550.5613,0
low_trnd,2050,2,2018306.1792499998,0
low_trnd,2050,6,2247018.1552999998,0
low_trnd,2050,3,1510179.1095,0
low_trnd,2050,1,1960764.948,0
low_trnd,2050,4,3329754.3816000004,0
low_trnd,2050,5,1863544.71,0
low_trnd,2050,7,934502.9778,0
low_diur,2020,2,1492978.1347700001,0
low_diur,2020,6,1363310.6968,0
low_diur,2020,3,1075605.5952,0
low_diur,2020,1,1186916.524,0
low_diur,2020,4,2283731.9498,0
low_diur,2020,5,1474427.783,0
low_diur,2020,7,459109.1535,0
low_diur,2025,2,1595844.7982799998,0
low_diur,2025,6,1518177.953,0
low_diur,2025,3,1150733.7777,0
low_diur,2025,1,1300488.557,0
low_diur,2025,4,2421506.1872,0
low_diur,2025,5,1576522.774,0
low_diur,2025,7,507483.7159,0
low_diur,2030,2,1711975.97476,0
low_diur,2030,6,1709236.7686,0
low_diur,2030,3,1237957.2628000001,0
low_diur,2030,1,1407192.759,0
low_diur,2030,4,2560886.6116000004,0
low_diur,2030,5,1671605.465,0
low_diur,2030,7,549260.2703,0
low_diur,2035,2,1816150.4256600002,0
low_diur,2035,6,1874475.3132000002,0
low_diur,2035,3,1340177.1903,0
low_diur,2035,1,1505505.053,0
low_diur,2035,4,2698183.5135999997,0
low_diur,2035,5,1759355.839,0
low_diur,2035,7,591839.2836,0
low_diur,2040,2,1933819.5203599997,0
low_diur,2040,6,2038599.0511,0
low_diur,2040,3,1454280.3196999999,0
low_diur,2040,1,1586603.323,0
low_diur,2040,4,2847009.2517000004,0
low_diur,2040,5,1859018.716,0
low_diur,2040,7,634504.3554,0
low_diur,2045,2,2064528.3077099998,0
low_diur,2045,6,2212787.6907,0
low_diur,2045,3,1570467.4622,0
