year,code,NafaNum,population,employment
low_trnd,2020,5,661824.684,0
low_trnd,2020,12,572732.2345,0
low_trnd,2020,13,790578.4623,0
low_trnd,2020,6,52994.82367,0
low_trnd,2020,8,479320.5491,0
low_trnd,2020,7,596285.0461,0
low_trnd,2020,4,539292.144,0
low_trnd,2020,2,1186916.524,0
low_trnd,2020,3,114584.6512,0
low_trnd,2020,14,791483.9739,0
low_trnd,2020,10,364456.0454,0
low_trnd,2020,11,632419.6596,0
low_trnd,2020,9,495372.2709,0
low_trnd,2020,15,1474427.783,0
low_trnd,2020,1,124281.8319,0
low_trnd,2020,16,459109.1535,0
low_trnd,2025,5,701230.8469,0
low_trnd,2025,12,618510.0015,0
low_trnd,2025,13,876157.9736,0
low_trnd,2025,6,55350.32237,0
low_trnd,2025,8,522326.8664,0
low_trnd,2025,7,623135.4757,0
low_trnd,2025,4,574629.0844,0
low_trnd,2025,2,1312830.415,0
low_trnd,2025,3,125932.0886,0
low_trnd,2025,14,867950.0572,0
low_trnd,2025,10,388419.5021,0
low_trnd,2025,11,667782.6188,0
low_trnd,2025,9,531690.0579,0
low_trnd,2025,15,1541133.651,0
low_trnd,2025,1,134070.791,0
low_trnd,2025,16,529608.0104,0
low_trnd,2030,5,738867.2506,0
low_trnd,2030,12,669384.5191,0
low_trnd,2030,13,968711.1218,0
low_trnd,2030,6,57414.9251,0
low_trnd,2030,8,564617.126,0
low_trnd,2030,7,656004.1869,0
low_trnd,2030,4,609869.9216,0
low_trnd,2030,2,1445694.494,0
low_trnd,2030,3,138556.8239,0
low_trnd,2030,14,946742.2136,0
low_trnd,2030,10,413344.1136,0
low_trnd,2030,11,704569.2156,0
low_trnd,2030,9,569102.543,0
low_trnd,2030,15,1614590.088,0
low_trnd,2030,1,145126.1636,0
low_trnd,2030,16,605520.4065,0
low_trnd,2035,5,770809.1296,0
low_trnd,2035,12,718879.3117,0
low_trnd,2035,13,1061478.667,0
low_trnd,2035,6,59241.71118,0
low_trnd,2035,8,603970.0176,0
low_trnd,2035,7,685690.6656,0
low_trnd,2035,4,641320.012,0
low_trnd,2035,2,1576863.261,0
low_trnd,2035,3,151396.2162,0
low_trnd,2035,14,1020346.06,0
low_trnd,2035,10,437252.2416,0
low_trnd,2035,11,735391.7405,0
low_trnd,2035,9,602626.1124,0
low_trnd,2035,15,1679651.89,0
low_trnd,2035,1,156237.8763,0
low_trnd,2035,16,684531.7057,0
low_trnd,2040,5,797902.1031,0
low_trnd,2040,12,773314.3424,0
low_trnd,2040,13,1158137.565,0
low_trnd,2040,6,60874.34183,0
low_trnd,2040,8,642879.6564,0
low_trnd,2040,7,719675.0068,0
low_trnd,2040,4,670890.2843,0
low_trnd,2040,2,1709749.64,0
low_trnd,2040,3,165244.1131,0
low_trnd,2040,14,1100459.999,0
low_trnd,2040,10,463182.2831,0
low_trnd,2040,11,768644.913,0
low_trnd,2040,9,637122.1055,0
low_trnd,2040,15,1749198.514,0
low_trnd,2040,1,168349.1722,0
low_trnd,2040,16,768210.4963,0
low_trnd,2045,5,821529.6026,0
low_trnd,2045,12,831729.7898,0
low_trnd,2045,13,1258430.1,0
low_trnd,2045,6,62371.1735,0
low_trnd,2045,8,681891.3536,0
low_trnd,2045,7,756503.2588,0
low_trnd,2045,4,699729.3888,0
low_trnd,2045,2,1840794.041,0
low_trnd,2045,3,180286.8964,0
low_trnd,2045,14,1187340.296,0
low_trnd,2045,10,490828.5701,0
low_trnd,2045,11,804844.1411,0
low_trnd,2045,9,671916.3659,0
low_trnd,2045,15,1814146.582,0
low_trnd,2045,1,181213.5531,0
