scenario,year,housing_adjusted,proj,NafaNum,nafa,arab_female_0,arab_female_5,arab_female_10,arab_female_15,arab_female_20,arab_female_25,arab_female_30,arab_female_35,arab_female_40,arab_female_45,arab_female_50,arab_female_55,arab_female_60,arab_female_65,arab_female_70,arab_female_75,arab_female_80,arab_female Total_,arab_male_0,arab_male_5,arab_male_10,arab_male_15,arab_male_20,arab_male_25,arab_male_30,arab_male_35,arab_male_40,arab_male_45,arab_male_50,arab_male_55,arab_male_60,arab_male_65,arab_male_70,arab_male_75,arab_male_80,arab_male Total_,arab Total,haredi_female_0,haredi_female_5,haredi_female_10,haredi_female_15,haredi_female_20,haredi_female_25,haredi_female_30,haredi_female_35,haredi_female_40,haredi_female_45,haredi_female_50,haredi_female_55,haredi_female_60,haredi_female_65,haredi_female_70,haredi_female_75,haredi_female_80,haredi_female Total_,haredi_male_0,haredi_male_5,haredi_male_10,haredi_male_15,haredi_male_20,haredi_male_25,haredi_male_30,haredi_male_35,haredi_male_40,haredi_male_45,haredi_male_50,haredi_male_55,haredi_male_60,haredi_male_65,haredi_male_70,haredi_male_75,haredi_male_80,haredi_male Total_,haredi Total,jew_not_haredi_female_0,jew_not_haredi_female_5,jew_not_haredi_female_10,jew_not_haredi_female_15,jew_not_haredi_female_20,jew_not_haredi_female_25,jew_not_haredi_female_30,jew_not_haredi_female_35,jew_not_haredi_female_40,jew_not_haredi_female_45,jew_not_haredi_female_50,jew_not_haredi_female_55,jew_not_haredi_female_60,jew_not_haredi_female_65,jew_not_haredi_female_70,jew_not_haredi_female_75,jew_not_haredi_female_80,jew_not_haredi_female Total_,jew_not_haredi_male_0,jew_not_haredi_male_5,jew_not_haredi_male_10,jew_not_haredi_male_15,jew_not_haredi_male_20,jew_not_haredi_male_25,jew_not_haredi_male_30,jew_not_haredi_male_35,jew_not_haredi_male_40,jew_not_haredi_male_45,jew_not_haredi_male_50,jew_not_haredi_male_55,jew_not_haredi_male_60,jew_not_haredi_male_65,jew_not_haredi_male_70,jew_not_haredi_male_75,jew_not_haredi_male_80,jew_not_haredi_male Total_,jew_not_haredi Total,total
high_housing,2020,housing,high,1,Tzfat Nafa,617.6989913,626.9791518,567.9571957,587.7963885,837.2415802,626.8801987,465.2433857,476.8364367,527.5843589,365.3140736,398.7788358,373.2188732,221.5785098,192.6550236,105.3407969,96.24978973,129.9416787,7217.295269,691.0937738,611.421845,590.6385717,651.3238509,662.6707007,598.6927922,458.3502605,484.7018359,499.649103,450.8747382,363.6253203,355.1564612,256.8591364,148.2633365,106.8632835,64.67926035,82.19241046,7077.05668,14294.35195,2207.598542,1611.748007,1205.126879,1309.383852,1045.308419,905.9810269,776.6001397,385.4052683,309.9760455,385.2133298,259.3353127,332.9857015,289.8122309,116.039724,60.20385909,37.1530363,21.28101512,11259.15239,2344.122159,1702.391906,1266.89819,1373.210177,1093.295567,928.9304582,784.3307521,386.0913885,309.7138713,381.6827371,253.6591297,319.3109326,267.4953541,104.1845658,53.16856848,31.19171636,14.82066517,11614.49814,22873.65053,3397.158535,3534.09837,3693.716556,3134.457372,2798.736288,3116.346286,2507.153824,2438.234448,2562.375514,2385.173384,2416.360139,2234.765749,2388.437121,2248.846805,1885.666935,967.4641606,1752.528987,43461.52047,3691.781011,3748.353202,3781.994716,3099.198482,3046.801142,3237.745999,2852.380096,2429.557283,2425.515431,2254.77665,2343.922551,2142.091083,2395.188045,2335.910534,1702.833837,867.5177515,1296.741106,43652.30892,87113.82939,124281.8319
high_housing,2020,housing,high,2,Jerusalem District,21831.27078,21033.41498,20455.95398,20516.01589,18704.55673,15517.22898,12276.66066,10996.22283,10797.51595,9441.333832,7610.790359,6681.769021,4932.945363,3338.643657,2627.348473,1565.077904,1805.847784,190132.5972,23597.2182,22789.45498,21328.42064,21796.37299,18833.71841,15877.63142,11943.74684,10711.19228,10419.12492,9130.162746,7255.145191,6215.14991,4269.248966,2915.236991,2346.332095,1243.544921,1238.114698,191909.8162,382042.4134,33617.33799,24753.35319,21378.59499,18856.12312,15544.46356,14422.71819,9420.682299,7741.399347,5779.764384,4758.411827,4899.843163,4167.046345,4205.469281,2507.213882,2244.377918,1043.636398,1539.591025,176880.0269,35695.21929,26133.54707,22475.67765,19746.49509,16248.28039,14839.47397,9530.533042,7777.712575,5765.472814,4710.65814,4794.99732,3988.549739,3885.414373,2254.098649,1958.469867,867.531213,1095.201765,181767.333,358647.3599,18091.57737,20046.0766,16897.24011,14184.32503,17339.90174,12717.48991,15867.78854,14785.69005,12608.61858,12168.35849,9819.106335,10281.69912,9905.793735,11502.88923,10637.00586,6587.716957,13204.12586,226645.4035,18859.94,21120.80064,18154.90215,15717.66488,14153.74622,15503.78176,15964.49482,15076.32527,12327.59224,11418.74589,9480.870709,9382.344705,9609.091691,10191.59954,8643.192849,5059.389219,8916.864745,219581.3473,446226.7508,1186916.524
high_housing,2020,housing,high,3,Kinneret Nafa,1470.912118,1419.666254,1306.549073,1592.268123,1515.308495,1656.70577,1197.490629,1120.949498,1127.408677,1013.644419,956.7427863,796.3446719,619.0773605,530.7105474,303.459649,213.934294,269.113507,17110.28587,1503.063211,1480.251604,1388.054198,1564.900537,1753.357338,1790.889395,1506.960064,1328.54609,1251.503188,1029.371592,904.1147605,888.9668728,671.8313069,479.1107349,269.6339229,221.5899446,191.3536605,18223.49842,35333.78429,1047.851198,757.0083637,557.5812287,607.6145406,450.8569487,395.6583238,372.3341959,180.7338924,140.8864603,176.5018474,118.4036812,152.3279995,134.43171,53.40694083,27.5581673,17.60398951,10.05603847,5200.815526,1112.984622,799.0184331,585.518147,635.0534083,470.4029296,404.8381663,374.7514981,180.916798,140.7063037,174.2988307,116.1424078,145.8385706,123.524492,48.11393373,24.54074105,14.67020679,7.197572425,5358.517061,10559.33259,2752.751536,2746.544602,2517.489504,2367.71981,2152.423319,2299.672693,1752.33447,1974.481303,2115.131673,1868.091339,1800.520197,1782.91226,1912.340782,1910.873826,1661.34017,813.1547033,1434.03884,33861.82103,3007.168406,2833.736416,2824.708412,2753.170671,2290.107833,2592.391334,2070.697191,1974.614345,2181.560583,1909.641433,1793.806401,1734.166292,1878.936618,1803.505565,1433.457665,696.6072426,1051.436855,34829.71326,68691.53429,114584.6512
high_housing,2020,housing,high,4,Izrael Nafa,13485.12826,13145.74158,12506.59909,14752.21436,13084.23645,12679.51964,9404.921971,8145.98854,8966.216446,8180.533226,7473.274667,6650.909927,4893.368706,3744.882494,2176.560643,1786.482181,2036.317424,143112.8956,14339.8274,13912.59946,13275.74223,15230.91375,14265.29487,13341.51488,10245.0703,7890.758965,9162.549954,8539.62686,7602.181407,6471.902055,4616.659767,3601.421613,1965.279749,1590.748015,1388.484919,147440.5762,290553.4718,1611.189834,1167.138228,865.9296043,933.9324175,664.1522366,605.6347902,590.0361872,279.0272762,220.3252832,273.9255447,182.1579185,236.4519497,206.4756861,84.34202387,43.55473877,26.86560016,14.84983586,8005.989155,1709.552778,1234.589919,908.5472257,981.3674447,698.198702,620.3781393,594.0540287,278.4861104,218.5906255,269.4953117,178.3383455,225.7015011,190.1605356,75.08408798,38.42094412,23.24002762,10.47121916,8254.676946,16260.6661,9061.680016,9102.744678,8809.249506,7909.416921,7493.201684,7098.765464,6533.944613,7138.48966,7859.392082,7648.34785,6428.019058,6192.32947,6543.016011,6340.18778,5834.552834,2723.001128,5233.894679,117950.2334,9882.495648,9771.823212,9558.009485,8609.200007,7710.711748,7142.95749,6723.769704,6953.598504,7094.231783,6964.374218,6227.844925,5630.886128,5850.47682,5720.717842,4931.695712,2277.56968,3477.409791,114527.7727,232478.0061,539292.144
high_housing,2020,housing,high,5,Acco Nafa,18823.47449,19091.38633,18839.98899,21679.43019,19028.45764,19107.3372,14877.88136,13324.22562,13787.24954,13009.07762,11294.81201,10115.62776,7059.198099,5625.416434,2944.101958,2641.09198,2867.55432,214116.3115,20625.31483,19969.61186,19854.64714,22640.11683,20051.81212,20091.19413,15309.51153,13360.07008,13879.27907,13126.33575,11926.67189,9903.63989,7054.59851,5313.24263,2709.688993,2349.851675,2150.13012,220315.717,434432.0286,530.8845376,392.5296065,292.5890203,320.5594323,228.7185542,207.607577,200.2812811,98.24503016,76.80862472,95.67055023,64.8506635,83.63523564,77.34092341,33.54771671,16.03685706,9.591855452,5.802782754,2734.700249,564.4893796,414.2443238,306.9645053,335.1761149,230.9532236,208.9133401,200.9011156,96.60624681,78.07547015,94.24028497,63.13532416,78.26970654,69.04484688,29.36626677,15.46767901,8.147021069,3.591628172,2797.586477,5532.286726,7498.509384,8329.822874,8357.976523,7500.683031,6403.923233,6018.881651,6066.507316,6569.282092,7670.495501,7477.4002,6540.746961,6471.261206,6931.080656,6705.462879,5980.4365,2597.22879,5502.464423,112622.1632,7878.498309,8778.805139,8825.470645,8193.633434,7301.216797,6245.062003,6288.807972,6357.165921,7160.406762,7042.665359,6338.769919,5676.558146,6103.964516,6218.411796,5354.989267,2086.162771,3387.616699,109238.2055,221860.3687,661824.684
high_housing,2020,housing,high,6,Golan Nafa,929.8195081,1127.126119,1254.612015,1102.419964,1116.963942,1030.707882,844.0609053,861.9533551,1090.344462,1075.773272,645.8049214,606.5657182,429.1978153,344.0982811,313.5603444,138.4443646,212.3335188,13123.78639,1070.48132,1155.082637,1307.170828,1336.564872,1143.528781,1017.342698,850.1957066,901.9609509,1044.46577,1123.41802,733.1205008,612.4787697,438.2668146,318.4669569,289.7013937,131.7381965,161.1781309,13635.16235,26758.94874,24.75999894,18.87623457,13.41748349,13.11578616,8.623318618,9.464602148,8.956478818,5.23196846,3.925216357,3.717233813,2.588230243,3.712794446,3.182021365,1.267605469,0.49750311,0.370019383,0.225506285,121.9320017,26.84428766,19.75750285,13.46599789,14.77457891,9.297400166,9.688312545,8.941918805,4.700860548,3.720101444,4.217411094,2.722282789,3.263864241,2.888441824,1.18435524,0.656630559,0.175810521,0.213393264,126.5131503,248.445152,1268.88129,1382.47688,1248.366773,1197.196079,759.1583032,699.3635067,703.3841647,882.4553517,824.3474251,673.3046419,565.0359673,550.2684352,593.7927792,593.5669449,343.3818031,103.7004608,140.7315936,12529.4124,1323.347889,1453.642546,1288.01156,1809.187984,1053.27011,682.7627397,734.452731,824.6370566,823.2387292,633.1871881,568.4001573,526.4405683,521.1158846,598.1521453,412.5081555,114.1600514,91.5018892,13458.01738,25987.42978,52994.82367
high_housing,2020,housing,high,7,Haifa Nafa,2524.380627,2670.01831,2402.893114,2570.649174,3527.068572,2782.036397,2900.178617,2392.527367,2320.738838,2210.97278,2004.927096,1856.6507,1414.521305,1192.10073,681.5731564,534.4238774,654.4797302,34640.14039,2802.158656,2747.358196,2875.561322,2731.275171,3365.467164,2905.110798,2595.78809,2327.789782,2404.645639,2232.579639,1960.917192,1812.800835,1453.773684,1112.593251,608.9580513,446.8300706,514.212635,34897.82018,69537.96057,3066.81911,3119.155023,2244.504898,1431.070643,1181.640576,1047.724519,1273.637282,753.7624033,760.1485482,600.9567931,387.3312074,224.3382477,476.9624029,344.8455328,144.1932688,89.13466733,150.8056134,17297.03073,3255.150067,3291.315159,2361.415315,1504.209736,1228.576289,1060.976492,1282.567758,750.9306602,755.3505356,592.7420948,377.3391993,210.1637374,436.014642,312.8225747,126.9030195,75.45004745,108.5009033,17730.42823,35027.45896,15967.13901,14882.14363,13590.4784,13114.3903,13346.55896,15170.37618,15825.56497,16081.40586,15268.53707,15301.77823,13692.31992,14285.48997,15479.8812,17191.94834,18718.9847,8482.367096,19167.838,255567.2019,16693.57223,15711.23965,14202.47347,13597.47954,14446.47361,15236.09867,16249.16526,16650.05726,15038.81022,14157.54051,12067.87474,11846.48527,13021.2242,13611.36506,15295.91276,6160.984518,12165.66771,236152.4247,491719.6265,596285.0461
high_housing,2020,housing,high,8,Hadera Nafa,9714.868042,9638.209199,9860.518404,10961.30425,9532.575752,8507.950878,6759.309897,5786.307959,6153.792804,5723.161434,4837.799686,4414.734357,3060.141819,2288.146846,1426.01962,1142.912576,949.0586963,100756.8122,10373.52534,9957.102119,10082.68184,11502.99435,10205.36745,8930.438892,6591.038988,6130.971689,6291.923724,6200.583627,5294.933351,4404.247379,3053.591763,2068.894951,1118.839453,926.3825528,724.5420504,103858.0595,204614.8717,1413.911758,1358.807148,950.0040211,620.1682999,441.6777148,404.1730671,555.6400061,346.9593092,330.3806828,250.3203091,159.379178,91.99800795,191.0442923,139.908183,58.07859736,35.80540495,62.71898452,7410.974964,1501.839872,1432.214641,997.4928908,650.1362565,461.7514801,415.3793959,559.9114702,346.3765237,328.5159497,246.8915588,154.1122526,86.19570947,176.1807883,126.9276534,51.62616882,30.38579131,43.41090652,7609.34931,15020.32427,11281.92082,11821.63282,10726.58343,9611.125036,7305.049095,6877.351959,8371.71311,9504.026883,9740.930709,9345.659047,7227.411253,6442.960532,6080.752709,5670.007473,5023.95844,2277.934581,4131.394407,131440.4123,12231.67302,12512.26353,11196.80927,9748.928086,7940.078054,6833.809601,7515.027759,9209.193257,9028.42831,8517.389514,7069.63689,6045.078456,5826.352693,5128.237228,4642.479684,1928.077096,2871.478289,128244.9407,259685.353,479320.5491
high_housing,2020,housing,high,9,Sharon Nafa,4953.607945,4819.407448,4853.441257,5205.098284,4727.866749,4400.323679,3467.898977,2813.373965,2953.110962,2885.918538,2473.770716,2476.271764,1725.49139,1302.012922,783.5413565,663.0871971,575.1123429,51079.33549,5260.297759,5024.795484,5079.558003,5559.247974,5116.565327,4392.406314,3671.205088,2991.289165,3179.078627,3081.883995,2627.414819,2372.768608,1626.321722,1037.063089,735.5814633,462.874963,428.0242864,52646.37669,103725.7122,2683.759033,1894.275472,1560.462043,1563.5416,994.3828391,916.7018545,793.1096264,710.2915969,706.9352405,491.7966438,273.4142504,302.8860783,319.9340892,221.7972034,168.1876093,89.88401221,65.09838378,13756.45758,2846.333501,2000.166384,1639.369436,1633.666878,1038.51312,938.6036775,797.3778681,712.438936,702.9467707,486.8575238,266.4605826,285.9529151,293.7091195,199.7429579,149.5973139,79.2552121,47.52601043,14118.51821,27874.97578,12253.03994,14174.60054,14389.61319,12364.82519,10730.44778,9399.407141,9702.779861,11473.54513,12930.55973,13106.19626,10905.73156,9376.501429,9212.159244,9798.399937,9748.778151,4947.480473,9761.96676,184276.0323,12843.68188,15305.58999,15016.60518,13555.13084,11377.76801,9683.583358,9493.789043,10651.90484,12217.11123,12907.8289,10506.93215,9258.520113,8353.58952,8779.150431,8450.231036,4150.455236,6943.678862,179495.5506,363771.5829,495372.2709
high_housing,2020,housing,high,10,Ramleh Nafa,2593.612968,2596.197984,2320.332212,2345.26776,2021.850112,1614.17919,1330.971314,1075.475154,1206.954023,1006.142782,870.9542454,715.1798719,476.0673052,386.2518997,289.6747268,171.0801826,188.1962097,21208.38794,2786.749127,2544.491654,2337.265867,2362.354155,2087.27838,1830.846434,1394.814344,1214.28037,1241.41638,1142.118024,1004.045744,694.6188384,491.8546603,341.5386688,190.2245996,149.4060916,116.4143937,21929.71773,43138.10567,1925.594149,1281.789984,1037.808157,1002.682245,650.813029,663.9522173,599.9553984,507.3729909,468.130445,317.5848081,177.2975365,194.458362,200.0363353,135.1488819,101.4127671,52.16311741,37.30789959,9353.508324,2039.450592,1355.813224,1091.386877,1051.736442,677.023171,680.5573902,607.8496703,508.6938843,467.2705923,314.4213344,171.7846343,183.5560523,183.0854156,122.5193139,88.28169395,43.63763217,25.51791022,9612.585829,18966.09415,11847.91421,14031.04517,13693.67088,12058.18312,9797.01376,8177.773688,8345.069792,9565.383834,10549.28124,11194.21464,9265.456593,7472.301251,6666.956347,5859.939275,4998.034539,2482.675216,4421.877964,150426.7915,12694.51373,14942.05832,14136.76072,13035.5029,11097.04893,8392.052174,7997.767074,9016.172193,9996.254267,11054.36333,9043.128488,7869.585876,6860.321142,5935.826737,4498.844938,2167.231649,3187.621594,151925.0541,302351.8456,364456.0454
