scenario,year,NEW_TAZ_1046,pop,emp
trends,2050,1,22678.54627,11561.78523
trends,2050,3,19823.14382,728.640437
trends,2050,8,32006.06074,20018.97043
trends,2050,15,18151.18163,3091.516333
trends,2050,19,7064.126531,1255.767001
trends,2050,32,0,1399.59394
trends,2050,33,17498.27242,3190.553079
trends,2050,41,22877.31873,9786.110544
trends,2050,51,5345,2521
trends,2050,58,28063.02265,6273.513684
trends,2050,60,5690.726433,2071.644393
trends,2050,61,7478.632211,1634.676437
trends,2050,62,64323.89522,18417.58928
trends,2050,64,5980.012287,1772.988079
trends,2050,65,45421.28316,6433.45232
trends,2050,66,22318.41898,8860.610539
trends,2050,67,68447.23086,9694.85054
trends,2050,68,19362.57761,3028.679289
trends,2050,70,67413.90022,9548.495205
trends,2050,71,11901.32288,3158.741705
trends,2050,72,47405.76903,6714.537816
trends,2050,73,2084.947783,325.929995
trends,2050,74,14768.6287,2499.398142
trends,2050,75,180310.7931,30515.72555
trends,2050,77,29846.73339,5051.237209
trends,2050,84,81677.08669,6911.562147
trends,2050,86,43526.61425,7366.315395
trends,2050,87,18487.49623,12463.92008
trends,2050,88,1129.111191,17125.71206
trends,2050,90,58173.85595,9845.278331
trends,2050,91,29391.96109,2733.192339
trends,2050,92,12391.6092,2721.155702
trends,2050,93,6108.186881,1033.743146
trends,2050,95,101099.5089,52961.61908
trends,2050,201,23710.00394,12534.90124
trends,2050,202,16424.37157,5161.905503
trends,2050,203,23609.09493,10444.79716
trends,2050,204,12363.04833,1850.929897
trends,2050,205,26302.94347,5214.793609
trends,2050,207,2587.529184,830.231027
trends,2050,208,27417.68069,7105.884286
trends,2050,209,35757.06612,17607.64506
trends,2050,210,1051.764112,18619.95823
trends,2050,212,5630.303671,11347.90388
trends,2050,214,0,36030.6937
trends,2050,215,57717.33884,23510.99204
trends,2050,216,12755.2015,3584.623632
trends,2050,222,69831.54454,10746.77347
trends,2050,223,6866.274231,946.797593
trends,2050,224,9557.090036,2141.87175
trends,2050,225,3293.075759,3186.269599
trends,2050,226,11053.89143,1260.657357
trends,2050,227,0,648.708092
trends,2050,228,11212.54845,1901.769583
trends,2050,229,7631.120243,911.656769
trends,2050,230,11905.58978,3458.586525
trends,2050,231,0,3534.659187
trends,2050,232,3769.852373,854.948528
trends,2050,233,4620.858762,4664.282657
trends,2050,234,10264.54523,1434.82879
trends,2050,235,1190.289617,601.851005
trends,2050,236,6127.163925,1090.224141
trends,2050,237,8417.215011,1787.798088
trends,2050,238,12092.92229,3163.701406
trends,2050,239,23869.67092,2186.26354
trends,2050,241,0,9034.441139
trends,2050,242,4321.230052,2186.262763
trends,2050,243,17972.05135,3807.959866
trends,2050,248,0,3380.831661
trends,2050,249,0,3197.844437
trends,2050,250,0,3257.96044
trends,2050,251,0,3372.938978
trends,2050,252,0,2644.922112
trends,2050,253,0,10423.9711
trends,2050,254,0,3140.846038
trends,2050,255,143.613424,4508.178455
trends,2050,256,0,3055.170886
trends,2050,257,0,4671.460602
trends,2050,258,3685.728608,2640.085794
trends,2050,259,580.429703,12106.84394
trends,2050,260,6496.971057,6446.034595
trends,2050,261,5673.436509,6446.034595
trends,2050,262,12966.74353,6446.034595
trends,2050,263,5133.109222,6446.035688
trends,2050,264,9515.763885,6446.036072
trends,2050,265,1140.690931,6446.036427
trends,2050,266,3286.867925,2316.556292
trends,2050,267,4799.340586,2947.060875
trends,2050,268,5013.836522,803.753797
trends,2050,269,1932.193079,153.566512
trends,2050,270,13597.12211,1131.311195
trends,2050,271,0,1695.779928
trends,2050,272,6701.959774,914.999391
